EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,22.006266500000493,None,LRM,images/OBJ_2.png,images/OBJ_161.png,images/OBJ_133.png,23.58346850000089,25.097046600001704,25.580719200001113,27.080285200001526,27.579674800001158,None,23.58110022999954,None,25.580235910000376,None,27.579661210000815,None,29.079237200001444,None,same,None,1,30.71056680000038,32.21203920000153,32.711903400000665,34.211139700000786,34.71095050000076,None,30.711968290000552,None,32.711901210001635,None,34.710960110000634,None,36.21051310000075,None,1,['leftCL'],37.21072980000099,None,37.21072980000099,None,37.21072980000099,None,37.21072980000099,None,37.21072980000099,None,-0.2724609375,-0.3359375,1,0,0,1.1133981999992102,leftCL,0.013313409997863346,None,38.32707771000114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
1,0,1,0,,,,,,,,,,,RML,images/OBJ_190.png,images/OBJ_194.png,images/OBJ_83.png,39.09576620000007,40.60961640000096,41.09242650000124,42.59193780000169,43.0918425000018,None,39.09281836999999,None,41.092392610000935,None,43.09182501000087,None,44.591392400001496,None,same,None,2,46.13621320000129,47.64096260000042,48.12371770000027,49.623274100000344,50.123121300001,None,46.140825040000344,None,48.12370371000052,None,50.12312471000096,None,51.622692600001756,None,1,['leftCL'],52.62241350000113,None,52.62241350000113,None,52.62241350000113,None,52.62241350000113,None,52.62241350000113,None,-0.271484375,-0.3359375,1,0,0,0.5165901000000304,leftCL,0.016412109998782398,None,53.138909210000385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
2,0,2,0,,,,,,,,,,,LMR,images/OBJ_75.png,images/OBJ_138.png,images/OBJ_42.png,53.908020300001226,55.422006200000396,55.904800800000885,57.404362300001594,57.90421370000149,None,53.90521597000061,None,55.904813510000714,None,57.904182210001274,None,59.403758300000845,None,same,None,3,60.937938300001406,62.45291030000044,62.9360869000011,64.43563430000177,64.9355200000009,None,60.93652683000055,None,62.93606481000152,None,64.93549251000022,None,66.43574830000034,None,1,['leftCL'],67.4353497000011,None,67.4353497000011,None,67.4353497000011,None,67.4353497000011,None,67.4353497000011,None,-0.2705078125,-0.3359375,1,0,0,0.4494779999986349,leftCL,0.016357209999114275,None,67.88472001000136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
3,0,3,0,,,,,,,,,,,LMR,images/OBJ_71.png,images/OBJ_5.png,images/OBJ_208.png,68.65513320000173,70.16743210000095,70.63392180000119,72.13395180000043,72.63328310000179,None,68.66769617999925,None,70.63387591000046,None,72.63370921000077,None,74.1332923000009,None,same,None,4,75.66873260000102,77.18200160000015,77.66561560000082,79.16475340000034,79.66461450000133,None,75.66564053000165,None,77.66566591000137,None,79.6645757100001,None,81.16417810000166,None,1,['leftCL'],82.16387980000036,None,82.16387980000036,None,82.16387980000036,None,82.16387980000036,None,82.16387980000036,None,-0.19921875,-0.3466796875,1,0,0,0.8503368999990926,leftCL,0.01641390999975556,None,83.0141511100015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
4,0,4,0,,,,,,,,,,,LMR,images/OBJ_116.png,images/OBJ_23.png,images/OBJ_73.png,83.78311830000166,85.29633730000023,85.77946200000042,87.27903340000012,87.7788855000017,None,83.7804578699999,None,85.779470510001,None,87.7788987100017,None,89.27901340000062,None,diff,RML,5,90.8172351000012,92.32758600000125,92.81077200000072,94.31087320000006,94.81019760000163,None,90.82837704000157,None,92.8107491100005,None,94.8101820100006,None,96.31028570000126,None,1,['rightCL'],97.3094824000018,None,97.3094824000018,None,97.3094824000018,None,97.3094824000018,None,97.3094824000018,None,0.173828125,-0.3369140625,1,0,0,0.9165343000004214,rightCL,0.016427009999461006,None,98.22588890999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.04122231000164,None,old,images/OBJ_208.png,98.98547490000055,None,98.99218467000009,None,100.49192810000022,None,1,101.49161510000158,None,101.49161510000158,None,101.49161510000158,None,101.49161510000158,None,101.49161510000158,None,101.49161510000158,None,101.49161510000158,None,-0.0224609375,-0.06640625,1,0,0,second_middle,0.01636340999903041,None,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.60686661000054,None,old,images/OBJ_138.png,103.77107670000078,None,103.7746624500005,None,105.27396490000137,None,2,106.27361440000095,None,106.27361440000095,None,106.27361440000095,None,106.27361440000095,None,106.27361440000095,None,106.27361440000095,None,106.27361440000095,None,0.005859375,-0.1337890625,1,0,0,second_middle,0.01642170999912196,None,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.10629881000077,None,old,images/OBJ_133.png,107.33800500000143,None,107.34032274999936,None,108.83953640000072,None,3,109.83925220000128,None,109.83925220000128,None,109.83925220000128,None,109.83925220000128,None,109.83925220000128,None,109.83925220000128,None,109.83925220000128,None,0.0185546875,-0.2939453125,1,0,0,third_right,0.016434609997304506,None,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.95469241000009,None,old,images/OBJ_2.png,110.85245460000078,None,110.85545366000005,None,112.35553280000022,None,4,113.35487420000027,None,113.35487420000027,None,113.35487420000027,None,113.35487420000027,None,113.35487420000027,None,113.35487420000027,None,113.35487420000027,None,0.0283203125,0.0322265625,1,0,0,first_left,0.016435309998996672,None,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.80358131000011,None,old,images/OBJ_75.png,114.6799843000008,None,114.68768485000055,None,116.18734130000121,None,5,117.18707110000105,None,117.18707110000105,None,117.18707110000105,None,117.18707110000105,None,117.18707110000105,None,117.18707110000105,None,117.18707110000105,None,0.0166015625,-0.0361328125,1,0,0,second_middle,0.01643370999772742,None,,,,,,,,,000003,2022-10-20_16h54.42.503,exp,2021.1.4,60.01730899183406,
