EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,10.615589800290763,None,11.131559200119227,None,RML,images/OBJ_158.png,images/OBJ_152.png,images/OBJ_156.png,12.77334040030837,14.27531970012933,14.775152000132948,16.27478860039264,16.774631400126964,None,12.776085280533879,None,14.77550972001627,None,16.775041720177978,None,18.274121300317347,None,same,None,19.902102400083095,21.407043000217527,21.88974660029635,23.389280100353062,23.88915379997343,None,19.907387580443174,None,21.889780220389365,None,23.889173120073973,None,25.389254900161177,None,0,['leftCL'],26.38855620007962,None,26.38855620007962,None,26.38855620007962,None,26.38855620007962,None,26.38855620007962,None,-0.185546875,-0.251953125,1,0,0,0.3629014999605715,leftCL,0.01310242060571909,None,26.7550392200239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
1,0,1,0,,,,,,,,,,,,,,,27.433230000082403,None,LMR,images/OBJ_110.png,images/OBJ_202.png,images/OBJ_92.png,28.97956440038979,30.487807100173086,30.970493500120938,32.4700903003104,32.969978500157595,None,28.987684180215002,None,30.970967420190572,None,32.97039762027562,None,34.469432700425386,None,same,None,36.005868500098586,37.518566000275314,38.00229550013319,39.501323100179434,40.001214400399476,None,36.00228176023811,None,38.001792419981214,None,40.00116212042049,None,41.50075330026448,None,0,['leftCL'],42.50043550040573,None,42.50043550040573,None,42.50043550040573,None,42.50043550040573,None,42.50043550040573,None,-0.234375,-0.3095703125,1,0,0,0.5499654999002814,leftCL,0.016385420225560665,None,43.050318520329895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43.554263800382614,None,None,None,space,34.69669819995761,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.11567582031712,None,,,,,,,,,,old,45.3010255000554,None,45.299625060427935,None,46.815884300041944,None,1,47.81561570009217,None,48.7986432001926,None,48.7986432001926,None,48.7986432001926,None,48.7986432001926,None,48.7986432001926,None,48.7986432001926,None,0.00390625,-0.1357421875,1,0,0,second_middle,0.9995845202356577,None,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,,,,,0,0,0,0,,,,,49.615000100340694,None,49.79131070012227,None,,images/OBJ_58.png,images/OBJ_15.png,images/OBJ_190.png,51.342289300169796,52.84745810041204,53.33067140029743,54.83024430042133,55.330557600129396,None,51.34786918032915,None,53.330706920288506,None,55.330582520272586,None,56.8296366003342,None,same,None,58.37043660040945,59.879152400419116,60.36235269997269,61.86154910037294,62.36138920020312,None,58.37905038027093,None,60.36193702025339,None,62.36137022012845,None,63.860951800365,None,0,['leftCL'],64.86067530000582,None,64.86067530000582,None,64.86067530000582,None,64.86067530000582,None,64.86067530000582,None,-0.138671875,-0.2900390625,1,0,0,0.5665853000245988,leftCL,0.016332320403307676,None,65.42718142019585,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_202.png,MRL,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,,,,,1,0,1,0,,,,,,,66.10214020032436,None,,images/OBJ_125.png,images/OBJ_172.png,images/OBJ_82.png,67.65972400037572,69.15989830018952,69.65973910037428,71.15885880030692,71.6586870001629,None,67.65981328040361,None,69.65925972005353,None,71.65871082041413,None,73.15827909996733,None,same,None,74.70295830024406,76.20737490011379,76.69055140018463,78.1901927003637,78.68993940018117,None,74.70771698020398,None,76.6905365202576,None,78.69003352038563,None,80.18956460012123,None,0,['leftCL'],81.18928320007399,None,81.18928320007399,None,81.18928320007399,None,81.18928320007399,None,81.18928320007399,None,-0.134765625,-0.2841796875,1,0,0,1.966186299920082,leftCL,0.01638501975685358,None,83.15538632012904,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,83.66581619996578,None,None,None,space,75.98478939989582,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.86977782035247,None,,,,,,,,,,old,86.76233480032533,None,86.77136488044634,None,88.27057600021362,None,1,89.27035959996283,None,90.25382019998506,None,90.25382019998506,None,90.25382019998506,None,90.25382019998506,None,90.25382019998506,None,90.25382019998506,None,-0.0146484375,0.0517578125,1,0,0,first_left,0.999207419808954,None,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.36850592009723,None,,,,,,,,,,old,91.57393319997936,None,91.5700503605418,None,93.0858558001928,None,2,94.08554130000994,None,95.05192860029638,None,95.05192860029638,None,95.05192860029638,None,95.05192860029638,None,95.05192860029638,None,95.05192860029638,None,-0.068359375,-0.15234375,1,0,0,second_middle,0.9992043203674257,None,,,,2112,2023-11-27_12h40.58.633,exp,2021.1.4,59.91769703848242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
