EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,57.676680300035514,None,MLR,images/OBJ_204.png,images/OBJ_57.png,images/OBJ_166.png,59.475305299973115,60.99046959995758,61.47367750003468,62.973210499971174,63.472580400062725,None,59.473152879881674,None,61.47361536002718,None,63.473067660047676,None,64.97262989997398,None,diff,MRL,1,66.60401090001687,68.10454059997573,68.60440359998029,70.10396720003337,70.60380989999976,None,66.6050972399069,None,68.60437415998895,None,70.60376616001595,None,72.10389010002837,None,1,['rightCL'],73.10312320000958,None,73.10312320000958,None,73.10312320000958,None,73.10312320000958,None,73.10312320000958,None,0.1474609375,-0.34765625,1,0,0,1.3128166999667883,rightCL,0.013217959902249277,None,74.41943476004526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
1,0,1,0,,,,,,,LMR,images/OBJ_101.png,images/OBJ_187.png,images/OBJ_137.png,75.2070913000498,76.71919380000327,77.20239900005981,78.70196299999952,79.2013372000074,None,75.21909903986379,None,77.20237766001374,None,79.20178316002712,None,80.7009411000181,None,same,MRL,2,82.24065229995176,83.75047089997679,84.23369260004256,85.73271080001723,86.23309190000873,None,82.25071233995259,None,84.23316355997231,None,86.23306056000293,None,87.73251500003971,None,1,['leftCL'],88.73238990001846,None,88.73238990001846,None,88.73238990001846,None,88.73238990001846,None,88.73238990001846,None,-0.2255859375,-0.251953125,1,0,0,0.533285400015302,leftCL,0.016372559941373765,None,89.26508126005065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
2,0,2,0,,,,,,,RML,images/OBJ_154.png,images/OBJ_11.png,images/OBJ_202.png,90.04614530003164,91.54827799997292,92.04805380001199,93.54717749997508,94.04700330004562,None,90.0481355798198,None,92.04803996002302,None,94.04749316005037,None,95.54700060002506,None,diff,RLM,3,97.07883709995076,98.57948179997038,99.07934589998331,100.57841179997195,101.07827409997117,None,97.07972487995868,None,99.07931525998283,None,101.07825056002476,None,102.57787799998187,None,1,['rightCL'],103.57753400004003,None,103.57753400004003,None,103.57753400004003,None,103.57753400004003,None,103.57753400004003,None,0.15625,-0.33984375,1,0,0,0.31619709997903556,rightCL,0.016334560001268983,None,103.894095259998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
3,0,3,0,,,,,,,LMR,images/OBJ_156.png,images/OBJ_21.png,images/OBJ_80.png,104.6854390000226,106.19392660004087,106.67712500004563,108.17658400000073,108.67608100001235,None,104.69382893987931,None,106.67711535997223,None,108.67655125998427,None,110.17564789997414,None,same,RLM,4,111.71715050004423,113.22520560002886,113.70840480003972,115.20795459998772,115.70783359999768,None,111.72540793993976,None,113.70838365999516,None,115.7077985599637,None,117.20739989995491,None,1,['leftCL'],118.20709070004523,None,118.20709070004523,None,118.20709070004523,None,118.20709070004523,None,118.20709070004523,None,-0.1455078125,-0.3125,1,0,0,0.8660231999820098,leftCL,0.016381359891965985,None,119.0730316599831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
4,0,4,0,,,,,,,MRL,images/OBJ_153.png,images/OBJ_155.png,images/OBJ_26.png,119.85849709995091,121.37283000000753,121.85552610002924,123.35504739999305,123.85494470002595,None,119.85555367989001,None,121.85546186000575,None,123.85543116000481,None,125.35446699999738,None,same,RLM,5,126.89339500002097,128.4041018000571,128.88718950003386,130.3863524000626,130.88621919997968,None,126.9043714400148,None,128.88677776004187,None,130.88668356002307,None,132.38574659998994,None,1,['leftCL'],133.38549400004558,None,133.38549400004558,None,133.38549400004558,None,133.38549400004558,None,133.38549400004558,None,-0.119140625,-0.3212890625,1,0,0,0.7498957999050617,leftCL,0.016373859951272607,None,134.13529935996047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
5,0,5,0,,,,,,,LRM,images/OBJ_92.png,images/OBJ_130.png,images/OBJ_32.png,134.9319590999512,136.4350992999971,136.9349455999909,138.43450279999524,138.9343992000213,None,134.93447343988808,None,136.9344228599686,None,138.93388585995416,None,140.45058179995976,None,same,RLM,6,141.99201629997697,143.49969870003406,143.9828948000213,145.482452700031,145.98179910006002,None,141.99995714002287,None,143.98287866001482,None,145.98218026005196,None,147.48186569998506,None,1,['leftCL'],148.4811118999496,None,148.4811118999496,None,148.4811118999496,None,148.4811118999496,None,148.4811118999496,None,-0.1220703125,-0.3271484375,1,0,0,0.4505039000650868,leftCL,0.016381860012188554,None,148.93147646000142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
6,0,6,0,,,,,,,LMR,images/OBJ_99.png,images/OBJ_18.png,images/OBJ_129.png,149.72624119999819,151.23077519994695,151.71398490003776,153.22967559995595,153.71288240002468,None,149.73071773985865,None,151.71344716001767,None,153.71338686002417,None,155.21295990003273,None,same,RLM,7,156.75552889995743,158.26154940004926,158.74526370002422,160.26097890001256,160.74416360002942,None,156.76213823999277,None,158.74477035999297,None,160.74464775999076,None,162.24378060002346,None,1,['leftCL'],163.24349360005,None,163.24349360005,None,163.24349360005,None,163.24349360005,None,163.24349360005,None,-0.275390625,-0.296875,1,0,0,1.5995605000061914,leftCL,0.016350660007447004,None,164.84298856002277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
7,0,7,0,,,,,,,RLM,images/OBJ_44.png,images/OBJ_183.png,images/OBJ_134.png,165.6381500000134,167.14278969995212,167.6260048999684,169.12554659997113,169.6248731999658,None,165.64270063985603,None,167.62547355999703,None,169.6253799599828,None,171.12495430000126,None,same,RLM,8,172.66745509998873,174.17408210004214,174.65729030000512,176.15630939998664,176.65673649997916,None,172.67428183993323,None,174.65714735996443,None,176.65667856000363,None,178.1563055999577,None,1,['leftCL'],179.15543000004254,None,179.15543000004254,None,179.15543000004254,None,179.15543000004254,None,179.15543000004254,None,-0.2685546875,-0.2890625,1,0,0,0.3828182000434026,leftCL,0.01638205989729613,None,179.53867935999295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
8,0,8,0,,,,,,,RLM,images/OBJ_149.png,images/OBJ_63.png,images/OBJ_12.png,180.32577130000573,181.83800800004974,182.30506719998084,183.8045998000307,184.32062130002305,None,180.33839783987494,None,182.3050180599559,None,184.32090765999163,None,185.82024999998976,None,same,RLM,9,187.3571585000027,188.86926840001252,189.35296759998892,190.85201559995767,191.35185710003134,None,187.3533878799295,None,189.35296595997642,None,191.3523737600073,None,192.85197289998177,None,1,['leftCL'],193.85113780002575,None,193.85113780002575,None,193.85113780002575,None,193.85113780002575,None,193.85113780002575,None,-0.2685546875,-0.2890625,1,0,0,0.4832779000280425,leftCL,0.016377359977923334,None,194.3348556600278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
9,0,9,0,,,,,,,RML,images/OBJ_53.png,images/OBJ_165.png,images/OBJ_175.png,195.1355311999796,196.65032220003195,197.133569000056,198.63346210005693,199.1329764999682,None,195.13408373990094,None,197.13389665998983,None,199.1334248600062,None,200.63288289995398,None,same,RLM,10,202.1609185000416,203.664952000021,204.14858330006246,205.64821000001393,206.14808830001857,None,202.16568977993447,None,204.14862466002813,None,206.14806305994279,None,207.6476408999879,None,1,['leftCL'],208.64735270000529,None,208.64735270000529,None,208.64735270000529,None,208.64735270000529,None,208.64735270000529,None,-0.236328125,-0.240234375,1,0,0,0.33317200001329184,leftCL,0.016382459900341928,None,208.9805478599621,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342bhr,2023-01-24_16h34.41.546,exp,2021.1.4,60.12907302899804,
