EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,119.28275900008157,None,120.21961590007413,LMR,images/OBJ_195.png,images/OBJ_148.png,images/OBJ_193.png,122.58031550003216,124.0850646001054,124.56825930008199,126.0678351999959,126.58435430005193,None,122.58463168999879,None,124.56823273008922,None,126.58429023000645,None,128.08391899999697,None,same,None,1,129.71925419999752,131.23298970004544,131.71615089999977,133.21577640005853,133.71557760005817,None,129.71632737008622,None,131.71614183002384,None,133.7155647300533,None,135.2151977000758,None,1,['leftCL'],136.21529770002235,None,136.21529770002235,None,136.21529770002235,None,136.21529770002235,None,136.21529770002235,None,-0.1982421875,-0.3310546875,1,0,0,0.34642890002578497,leftCL,0.013079730095341802,None,136.56481713004177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
1,0,1,0,,,,,,,137.0702807001071,LRM,images/OBJ_168.png,images/OBJ_82.png,images/OBJ_198.png,139.35563340003137,140.86350390000734,141.3467083000578,142.84623490006197,143.3461619000882,None,139.36322594003286,None,141.34666413004743,None,143.34614303003764,None,144.84574470005464,None,same,None,2,146.3883581000846,147.89480260002892,148.3779844000237,149.87801380001474,150.37737160001416,None,146.3951029200107,None,148.37794613005826,None,150.37734893005108,None,151.87740500003565,None,1,['leftCL'],152.87672320008278,None,152.87672320008278,None,152.87672320008278,None,152.87672320008278,None,152.87672320008278,None,-0.20703125,-0.2958984375,1,0,0,0.3835523999296129,leftCL,0.01632613001856953,None,153.26028653007234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
2,0,2,0,,,,,,,153.77255200000945,MRL,images/OBJ_49.png,images/OBJ_91.png,images/OBJ_182.png,156.05738150002435,157.55866120010614,158.0584980000276,159.5580313000828,160.05790860007983,None,156.0584040400572,None,158.05844093003543,None,160.05787393002538,None,161.55749820009805,None,same,None,3,163.09301589999814,164.60656070010737,165.0898034001002,166.58932620007545,167.08918950008228,None,163.09019349009031,None,165.08973383001285,None,167.08920543006388,None,168.58877120004036,None,1,['leftCL'],169.5888571999967,None,169.5888571999967,None,169.5888571999967,None,169.5888571999967,None,169.5888571999967,None,-0.20703125,-0.2958984375,1,0,0,0.2832644000882283,leftCL,0.016341130016371608,None,169.87166043004254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
3,0,3,0,,,,,,,170.38145880005322,RML,images/OBJ_57.png,images/OBJ_130.png,images/OBJ_164.png,172.64936100004707,174.15379310003482,174.63697480002884,176.13655460008886,176.63639370002784,None,172.6535456100828,None,174.6369587299996,None,176.63637513009598,None,178.13599570002407,None,same,None,4,179.6661864001071,181.16841420007404,181.66827840008773,183.1678385999985,183.6676648000721,None,179.66912579006748,None,181.66824723005993,None,183.66765593009768,None,185.16727910004556,None,1,['leftCL'],186.16698570002336,None,186.16698570002336,None,186.16698570002336,None,186.16698570002336,None,186.16698570002336,None,-0.20703125,-0.2958984375,1,0,0,0.2671001000562683,leftCL,0.016350629972293973,None,186.433928930026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
4,0,4,0,,,,,,,186.9333508000709,LMR,images/OBJ_10.png,images/OBJ_17.png,images/OBJ_143.png,189.20659270009492,190.715624100063,191.19888180005364,192.69839230005164,193.19826700002886,None,189.21535294002388,None,191.198820730031,None,193.19818683009362,None,194.697814400075,None,same,None,5,196.23960420000367,197.74692260008305,198.2301085999934,199.72966200008523,200.22953520005103,None,196.24717602005694,None,198.2300495301024,None,200.22949023003457,None,201.72949709999375,None,1,['leftCL'],202.7287987000309,None,202.7287987000309,None,202.7287987000309,None,202.7287987000309,None,202.7287987000309,None,-0.20703125,-0.2958984375,1,0,0,0.3170456000370905,leftCL,0.01634103001561016,None,203.04573433002224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.89397552999435,None,old,images/OBJ_193.png,203.82580700004473,None,203.82775364001282,None,205.32808270002715,None,1,206.3278218000196,None,207.31083360000048,None,207.31083360000048,None,207.31083360000048,None,207.31083360000048,None,207.31083360000048,None,207.31083360000048,None,0.01953125,-0.298828125,1,0,0,third_right,1.0152613298268989,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.80959203006933,None,old,images/OBJ_168.png,208.64798360003624,None,208.6431433800608,None,210.15998130000662,None,2,211.1597105000401,None,212.12607730005402,None,212.12607730005402,None,212.12607730005402,None,212.12607730005402,None,212.12607730005402,None,212.12607730005402,None,-0.021484375,0.044921875,1,0,0,first_left,0.9990885299630463,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.77481303008972,None,old,images/OBJ_182.png,213.55988900002558,None,213.55874228000175,None,215.07519070000853,None,3,216.0748878000304,None,217.04127820010763,None,217.04127820010763,None,217.04127820010763,None,217.04127820010763,None,217.04127820010763,None,217.04127820010763,None,0.01953125,-0.12890625,1,0,0,second_middle,0.9991687299916521,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.37344803003361,None,old,images/OBJ_49.png,218.52641090005636,None,218.52355448005255,None,220.04042720003054,None,4,221.04012920008972,None,222.0065160000231,None,222.0065160000231,None,222.0065160000231,None,222.0065160000231,None,222.0065160000231,None,222.0065160000231,None,-0.0029296875,-0.318359375,1,0,0,third_right,0.9991124300286174,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.18874893005705,None,old,images/OBJ_10.png,223.12917270010803,None,223.13884131010855,None,224.6391037000576,None,5,225.6391945000505,None,226.60517260001507,None,226.60517260001507,None,226.60517260001507,None,226.60517260001507,None,226.60517260001507,None,226.60517260001507,None,-0.0107421875,0.083984375,1,0,0,first_left,0.9991321298293769,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.73699623002904,None,old,images/OBJ_57.png,227.95449510007165,None,227.95409311010735,None,229.45434320007917,None,6,230.45410259999335,None,231.43709550006315,None,231.43709550006315,None,231.43709550006315,None,231.43709550006315,None,231.43709550006315,None,231.43709550006315,None,0.0537109375,-0.1337890625,1,0,0,second_middle,0.999078230233863,None,BS1004,2023-07-11_09h47.10.589,exp,2021.1.4,60.00726087796803,
