EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,12.838926600000377,None,13.674976999999672,None,LRM,images/OBJ_165.png,images/OBJ_147.png,images/OBJ_143.png,15.538601500000368,17.04602580000028,17.529146099999707,19.029204100000243,19.52908959999968,None,15.546513550000599,None,17.529222550000306,None,19.52854445000012,None,21.02813839999999,None,same,None,1,22.65484600000036,24.161074700000427,24.643743599999652,26.143309000000045,26.643217099999674,None,22.660902750000243,None,24.643744550000157,None,26.643154650000362,None,28.142745500000274,None,1,['leftCL'],29.142464200000177,None,29.142464200000177,None,29.142464200000177,None,29.142464200000177,None,29.142464200000177,None,-0.1689453125,-0.298828125,1,0,0,3.9619224000007307,leftCL,0.013196750000133761,None,33.1079888500004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
1,0,1,0,,,,,,,33.843024499999956,None,RML,images/OBJ_65.png,images/OBJ_103.png,images/OBJ_150.png,35.620327599999655,37.12344839999969,37.62379249999958,39.12287060000017,39.62320980000004,None,35.62402075000064,None,37.623344250000265,None,39.62268585000002,None,41.12228059999961,None,same,None,2,42.6539886999999,44.15473050000037,44.65462599999955,46.154141699999855,46.65399129999969,None,42.65506245000034,None,44.65464035000023,None,46.6544853499996,None,48.153579900000295,None,1,['leftCL'],49.15364860000045,None,49.15364860000045,None,49.15364860000045,None,49.15364860000045,None,49.15364860000045,None,-0.1689453125,-0.298828125,1,0,0,0.7998397000001205,leftCL,0.016400850000536593,None,49.95305355000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
2,0,2,0,,,,,,,50.693404499999815,None,LMR,images/OBJ_22.png,images/OBJ_116.png,images/OBJ_182.png,52.47789219999959,53.98521139999957,54.46836979999989,55.96794959999988,56.46780829999989,None,52.48571810000049,None,54.46839125000006,None,56.46781084999984,None,57.96740740000041,None,same,None,3,59.50841190000028,61.016470700000355,61.49967689999994,62.99924790000023,63.499093999999786,None,59.516845499999725,None,61.5001710499997,None,63.49907674999995,None,64.99869969999963,None,1,['leftCL'],65.99885830000039,None,65.99885830000039,None,65.99885830000039,None,65.99885830000039,None,65.99885830000039,None,-0.1689453125,-0.298828125,1,0,0,0.6664533000002848,leftCL,0.01639915000032488,None,66.6647838499999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
3,0,3,0,,,,,,,67.39681699999983,None,RLM,images/OBJ_131.png,images/OBJ_193.png,images/OBJ_148.png,69.1697366999997,70.68030970000018,71.16353619999973,72.66308019999997,73.1634266000001,None,69.18086180000027,None,71.16357794999985,None,73.16295465000039,None,74.66250080000009,None,same,None,4,76.2018436999997,77.71160109999983,78.19477869999992,79.6944110000004,80.19424960000015,None,76.21198260000018,None,78.19479505000035,None,80.19421494999969,None,81.6942839000003,None,1,['leftCL'],82.69400719999976,None,82.69400719999976,None,82.69400719999976,None,82.69400719999976,None,82.69400719999976,None,-0.1689453125,-0.298828125,1,0,0,0.5835791999998037,leftCL,0.016393650000281923,None,83.27717094999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
4,0,4,0,,,,,,,84.0015900999997,None,MRL,images/OBJ_60.png,images/OBJ_25.png,images/OBJ_88.png,85.78057780000017,87.29262420000032,87.77533399999993,89.27493630000026,89.77473869999994,None,85.79269800000093,None,87.77531764999966,None,89.77474194999976,None,91.27481939999961,None,same,None,5,92.81115380000028,94.32344029999967,94.80662699999993,96.30618810000033,96.80600990000039,None,92.80762695000048,None,94.80661265000035,None,96.80604145000015,None,98.30557399999998,None,1,['leftCL'],99.30585960000008,None,99.30585960000008,None,99.30585960000008,None,99.30585960000008,None,99.30585960000008,None,-0.169921875,-0.298828125,1,0,0,0.5332680999999866,leftCL,0.01640405000125611,None,99.83850535000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8203837500001,None,old,images/OBJ_150.png,100.6177901000001,None,100.62165630000054,None,102.12163810000038,None,1,103.1213429999998,None,104.10440029999972,None,104.10440029999972,None,104.10440029999972,None,104.10440029999972,None,104.10440029999972,None,104.10440029999972,None,-0.015625,-0.12890625,1,0,0,second_middle,0.9991031500003373,None,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.73560824999967,None,old,images/OBJ_25.png,105.56704830000035,None,105.57023840000019,None,107.06969360000039,None,2,108.06941370000004,None,109.03578389999984,None,109.03578389999984,None,109.03578389999984,None,109.03578389999984,None,109.03578389999984,None,109.03578389999984,None,-0.0322265625,-0.1630859375,1,0,0,second_middle,0.99923575000048,None,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.65088295000041,None,old,images/OBJ_182.png,110.50519520000034,None,110.502176950001,None,112.01827310000044,None,3,113.01797830000032,None,113.98435179999979,None,113.98435179999979,None,113.98435179999979,None,113.98435179999979,None,113.98435179999979,None,113.98435179999979,None,0.021484375,0.0390625,1,0,0,first_left,0.9992133500009004,None,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.16620124999972,None,old,images/OBJ_103.png,115.39594579999994,None,115.40073150000043,None,116.90067269999963,None,4,117.90037010000015,None,118.86666739999964,None,118.86666739999964,None,118.86666739999964,None,118.86666739999964,None,118.86666739999964,None,118.86666739999964,None,0.0302734375,-0.16015625,1,0,0,second_middle,0.9996448500005499,None,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.73203965000047,None,old,images/OBJ_147.png,119.91854969999986,None,119.91602350000048,None,121.43267939999987,None,5,122.43240679999963,None,123.39829660000032,None,123.39829660000032,None,123.39829660000032,None,123.39829660000032,None,123.39829660000032,None,123.39829660000032,None,0.037109375,-0.2470703125,1,0,0,third_right,0.9991897500003688,None,BS1006,2023-07-18_14h59.18.033,exp,2021.1.4,59.99782807856492,
