EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,encodingTrials,clickedSound.started,clickedSound.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,36.24753449996933,None,36.85549219988752,None,RML,images/OBJ_125.png,images/OBJ_168.png,images/OBJ_66.png,38.72459239989985,40.237571899895556,40.70411559997592,42.20365879999008,42.7202065999154,None,38.73713961991016,None,40.70403832992306,None,42.72012522994773,None,44.21976559993345,None,same,None,45.85661249991972,47.368844499927945,47.83549949992448,49.33496169990394,49.85144489991944,None,45.8692792999791,None,47.835387829958925,None,49.85189552992815,None,51.35104879993014,None,1,['leftCL'],52.35074759996496,None,52.35074759996496,None,52.35074759996496,None,52.35074759996496,None,52.35074759996496,None,-0.1455078125,-0.21484375,1,0,0,0.33010809996630996,leftCL,0.01309452997520566,None,1,52.68393562993733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
1,0,1,0,,,,,,,,,,,,,,,53.41264679993037,None,RML,images/OBJ_48.png,images/OBJ_17.png,images/OBJ_89.png,55.19355619989801,56.69945769989863,57.18263919989113,58.68221459991764,59.18206319992896,None,55.19922903988044,None,57.18259842999978,None,59.18199632995529,None,60.68163539993111,None,same,None,62.22293969988823,63.730723499902524,64.21394079993479,65.71350009995513,66.21336829999927,None,62.23098591996823,None,64.21390492996434,None,66.21336452992401,None,67.71295809990261,None,1,['leftCL'],68.71265030000359,None,68.71265030000359,None,68.71265030000359,None,68.71265030000359,None,68.71265030000359,None,-0.1640625,-0.28515625,1,0,0,0.39985769998747855,leftCL,0.0162919299909845,None,2,69.11250542992494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
2,0,2,0,,,,,,,,,,,,,,,69.84738719998859,None,RML,images/OBJ_18.png,images/OBJ_56.png,images/OBJ_26.png,71.63330569991376,73.14473369996995,73.6278578999918,75.12741939991247,75.62730319995899,None,71.6444089399185,None,73.62782952996204,None,75.62725802991773,None,77.12686069996562,None,same,None,78.66491219995078,80.17596109991428,80.65916699997615,82.15874119999353,82.65856699994765,None,78.67668881991413,None,80.65910352991196,None,82.65851212994895,None,84.1581280999817,None,1,['leftCL'],85.15785979991779,None,85.15785979991779,None,85.15785979991779,None,85.15785979991779,None,85.15785979991779,None,-0.1640625,-0.28515625,1,0,0,0.2662062000017613,leftCL,0.016348429955542088,None,3,85.42441502996954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3396543299663,None,old,86.19978229992557,None,86.206879739929,None,87.7071248999564,None,1,88.70684429991525,None,89.67321659997106,None,89.67321659997106,None,89.67321659997106,None,89.67321659997106,None,89.67321659997106,None,89.67321659997106,None,0.04296875,-0.1484375,1,0,0,second_middle,1.015576730016619,None,1,images/OBJ_56.png,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.72142572995509,None,old,91.09842189995106,None,91.10552910995904,None,92.60572629992384,None,2,93.6053812999744,None,94.58844009996392,None,94.58844009996392,None,94.58844009996392,None,94.58844009996392,None,94.58844009996392,None,94.58844009996392,None,0.03515625,0.0419921875,1,0,0,first_left,1.0153689299477264,None,2,images/OBJ_66.png,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.23056149994954,None,None,None,space,62.06943899998441,None,None,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,,,,,0,0,0,0,,,,,,,98.31809869990684,None,,images/OBJ_210.png,images/OBJ_200.png,images/OBJ_146.png,99.86558539990801,101.36978680000175,101.85299539996777,103.35260599991307,103.8524045998929,None,99.87011051995215,None,101.85335312996759,None,103.85236142998329,None,105.35201489995234,None,same,None,106.88960100000259,108.40109709999524,108.8842884999467,110.38385729992297,110.88370329991449,None,106.90126191989985,None,108.88422212997685,None,110.88366642993643,None,112.38325189996976,None,1,['leftCL'],113.38296829990577,None,113.38296829990577,None,113.38296829990577,None,113.38296829990577,None,113.38296829990577,None,-0.1689453125,-0.3046875,1,0,0,0.3499376999679953,leftCL,0.016272629844024777,None,4,113.73291072997964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLM,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,,,,,1,0,1,0,,,,,,,114.46704399993178,None,,images/OBJ_58.png,images/OBJ_68.png,images/OBJ_93.png,116.033394799917,117.54894179990515,118.03210209996905,119.53170839999802,120.03152239997871,None,116.03210231990089,None,118.03212763000047,None,120.03149622996571,None,121.53110789996572,None,same,None,123.08184849994723,124.59637729998212,125.07960939989425,126.57915169990156,127.07897019991651,None,123.08002861998976,None,125.07957652994665,None,127.0794284299831,None,128.57854369992856,None,1,['leftCL'],129.57828549994156,None,129.57828549994156,None,129.57828549994156,None,129.57828549994156,None,129.57828549994156,None,-0.1689453125,-0.3046875,1,0,0,0.2994647000450641,leftCL,0.016336829983629286,None,5,129.87813302994473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,,,,,2,0,2,0,,,,,,,130.6064885999076,None,,images/OBJ_99.png,images/OBJ_33.png,images/OBJ_86.png,132.16339669993613,133.67760039994027,134.16025229997467,135.6597846999066,136.1597005999647,None,132.1607451199321,None,134.1602136299829,None,136.1596289299545,None,137.65925439994317,None,diff,MLR,139.2080932999961,140.70836449996568,141.2082404999528,142.7077569999965,143.20763649989385,None,139.20859741992317,None,141.20818522995106,None,143.2076120298938,None,144.70718039991334,None,1,['rightCL'],145.7069354999112,None,145.7069354999112,None,145.7069354999112,None,145.7069354999112,None,145.7069354999112,None,0.2138671875,-0.2607421875,1,0,0,0.7494042000034824,rightCL,0.016338129877112806,None,6,146.45668952997076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.85544732996496,None,old,146.98156939994078,None,146.98978608996842,None,148.4894847999094,None,3,149.48915059992578,None,150.472219999996,None,150.472219999996,None,150.472219999996,None,150.472219999996,None,150.472219999996,None,150.472219999996,None,-0.02734375,-0.0830078125,1,0,0,second_middle,1.0157041299389675,None,3,images/OBJ_168.png,,,,,,,,,,BS_1001,2023-09-20_11h46.24.786,exp,2021.1.4,59.988254280209894,
