EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,24.290675599942915,None,24.792666999972425,None,RML,images/OBJ_119.png,images/OBJ_64.png,images/OBJ_92.png,26.666320799966343,28.176423399941996,28.659655299969018,30.159179499954917,30.659088799962774,None,26.676914619887246,None,28.65967117998516,None,30.659086879959794,None,32.1586325999815,None,same,None,33.79630259994883,35.30826890002936,35.79090639995411,37.290452799992636,37.79028219997417,None,33.80812009994406,None,35.79090977999149,None,37.790271080017554,None,39.29028209997341,None,1,['leftCL'],40.29007470002398,None,40.29007470002398,None,40.29007470002398,None,40.29007470002398,None,40.29007470002398,None,-0.16796875,-0.3154296875,1,0,0,0.4128964999690652,leftCL,0.012981879990547895,None,40.70619748000754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
1,0,1,0,,,,,,,,,,,,,,,41.44157050002832,None,LRM,images/OBJ_123.png,images/OBJ_184.png,images/OBJ_9.png,43.22973769996315,44.73827720002737,45.22153049998451,46.721009899978526,47.22094000002835,None,43.238785739918235,None,45.221490979928056,None,47.22092188001843,None,48.720471299951896,None,same,None,50.269588500028476,51.76955430000089,52.269783600000665,53.769409199943766,54.26886519999243,None,50.26999182000291,None,52.2694108799682,None,54.26887247994309,None,55.768432799959555,None,1,['leftCL'],56.76818649994675,None,56.76818649994675,None,56.76818649994675,None,56.76818649994675,None,56.76818649994675,None,-0.1455078125,-0.283203125,1,0,0,2.8664009999483824,leftCL,0.016392479999922216,None,59.634434780024456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.96611467996846,None,2,old,60.4222155000316,None,60.43371021988569,None,61.933718299958855,None,1,62.933371699997224,None,63.899755600024946,None,63.899755600024946,None,63.899755600024946,None,63.899755600024946,None,63.899755600024946,None,63.899755600024946,None,-0.00390625,-0.15234375,1,0,0,second_middle,0.9995005800155923,None,,,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49815088001779,None,,old,65.7193342000246,None,65.7160366798984,None,67.23214249999728,None,2,68.2320016999729,None,69.1982519000303,None,69.1982519000303,None,69.1982519000303,None,69.1982519000303,None,69.1982519000303,None,69.1982519000303,None,-0.0029296875,-0.15234375,1,0,0,second_middle,0.9996218800079077,None,,,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_92.png,70.00574789999519,None,None,None,space,47.5162034999812,None,None,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,0,0,0,0,,,,,,,71.81163829995785,None,,images/OBJ_137.png,images/OBJ_146.png,images/OBJ_134.png,73.35819769999944,74.86288010003045,75.34601999993902,76.84563769993838,77.34548619994894,None,73.36369882002474,None,75.34603717996507,None,77.34546398002422,None,78.8450611999724,None,same,None,80.38740599993616,81.89414310001303,82.37738179997541,83.87694490002468,84.37725669995416,None,80.39489011992701,None,82.3774213799392,None,84.37680837992812,None,85.87634660000913,None,1,['leftCL'],86.87608519999776,None,86.87608519999776,None,86.87608519999776,None,86.87608519999776,None,86.87608519999776,None,-0.1083984375,-0.2451171875,1,0,0,0.4837440999690443,leftCL,0.016266279970295727,None,87.359913879924,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,1,0,1,0,,,,,,,88.08938419993501,None,,images/OBJ_166.png,images/OBJ_39.png,images/OBJ_37.png,89.63563189993147,91.14147329994012,91.62468220002484,93.12421389995143,93.62448009999935,None,89.64189401993063,None,91.62464567999123,None,93.62451108001406,None,95.12398469995242,None,same,None,96.66583159996662,98.1728019999573,98.65603850001935,100.15588380000554,100.65536820003763,None,96.6735754199559,None,98.65592407997465,None,100.65574798003072,None,102.15497739997227,None,1,['leftCL'],103.1546670999378,None,103.1546670999378,None,103.1546670999378,None,103.1546670999378,None,103.1546670999378,None,-0.1513671875,-0.2373046875,1,0,0,0.7002700000302866,leftCL,0.016389479977078736,None,103.85484627998667,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,2,0,2,0,,,,,,,104.60272199998144,None,,images/OBJ_61.png,images/OBJ_141.png,images/OBJ_87.png,106.15862909995485,107.6699924999848,108.15357219998259,109.65276660001837,110.15262660000008,None,106.17043409991311,None,108.15315197993769,None,110.15262257998111,None,111.65218780003488,None,same,None,113.20470210001804,114.7183728000382,115.2011803999776,116.70074060000479,117.2005327999359,None,113.20163642000408,None,115.20115807993571,None,117.20053667997709,None,118.70053209993057,None,1,['leftCL'],119.70034460001625,None,119.70034460001625,None,119.70034460001625,None,119.70034460001625,None,119.70034460001625,None,-0.1513671875,-0.2373046875,1,0,0,0.2666325999889523,leftCL,0.016312179970555007,None,119.96693048001035,None,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRL,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.26567068001023,None,5,old,120.493480599951,None,120.49959994001547,None,121.99919729994144,None,3,122.99886970000807,None,123.96523920004256,None,123.96523920004256,None,123.96523920004256,None,123.96523920004256,None,123.96523920004256,None,123.96523920004256,None,-0.0068359375,-0.12109375,1,0,0,second_middle,0.9990885799052194,None,,images/OBJ_119.png,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.58061578000198,None,,old,124.79547250003088,None,124.79876453998732,None,126.29796100000385,None,4,127.29767959995661,None,128.28067729994655,None,128.28067729994655,None,128.28067729994655,None,128.28067729994655,None,128.28067729994655,None,128.28067729994655,None,-0.0068359375,-0.12109375,1,0,0,second_middle,1.0153832798823714,None,,images/OBJ_9.png,,,,,,,,,,BS_1001,2023-09-20_13h44.54.282,exp,2021.1.4,60.098284713609374,
