EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,17.79317379999884,None,18.43913529999918,None,MLR,images/OBJ_200.png,images/OBJ_14.png,images/OBJ_105.png,20.322451799998817,21.836364999999205,22.319524900000033,23.819126200000028,24.319433799999388,None,20.321142979999788,None,22.31953426,None,24.318970859999173,None,25.818538699999408,None,same,None,1,27.453827600000295,28.96757819999948,29.45077229999879,30.950312099999792,31.45021049999923,None,27.451521639998827,None,29.45079046000028,None,31.4502295600003,None,32.94980349999969,None,1,['leftCL'],33.949534600000334,None,33.949534600000334,None,33.949534600000334,None,33.949534600000334,None,33.949534600000334,None,-0.140625,-0.2109375,1,0,0,0.34628819999852567,leftCL,0.013094060001094476,None,34.29942455999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
1,0,1,0,,,,,,,35.031751200000144,None,RML,images/OBJ_9.png,images/OBJ_208.png,images/OBJ_91.png,36.80896529999882,38.3148626000002,38.79855239999961,40.29757929999869,40.79745589999948,None,36.815719479999096,None,38.798067360000275,None,40.79747385999944,None,42.297579199999745,None,diff,LMR,2,43.83827719999863,45.34662380000009,45.82934999999998,47.32942220000041,47.82872159999897,None,43.847063439999324,None,45.829349360000194,None,47.828782260000295,None,49.328296699999555,None,1,['rightCL'],50.328505600000426,None,50.328505600000426,None,50.328505600000426,None,50.328505600000426,None,50.328505600000426,None,0.154296875,-0.3671875,1,0,0,0.48327529999914987,rightCL,0.016416959999332903,None,50.8112434599996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
2,0,2,0,,,,,,,51.55357389999881,None,RML,images/OBJ_129.png,images/OBJ_85.png,images/OBJ_187.png,53.326382600000215,54.826675199999954,55.32655840000007,56.826125100000354,57.32597369999894,None,53.328158919999254,None,55.32660775999902,None,57.32600736000022,None,58.825543999999354,None,same,LMR,3,60.365786399999706,61.874620599999616,62.357860099999016,63.85747420000007,64.3577680999988,None,60.3751513399995,None,62.35787466000038,None,64.357278459999,None,65.85681529999965,None,1,['leftCL'],66.85697929999878,None,66.85697929999878,None,66.85697929999878,None,66.85697929999878,None,66.85697929999878,None,-0.1865234375,-0.1689453125,1,0,0,0.3004026000016893,leftCL,0.01640276000034646,None,67.40689035999894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
3,0,3,0,,,,,,,68.13388560000021,None,MRL,images/OBJ_37.png,images/OBJ_149.png,images/OBJ_137.png,69.91415769999912,71.4223611999987,71.90557219999937,73.40461959999993,73.90446779999911,None,69.92272038000046,None,71.90507085999961,None,73.90447706000013,None,75.40458579999904,None,same,LMR,4,76.94434299999921,78.45364549999977,78.93638699999974,80.43592119999994,80.93624379999892,None,76.9536834399998,None,78.9364247599995,None,80.9357890599993,None,82.43533500000012,None,1,['leftCL'],83.43553119999888,None,83.43553119999888,None,83.43553119999888,None,83.43553119999888,None,83.43553119999888,None,-0.203125,-0.25,1,0,0,0.2999277999988408,leftCL,0.01640546000089671,None,83.73499505999898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
4,0,4,0,,,,,,,84.47226229999978,None,LRM,images/OBJ_166.png,images/OBJ_173.png,images/OBJ_111.png,86.25298079999993,87.76711299999988,88.25084079999942,89.7665237000001,90.24970550000035,None,86.25126091999991,None,88.25088855999893,None,90.24975325999985,None,91.74927469999966,None,diff,RML,5,93.29240690000006,94.79837789999874,95.28155999999944,96.78112519999922,97.28098030000001,None,93.29877733999929,None,95.28159836000013,None,97.28098795999976,None,98.78053199999886,None,0,['leftCL'],99.78076979999969,None,99.78076979999969,None,99.78076979999969,None,99.78076979999969,None,99.78076979999969,None,-0.1962890625,-0.2822265625,1,0,0,0.26609559999997145,leftCL,0.01637225999729708,None,100.0468496599995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.81262356000006,None,old,images/OBJ_200.png,100.83117560000028,None,100.8303685800005,None,102.34626500000013,None,1,103.3459215999992,None,104.32897459999913,None,104.32897459999913,None,104.32897459999913,None,104.32897459999913,None,104.32897459999913,None,104.32897459999913,None,-0.03515625,-0.15625,1,0,0,second_middle,1.0155118600014248,None,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.32799695999965,None,old,images/OBJ_37.png,105.56095089999872,None,105.56226845999917,None,107.06148899999971,None,2,108.06117529999938,None,109.02754119999918,None,109.02754119999918,None,109.02754119999918,None,109.02754119999918,None,109.02754119999918,None,109.02754119999918,None,-0.03515625,-0.15625,1,0,0,second_middle,1.01544315999854,None,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.92619126000027,None,old,images/OBJ_137.png,110.0746307999998,None,110.07762165999956,None,111.57680339999933,None,3,112.57704769999873,None,113.54294309999932,None,113.54294309999932,None,113.54294309999932,None,113.54294309999932,None,113.54294309999932,None,113.54294309999932,None,-0.04296875,-0.265625,1,0,0,third_right,0.9992399599977944,None,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.72484995999984,None,old,images/OBJ_105.png,114.68193559999963,None,114.69297442000024,None,116.19263689999934,None,4,117.19185459999971,None,118.15825070000028,None,118.15825070000028,None,118.15825070000028,None,118.15825070000028,None,118.15825070000028,None,118.15825070000028,None,0.00390625,0.03125,1,0,0,first_left,0.9992608600005042,None,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.54006285999894,None,old,images/OBJ_129.png,119.48241559999951,None,119.49206831999945,None,120.99075209999864,None,5,121.99050119999993,None,122.9740012000002,None,122.9740012000002,None,122.9740012000002,None,122.9740012000002,None,122.9740012000002,None,122.9740012000002,None,-0.0009765625,0.0390625,1,0,0,first_left,0.9994495600003575,None,BS_1008,2023-07-18_15h12.37.920,exp,2021.1.4,60.134713786231714,
