EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,11.808251599999494,None,12.57161559999986,None,LMR,images/OBJ_129.png,images/OBJ_84.png,images/OBJ_36.png,14.447490700000344,15.96249379999972,16.445676299999832,17.945270999998684,18.44530969999869,None,14.446309080000718,None,16.44568995999871,None,18.44521205999954,None,19.94473079999989,None,diff,LRM,1,21.582533599999806,23.094244699999763,23.576984299999822,25.077059100000042,25.576386299999285,None,21.593944700000065,None,23.576939059999496,None,25.57631976000048,None,27.075922099998934,None,1,['rightCL'],28.075670000000173,None,28.075670000000173,None,28.075670000000173,None,28.075670000000173,None,28.075670000000173,None,0.162109375,-0.265625,1,0,0,0.3968934000004083,rightCL,0.013212460000431747,None,28.47557385999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
1,0,1,0,,,,,,,,,,,29.209506400000464,None,MRL,images/OBJ_61.png,images/OBJ_32.png,images/OBJ_6.png,30.996775499999785,32.50768629999948,32.99138359999961,34.4904389000003,34.99078929999996,None,31.00771898000021,None,32.99082425999914,None,34.99026265999928,None,36.48983489999955,None,same,LRM,2,38.03285719999985,39.538938300000154,40.02214879999883,41.52219519999926,42.021575999999186,None,38.03918713999919,None,40.0221758599997,None,42.02161135999959,None,43.52111580000019,None,1,['leftCL'],44.52085509999961,None,44.52085509999961,None,44.52085509999961,None,44.52085509999961,None,44.52085509999961,None,-0.1357421875,-0.2578125,1,0,0,0.5832031999998435,leftCL,0.016356160000214004,None,45.103978360000475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
2,0,2,0,,,,,,,,,,,45.833262500000274,None,RLM,images/OBJ_71.png,images/OBJ_31.png,images/OBJ_145.png,47.595745099999476,49.10328159999881,49.58603559999938,51.08558889999949,51.58544450000045,None,47.60291002000049,None,49.586005060000026,None,51.58541816000034,None,53.085411199999726,None,same,LRM,3,54.615295499999775,56.11746359999961,56.617311199999676,58.116853999999876,58.61672910000016,None,54.61811437999932,None,56.6172675599988,None,58.617190360000315,None,60.11678480000046,None,1,['leftCL'],61.11610060000021,None,61.11610060000021,None,61.11610060000021,None,61.11610060000021,None,61.11610060000021,None,-0.13671875,-0.2578125,1,0,0,0.29852759999994305,leftCL,0.01495846000034362,None,61.4158995599988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.23121026000044,None,old,images/OBJ_61.png,62.19543429999976,None,62.19858087999892,None,63.698517200000424,None,1,64.69832469999892,None,65.68134540000028,None,65.68134540000028,None,65.68134540000028,None,65.68134540000028,None,65.68134540000028,None,65.68134540000028,None,-0.01171875,0.0537109375,1,0,0,first_left,1.0157042600003479,None,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.76321285999947,None,old,images/OBJ_31.png,66.98222079999869,None,66.98110206000055,None,68.49767950000023,None,2,69.49691109999912,None,70.46327399999973,None,70.46327399999973,None,70.46327399999973,None,70.46327399999973,None,70.46327399999973,None,70.46327399999973,None,-0.0234375,-0.1474609375,1,0,0,second_middle,0.9991334599999391,None,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2785545599996,None,old,images/OBJ_145.png,71.51284229999874,None,71.51259645999889,None,73.01256929999909,None,3,74.01226419999875,None,74.97862259999965,None,74.97862259999965,None,74.97862259999965,None,74.97862259999965,None,74.97862259999965,None,74.97862259999965,None,-0.0166015625,-0.25,1,0,0,third_right,0.9992593600018154,None,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78227890000016,None,None,None,space,66.8230440999996,None,None,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,,,,,0,0,0,0,,,78.62088620000031,None,RML,images/OBJ_208.png,images/OBJ_38.png,images/OBJ_69.png,80.1817745999997,81.69335259999934,82.17655179999929,83.6760919999997,84.17593719999968,None,80.19361649999883,None,82.17660885999939,None,84.17591666000007,None,85.67599039999914,None,same,LRM,4,87.23762119999992,88.741242099999,89.22448359999908,90.72401059999902,91.22394150000036,None,87.24169664,None,89.22441516000035,None,91.22390176000008,None,92.72341039999992,None,1,['leftCL'],93.72316539999883,None,93.72316539999883,None,93.72316539999883,None,93.72316539999883,None,93.72316539999883,None,-0.126953125,-0.267578125,1,0,0,0.4169497000002593,leftCL,0.016195660000448697,None,94.14019325999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,,,,,1,0,1,0,,,94.87377729999935,None,LMR,images/OBJ_174.png,images/OBJ_59.png,images/OBJ_163.png,96.43121319999955,97.93857629999911,98.42179919999944,99.92134239999905,100.42120729999988,None,96.43898433999892,None,98.42175835999987,None,100.42119685999896,None,101.92078789999869,None,same,LRM,5,103.45534279999993,104.96985779999886,105.45301899999868,106.95263849999901,107.45244509999975,None,103.45394018000006,None,105.45305096000047,None,107.4524493599998,None,108.95206019999932,None,1,['leftCL'],109.9522638999988,None,109.9522638999988,None,109.9522638999988,None,109.9522638999988,None,109.9522638999988,None,-0.130859375,-0.2412109375,1,0,0,0.7664996999992582,leftCL,0.016329059999407036,None,110.71822315999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS1009,2023-07-18_15h36.00.709,exp,2021.1.4,60.01824554649089,
,,,,,,,,,,,,,,111.44791619999887,None,RML,images/OBJ_167.png,images/OBJ_164.png,images/OBJ_177.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
