EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,17.382392699830234,None,17.88601619983092,None,RML,images/OBJ_39.png,images/OBJ_171.png,images/OBJ_64.png,19.549194799736142,21.062070299871266,21.54574849968776,23.044807999860495,23.544677199795842,None,19.54589160019532,None,21.545746950060128,None,23.544641949795185,None,25.044757599942386,None,diff,MLR,26.710031100083143,28.20998249994591,28.709913400001824,30.209434299729764,30.709298599977046,None,26.710338599979877,None,28.709917649719863,None,30.709296649880706,None,32.20887940004468,None,0,['leftCL'],33.20858349977061,None,33.20858349977061,None,33.20858349977061,None,33.20858349977061,None,33.20858349977061,None,-0.2451171875,-0.369140625,1,0,0,0.3630260000936687,leftCL,0.013211550191044807,None,33.575133150070904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
1,0,1,0,,,,,,,,,,,,,,,34.24704089993611,None,LMR,images/OBJ_43.png,images/OBJ_181.png,images/OBJ_56.png,35.83248730003834,37.34123109979555,37.82444110000506,39.32354349968955,39.823362099938095,None,35.84120209990069,None,37.82393194977194,None,39.82338135000318,None,41.32347350008786,None,same,MLR,42.91086629964411,44.42205989966169,44.9057332999073,46.40527840005234,46.90513429977,None,42.905728850048035,None,44.905726350005715,None,46.9052037499845,None,48.40471090003848,None,0,['leftCL'],49.404006499797106,None,49.404006499797106,None,49.404006499797106,None,49.404006499797106,None,49.404006499797106,None,-0.1748046875,-0.3046875,1,0,0,0.26626869989559054,leftCL,0.016345949843525887,None,49.67058224985376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.17279869969934,None,None,None,space,34.82114970032126,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.30192884998396,None,,,,,,,,,,old,52.20564269972965,None,52.20311405025422,None,53.71938009979203,None,1,54.71904299966991,None,55.68593139993027,None,55.68593139993027,None,55.68593139993027,None,55.68593139993027,None,55.68593139993027,None,55.68593139993027,None,0.0244140625,-0.1328125,1,0,0,second_middle,0.9995696502737701,None,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,,,,,0,0,0,0,,,,,56.80391589971259,None,58.359895299654454,None,,images/OBJ_64.png,images/OBJ_39.png,images/OBJ_171.png,59.96170899970457,61.46760049974546,61.950794300064445,63.449923399835825,63.95020129997283,None,59.96754475003108,None,61.95079915001988,None,63.94971115011722,None,65.44928609998897,None,same,MLR,67.07312489999458,68.58149169990793,69.06468890001997,70.56425479985774,71.06409989995882,None,67.0822325501591,None,69.0646865499206,None,71.06412275005133,None,72.56367309996858,None,0,['leftCL'],73.56339089991525,None,73.56339089991525,None,73.56339089991525,None,73.56339089991525,None,73.56339089991525,None,-0.1591796875,-0.220703125,1,0,0,0.5497914999723434,leftCL,0.016240650322288275,None,74.11321565005929,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,images/OBJ_181.png,RML,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,,,,,1,0,1,0,,,,,,,74.7817616998218,None,,images/OBJ_43.png,images/OBJ_181.png,images/OBJ_56.png,76.36564549989998,77.87880579987541,78.36198429996148,79.8615377000533,80.3613970996812,None,76.36287344992161,None,78.36200315002353,None,80.36140814991668,None,81.86097489995882,None,same,MLR,83.46503319963813,84.9767338000238,85.45993530005217,86.95951449964195,87.45935830008239,None,83.46040205024184,None,85.45993714975194,None,87.45934704979882,None,88.95895519992337,None,0,['leftCL'],89.95863709971309,None,89.95863709971309,None,89.95863709971309,None,89.95863709971309,None,89.95863709971309,None,-0.119140625,-0.201171875,1,0,0,0.5332138002850115,leftCL,0.016309150028973818,None,90.49181784978137,None,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMR,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,90.99355599982664,None,None,None,space,75.52515710005537,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.82302194982768,None,,,,,,,,,,old,93.0643352996558,None,93.07443555053324,None,94.57394809974357,None,1,95.57369240000844,None,96.55674699973315,None,96.55674699973315,None,96.55674699973315,None,96.55674699973315,None,96.55674699973315,None,96.55674699973315,None,0.0185546875,0.060546875,1,0,0,first_left,1.0156424501910806,None,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.42170785004274,None,,,,,,,,,,old,98.52360290009528,None,98.52288305042312,None,100.03905509971082,None,2,101.0387963000685,None,102.00513259973377,None,102.00513259973377,None,102.00513259973377,None,102.00513259973377,None,102.00513259973377,None,102.00513259973377,None,0.033203125,-0.142578125,1,0,0,second_middle,0.999085049610585,None,,,,BS_123,2023-11-27_11h24.42.455,exp,2021.1.4,60.12075862140693,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
