EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,13.79479750000064,None,14.30366800000047,None,LMR,images/OBJ_71.png,images/OBJ_134.png,images/OBJ_19.png,16.167028600000776,17.67235190000065,18.15555350000068,19.655615700001363,20.154964700001074,None,16.172827620001588,None,18.15558523999989,None,20.15548424000026,None,21.65507660000003,None,same,None,1,23.304984200000035,24.82030870000017,25.303506500000367,26.803073900000527,27.302905399999872,None,23.304443560000255,None,25.30343734000071,None,27.302881140000135,None,28.802474699999948,None,1,['leftCL'],29.802231400000892,None,29.802231400000892,None,29.802231400000892,None,29.802231400000892,None,29.802231400000892,None,-0.2724609375,-0.291015625,1,0,0,1.2299745000000257,leftCL,0.013248240000393707,None,31.035214740000992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
1,0,1,0,,,,,,,,,,,31.777877100001206,None,RML,images/OBJ_188.png,images/OBJ_195.png,images/OBJ_160.png,33.55782050000016,35.06731949999994,35.550555100000565,37.05062100000032,37.54991450000125,None,33.56773812000174,None,35.551030939999876,None,37.549918439999786,None,39.04954230000112,None,same,None,2,40.59247180000057,42.099075600001015,42.58178610000141,44.08135260000017,44.58120130000134,None,40.598876660001046,None,42.58181054000143,None,44.58115114000084,None,46.080765800001245,None,1,['leftCL'],47.080454400000235,None,47.080454400000235,None,47.080454400000235,None,47.080454400000235,None,47.080454400000235,None,-0.2724609375,-0.2880859375,1,0,0,0.36620160000165924,leftCL,0.01640023999971163,None,47.44704644000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
2,0,2,0,,,,,,,,,,,48.168041599999924,None,RLM,images/OBJ_198.png,images/OBJ_151.png,images/OBJ_84.png,49.951445000000604,51.4625184000015,51.945705400001316,53.44529110000076,53.945143000000826,None,49.96295462000089,None,51.94570784000116,None,53.94511124000037,None,55.444699600000604,None,same,None,3,56.99077709999983,58.49380259999998,58.993663400000514,60.493246800000634,60.99359840000034,None,56.99419416000165,None,58.99368244000125,None,60.993080140000714,None,62.49264490000132,None,1,['leftCL'],63.492413100000704,None,63.492413100000704,None,63.492413100000704,None,63.492413100000704,None,63.492413100000704,None,-0.1962890625,-0.2783203125,1,0,0,0.34994320000078005,leftCL,0.016367139998692437,None,63.84229264000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
3,0,3,0,,,,,,,,,,,64.59072370000104,None,RML,images/OBJ_107.png,images/OBJ_157.png,images/OBJ_52.png,66.36266870000145,67.87442680000095,68.35761040000034,69.85722309999983,70.35700170000018,None,66.3748500200014,None,68.3575857400012,None,70.35699804000087,None,71.85674199999994,None,same,None,4,73.39844260000064,74.90618280000126,75.38887919999979,76.88845860000038,77.38835740000104,None,73.40612356000092,None,75.38888453999989,None,77.38829233999986,None,78.88782890000039,None,1,['leftCL'],79.88755570000103,None,79.88755570000103,None,79.88755570000103,None,79.88755570000103,None,79.88755570000103,None,-0.1962890625,-0.2783203125,1,0,0,0.3166129000001092,leftCL,0.01640283999950043,None,80.20413044000107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
4,0,4,0,,,,,,,,,,,80.93035849999978,None,MRL,images/OBJ_200.png,images/OBJ_105.png,images/OBJ_24.png,82.70653230000062,84.21961259999989,84.7028405000001,86.20290530000057,86.70224280000002,None,82.70344168000102,None,84.70282064000112,None,86.70225263999983,None,88.20179590000043,None,same,None,5,89.7400929000014,91.25091590000011,91.73412260000077,93.23368780000055,93.7340648999998,None,89.75177206000153,None,91.734092840001,None,93.73352664000068,None,95.23360730000059,None,1,['leftCL'],96.23281850000058,None,96.23281850000058,None,96.23281850000058,None,96.23281850000058,None,96.23281850000058,None,-0.1259765625,-0.224609375,1,0,0,0.7165146999996068,leftCL,0.016398440000557457,None,96.9493273400005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.76503984000028,None,old,images/OBJ_195.png,97.72511840000152,None,97.73234122000177,None,99.23246889999973,None,1,100.2316750000009,None,101.19803839999986,None,101.19803839999986,None,101.19803839999986,None,101.19803839999986,None,101.19803839999986,None,101.19803839999986,None,-0.0029296875,-0.1513671875,1,0,0,second_middle,0.9991252399995574,None,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.54646844000145,None,old,images/OBJ_107.png,102.50948250000147,None,102.51429584000216,None,104.01388030000089,None,2,105.0136094999998,None,105.97994040000049,None,105.97994040000049,None,105.97994040000049,None,105.97994040000049,None,105.97994040000049,None,105.97994040000049,None,0.005859375,0.0576171875,1,0,0,first_left,0.999134640000193,None,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.01180574000155,None,old,images/OBJ_157.png,107.28950320000149,None,107.29624244000225,None,108.79579620000004,None,3,109.79548840000098,None,110.76191360000121,None,110.76191360000121,None,110.76191360000121,None,110.76191360000121,None,110.76191360000121,None,110.76191360000121,None,0.037109375,-0.1650390625,1,0,0,second_middle,0.9992332400015584,None,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.9438178399998,None,old,images/OBJ_188.png,111.78690270000152,None,111.79497552000213,None,113.29451420000078,None,4,114.2942178000012,None,115.26059270000042,None,115.26059270000042,None,115.26059270000042,None,115.26059270000042,None,115.26059270000042,None,115.26059270000042,None,0.01953125,0.037109375,1,0,0,first_left,1.0158472400016763,None,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.74234944000109,None,old,images/OBJ_198.png,116.7003635000001,None,116.71023628000094,None,118.20975859999999,None,5,119.20945500000016,None,120.17581900000005,None,120.17581900000005,None,120.17581900000005,None,120.17581900000005,None,120.17581900000005,None,120.17581900000005,None,0.0087890625,0.0517578125,1,0,0,first_left,0.9991894400009187,None,,,,,,,,,B_1008,2023-07-18_15h20.24.759,exp,2021.1.4,60.1047144336004,
