EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,269.34508519999997,None,276.8670006,None,MLR,images/OBJ_53.png,images/OBJ_154.png,images/OBJ_79.png,278.50751579999996,280.0149230999999,280.49800359999995,281.9972065999999,282.49706549999996,None,278.5150906199999,None,280.4981534799999,None,282.4971108799999,None,283.9966622999999,None,same,None,285.61881959999994,287.12907729999995,287.612698,289.11173929999995,289.612131,None,285.63001211999995,None,287.61225607999995,None,289.6116420799999,None,291.11123109999994,None,0,['leftCL'],292.11097029999996,None,292.11097029999996,None,292.11097029999996,None,292.11097029999996,None,292.11097029999996,None,-0.2177734375,-0.27734375,1,0,0,3.378678599999944,leftCL,0.012555180000049404,None,295.49329167999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
1,0,1,0,,,,,,,,,,,,,,,296.1633713,None,LMR,images/OBJ_179.png,images/OBJ_173.png,images/OBJ_91.png,297.71425339999996,299.22600339999997,299.7091855,301.20828989999995,301.70810059999997,None,297.7265160199999,None,299.70919868,None,301.70821567999997,None,303.20816319999994,None,diff,RML,304.75825869999994,306.25728559999993,306.7571317999999,308.2566865,308.7565437999999,None,304.75724463999995,None,306.7571886799999,None,308.75657567999997,None,310.2556953999999,None,1,['rightCL'],311.25568179999993,None,311.25568179999993,None,311.25568179999993,None,311.25568179999993,None,311.25568179999993,None,0.19921875,-0.2158203125,1,0,0,1.7492341000000806,rightCL,0.01638937999996415,None,313.00489617999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
2,0,2,0,,,,,,,,,,,,,,,313.6740744,None,RML,images/OBJ_161.png,images/OBJ_145.png,images/OBJ_43.png,315.2336689,316.73705699999994,317.2202506,318.7198201,319.219661,None,315.23759082,None,317.2203026799999,None,319.2202017799999,None,320.7192454,None,same,RML,322.26046629999996,323.7683224,324.2520435,325.7511041,326.2514546,None,322.26876242,None,324.25155048,None,326.2509590799999,None,327.75055669999995,None,0,['leftCL'],328.7502684,None,328.7502684,None,328.7502684,None,328.7502684,None,328.7502684,None,-0.2080078125,-0.3232421875,1,0,0,0.5827482999999347,leftCL,0.016384379999863086,None,329.3334550799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
3,0,3,0,,,,,,,,,,,,,,,330.0029972,None,RLM,images/OBJ_110.png,images/OBJ_119.png,images/OBJ_111.png,331.5549919,333.06564449999996,333.54919369999993,335.04833229999997,335.54824439999993,None,331.56616452,None,333.54889477999996,None,335.5482708799999,None,337.0477635,None,diff,MLR,338.5837424,340.0969067,340.58061079999993,342.0796705,342.579518,None,338.5806964399999,None,340.58013447999997,None,342.57954227999994,None,344.0790697,None,1,['rightCL'],345.0792943,None,345.0792943,None,345.0792943,None,345.0792943,None,345.0792943,None,0.2373046875,-0.2880859375,1,0,0,1.7490331000000197,rightCL,0.016373780000094484,None,346.82833487999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
4,0,4,0,,,,,,,,,,,,,,,347.49875729999997,None,RLM,images/OBJ_68.png,images/OBJ_155.png,images/OBJ_8.png,349.0631386,350.577679,351.06078149999996,352.559976,353.0598996,None,349.06157042,None,351.06091677999996,None,353.05981197999995,None,354.55987659999994,None,same,MLR,356.1055494,357.608973,358.09179929999993,359.59124969999993,360.1077963,None,356.10893422,None,358.09172358,None,360.1078018799999,None,361.6078361,None,0,['leftCL'],362.60752149999996,None,362.60752149999996,None,362.60752149999996,None,362.60752149999996,None,362.60752149999996,None,-0.197265625,-0.3232421875,1,0,0,1.2663516000000072,leftCL,0.016388580000011643,None,363.87384757999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
5,0,5,0,,,,,,,,,,,,,,,364.55020879999995,None,LMR,images/OBJ_174.png,images/OBJ_181.png,images/OBJ_64.png,366.09379849999993,367.60605179999993,368.0892754,369.58869429999993,370.0887239,None,366.1065944199999,None,368.08927178,None,370.08869968,None,371.58809339999993,None,diff,RML,373.12040949999994,374.62038989999996,375.1200984999999,376.6201163999999,377.1194919999999,None,373.1210499399999,None,375.12056748,None,377.11953678,None,378.61951439999996,None,1,['rightCL'],379.6187467,None,379.6187467,None,379.6187467,None,379.6187467,None,379.6187467,None,0.2578125,-0.38671875,1,0,0,1.7500319999999192,rightCL,0.016378979999899457,None,381.36874307999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
6,0,6,0,,,,,,,,,,,,,,,382.0377239999999,None,LMR,images/OBJ_41.png,images/OBJ_134.png,images/OBJ_126.png,383.5939028,385.10048199999994,385.58410419999996,387.0832376999999,387.583569,None,383.60105501999993,None,385.58368048,None,387.5830970799999,None,389.08268039999996,None,same,RML,390.6213008,392.1317636,392.61495489999993,394.1150054,394.6148564,None,390.63265062,None,392.61497118,None,394.6147513799999,None,396.11449129999994,None,0,['leftCL'],397.11414609999997,None,397.11414609999997,None,397.11414609999997,None,397.11414609999997,None,397.11414609999997,None,-0.2587890625,-0.2431640625,1,0,0,0.5671956999999566,leftCL,0.016385879999916142,None,397.68074077999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
7,0,7,0,,,,,,,,,,,,,,,398.35023449999994,None,LMR,images/OBJ_12.png,images/OBJ_66.png,images/OBJ_202.png,399.89694969999994,401.4124157,401.8955978,403.3952133,403.89503219999995,None,399.89624303999994,None,401.89556687999993,None,403.89501078,None,405.3945933,None,diff,MLR,406.9257848,408.42704319999996,408.92691149999996,410.42691909999996,410.9267722999999,None,406.9273783399999,None,408.92724567999994,None,410.9268059799999,None,412.4263664,None,1,['rightCL'],413.4260626,None,413.4260626,None,413.4260626,None,413.4260626,None,413.4260626,None,0.392578125,-0.3984375,1,0,0,1.7500498000000562,rightCL,0.016386379999971723,None,416.19148778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
8,0,8,0,,,,,,,,,,,,,,,416.86676339999997,None,LMR,images/OBJ_97.png,images/OBJ_23.png,images/OBJ_38.png,418.4268168,419.94030439999995,420.4235189,421.9230648,422.42290219999995,None,418.4242019199999,None,420.42352908,None,422.42343868,None,423.9225086,None,diff,LRM,425.4630384999999,426.972088,427.45536359999994,428.9543635,429.4542260999999,None,425.47202102,None,427.45481778,None,429.4547408799999,None,430.9537864,None,1,['rightCL'],431.9535026,None,431.9535026,None,431.9535026,None,431.9535026,None,431.9535026,None,0.224609375,-0.32421875,1,0,0,0.4661961000000474,rightCL,0.01637597999990703,None,432.42006078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
9,0,9,0,,,,,,,,,,,,,,,433.0948608,None,LMR,images/OBJ_125.png,images/OBJ_139.png,images/OBJ_165.png,434.6461898,436.15223089999995,436.6355085,438.1350218,438.63489159999995,None,434.65330711999997,None,436.63552217999995,None,438.63491858,None,440.1349857,None,same,LRM,441.67305209999995,443.1835724,443.6667486,445.1667921999999,445.66663859999994,None,441.6844315199999,None,443.6667686799999,None,445.6666753799999,None,447.1662155,None,0,['leftCL'],448.1659598,None,448.1659598,None,448.1659598,None,448.1659598,None,448.1659598,None,-0.185546875,-0.3349609375,1,0,0,1.3334144999998898,leftCL,0.01637757999992573,None,449.49888397999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
10,0,10,0,,,,,,,,,,,,,,,450.17487559999995,None,RML,images/OBJ_203.png,images/OBJ_72.png,images/OBJ_200.png,451.7237597999999,453.23110439999994,453.71430239999995,455.2134315999999,455.7132831,None,451.73150582,None,453.71433728,None,455.71340358,None,457.21316749999994,None,same,LRM,458.7511534,460.26224479999996,460.7455984999999,462.2446784,462.74453859999994,None,458.76278722,None,460.74561217999997,None,462.74453868,None,464.2440941,None,0,['leftCL'],465.2438126999999,None,465.2438126999999,None,465.2438126999999,None,465.2438126999999,None,465.2438126999999,None,-0.2744140625,-0.2841796875,1,0,0,0.5166080999999849,leftCL,0.016373479999970186,None,465.76036767999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FQ_1001,2023-10-23_10h52.37.821,exp,2021.1.4,60.13453297715404,
