EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.742104000004474,None,19.097789000021294,None,LRM,images/OBJ_141.png,images/OBJ_53.png,images/OBJ_10.png,20.74265650002053,22.256052200042177,22.738777000049595,24.238366900011897,24.738222200016025,None,20.739060540043283,None,22.738724360009655,None,24.73862146004103,None,26.23772050003754,None,same,None,27.867709500016645,29.37068970000837,29.870027100027073,31.370098200044595,31.869915700051934,None,27.870318940025754,None,29.869941660028417,None,31.869376860035118,None,33.36902260000352,None,1,['leftCL'],34.36927730002208,None,34.36927730002208,None,34.36927730002208,None,34.36927730002208,None,34.36927730002208,None,-0.267578125,-0.2841796875,1,0,0,0.8300549000268802,leftCL,0.013174460036680102,None,35.20183866005391,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
1,0,1,0,,,35.841552400030196,None,LMR,images/OBJ_128.png,images/OBJ_179.png,images/OBJ_25.png,37.38456890004454,38.884539999999106,39.38441380002769,40.88345040002605,41.38332680001622,None,37.38444688002346,None,39.384362960001454,None,41.38328496000031,None,42.88286670000525,None,same,None,44.414567700005136,45.915363600011915,46.41520099999616,47.91475910000736,48.41459790000226,None,44.41568268003175,None,46.41517266002484,None,48.41453516000183,None,49.91419480001787,None,1,['leftCL'],50.914414200000465,None,50.914414200000465,None,50.914414200000465,None,50.914414200000465,None,50.914414200000465,None,-0.2763671875,-0.31640625,1,0,0,0.38331609999295324,leftCL,0.01632435998180881,None,51.297121560026426,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
2,0,2,0,,,51.942937800020445,None,MRL,images/OBJ_112.png,images/OBJ_147.png,images/OBJ_138.png,53.49822760000825,55.013207700045314,55.495915100036655,56.99549520004075,57.49532270000782,None,53.49640374002047,None,55.495876760047395,None,57.49528106005164,None,58.99487710004905,None,same,None,60.54288180003641,62.04400270001497,62.54388430004474,64.0439258000115,64.5432751000044,None,60.54421204002574,None,62.54387506004423,None,64.54325036000228,None,66.04321900004288,None,1,['leftCL'],67.04258410003968,None,67.04258410003968,None,67.04258410003968,None,67.04258410003968,None,67.04258410003968,None,-0.2314453125,-0.296875,1,0,0,0.28328030003467575,leftCL,0.016310059989336878,None,67.3258112600306,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
3,0,3,0,,,67.97420650004642,None,MRL,images/OBJ_109.png,images/OBJ_107.png,images/OBJ_125.png,69.52589770004852,71.04136430000653,71.52454310003668,73.0246103000245,73.52448770002229,None,69.52552754001226,None,71.52456566004548,None,73.52395336003974,None,75.02404800005024,None,same,None,76.56886060000397,78.07322020002175,78.5725065000006,80.07258470001398,80.57194049999816,None,76.5729615400196,None,78.5730162600521,None,80.57185986003606,None,82.07204380002804,None,1,['leftCL'],83.07170820003375,None,83.07170820003375,None,83.07170820003375,None,83.07170820003375,None,83.07170820003375,None,-0.234375,-0.2998046875,1,0,0,0.4665167000493966,leftCL,0.01632325997343287,None,83.53774556005374,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
4,0,4,0,,,84.18270110001322,None,RLM,images/OBJ_121.png,images/OBJ_182.png,images/OBJ_168.png,85.73171360004926,87.23704390000785,87.72039460000815,89.21992550004506,89.7192509000306,None,85.73751284001628,None,87.7198646600009,None,89.71926926000742,None,91.21890340000391,None,same,None,92.76090500003193,94.2683732000296,94.75164730002871,96.25121250003576,96.75060840003425,None,92.76826224004617,None,94.75163536000764,None,96.75106075999793,None,98.25022650003666,None,1,['leftCL'],99.24988190003205,None,99.24988190003205,None,99.24988190003205,None,99.24988190003205,None,99.24988190003205,None,-0.240234375,-0.2998046875,1,0,0,0.7164620999828912,leftCL,0.016282259952276945,None,99.96630416001426,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
5,0,5,0,,,100.61345450003864,None,RML,images/OBJ_98.png,images/OBJ_97.png,images/OBJ_33.png,102.16921160003403,103.68193630001042,104.1655983000528,105.66469880001387,106.16449910000665,None,102.1660122400499,None,104.16505776002305,None,106.16446776001249,None,107.6645717000356,None,same,None,109.21711450000294,110.73024300002726,111.21356180001749,112.71258780005155,113.21295600000303,None,109.21396594005637,None,111.21300146001158,None,113.21243616001448,None,114.7120146000525,None,1,['leftCL'],115.71173199999612,None,115.71173199999612,None,115.71173199999612,None,115.71173199999612,None,115.71173199999612,None,-0.2412109375,-0.2998046875,1,0,0,2.2832472999580204,leftCL,0.01631596003426239,None,117.9948894600384,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
6,0,6,0,,,118.64456370001426,None,RML,images/OBJ_110.png,images/OBJ_49.png,images/OBJ_137.png,120.18100890005007,121.69382919999771,122.17654950002907,123.6766136000515,124.17596570000751,None,120.17703978001373,None,122.17653236002661,None,124.17594626004575,None,125.67555980000179,None,same,None,127.21059510001214,128.7246509999968,129.2078382000327,130.70777420001104,131.20724280003924,None,127.20829948002938,None,129.20780316001037,None,131.2076923600398,None,132.70686560001923,None,1,['leftCL'],133.7069280000287,None,133.7069280000287,None,133.7069280000287,None,133.7069280000287,None,133.7069280000287,None,-0.2412109375,-0.298828125,1,0,0,0.2999147000373341,leftCL,0.016322359966579825,None,134.00691846001428,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
7,0,7,0,,,134.64554840000346,None,MLR,images/OBJ_14.png,images/OBJ_200.png,images/OBJ_93.png,136.20768420002423,137.72252110001864,138.20524460001616,139.70479030004935,140.20517680002376,None,136.20605954003986,None,138.20517456001835,None,140.20461086003343,None,141.7041739000124,None,same,None,143.25276669999585,144.75384580000537,145.25318220001645,146.75320239999564,147.25260390003677,None,143.25357794004958,None,145.25363996002125,None,147.25254406000022,None,148.7521604000358,None,1,['leftCL'],149.75191210000776,None,149.75191210000776,None,149.75191210000776,None,149.75191210000776,None,149.75191210000776,None,-0.2412109375,-0.298828125,1,0,0,1.165936800010968,leftCL,0.016299659968353808,None,150.9181783600361,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
8,0,8,0,,,151.5626268000342,None,MRL,images/OBJ_145.png,images/OBJ_149.png,images/OBJ_130.png,153.11451270000543,154.617085600039,155.1169474000344,156.6166351000429,157.1163998999982,None,153.11782124004094,None,155.117428460042,None,157.1164310600143,None,158.61595680000028,None,diff,RML,160.1592617999995,161.6655970000429,162.14878050005063,163.64780220005196,164.14765290002106,None,160.1657837400562,None,162.14875756000401,None,164.14812846004497,None,165.64774510002462,None,1,['rightCL'],166.64702030003536,None,166.64702030003536,None,166.64702030003536,None,166.64702030003536,None,166.64702030003536,None,0.1650390625,-0.283203125,1,0,0,0.34991240000817925,rightCL,0.016296260058879852,None,166.9968539600377,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
9,0,9,0,,,167.64654530002736,None,MRL,images/OBJ_2.png,images/OBJ_155.png,images/OBJ_106.png,169.19692640000721,170.71241010003723,171.19560630002525,172.69572680001147,173.19555510004284,None,169.19650764000835,None,171.19558996002888,None,173.1954139600275,None,174.69465090002632,None,same,RML,176.2431523000123,177.7437237999984,178.24407040001824,179.74313260003692,180.24298690003343,None,176.24397504003718,None,178.24353276001057,None,180.2429575600545,None,181.7430553000304,None,1,['leftCL'],182.74226860003546,None,182.74226860003546,None,182.74226860003546,None,182.74226860003546,None,182.74226860003546,None,-0.2041015625,-0.2890625,1,0,0,0.5170403000083752,leftCL,0.016307760030031204,None,183.25932566000847,None,MM1000,2023-10-09_13h13.17.644,exp,2021.1.4,59.95983889425269,
