EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,27.215750099974684,None,28.187679199967533,None,LRM,images/OBJ_174.png,images/OBJ_190.png,images/OBJ_5.png,29.830339399981312,31.339853599958587,31.822917799989227,33.322964999999385,33.82283889997052,None,29.839942799997516,None,31.82290629000054,None,33.82228478998295,None,35.33857789996546,None,same,None,36.97601849999046,38.48767079995014,38.97133859997848,40.47089849994518,40.970681499980856,None,36.98794479999924,None,38.971315689961195,None,40.97074858995038,None,42.4698386999662,None,1,['leftCL'],43.47004719998222,None,43.47004719998222,None,43.47004719998222,None,43.47004719998222,None,43.47004719998222,None,-0.189453125,-0.3486328125,1,0,0,0.6143137000035495,leftCL,0.01312599005177617,None,44.08653028995614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
1,0,1,0,,,,,,,,,,,44.73575469997013,None,LMR,images/OBJ_52.png,images/OBJ_107.png,images/OBJ_104.png,46.278055000002496,47.78498649998801,48.26816329994472,49.768075999978464,50.267525399976876,None,46.28527885999065,None,48.26814418995637,None,50.26801388995373,None,51.767149599967524,None,diff,RML,53.31093959999271,54.816682099946775,55.299455699976534,56.79950789996656,57.298876699991524,None,53.31654695995385,None,55.29936628997675,None,57.299373189971085,None,58.79847899999004,None,1,['rightCL'],59.79814989998704,None,59.79814989998704,None,59.79814989998704,None,59.79814989998704,None,59.79814989998704,None,0.31640625,-0.294921875,1,0,0,0.9996652999543585,rightCL,0.016294689965434372,None,61.18159458995215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
2,0,2,0,,,,,,,,,,,61.829709799960256,None,MRL,images/OBJ_81.png,images/OBJ_165.png,images/OBJ_143.png,63.367347199993674,64.87999439996202,65.36368339997716,66.86326839996036,67.3626007999992,None,63.3636524699803,None,65.3631540900038,None,67.36260888998513,None,68.86217689997284,None,same,RML,70.39587909996044,71.89510399999563,72.39496089995373,73.89401309995446,74.3943834999809,None,70.39537316995556,None,72.39488348998711,None,74.39387958996812,None,75.89347299997462,None,1,['leftCL'],76.89316289999988,None,76.89316289999988,None,76.89316289999988,None,76.89316289999988,None,76.89316289999988,None,-0.146484375,-0.2861328125,1,0,0,1.4658787000225857,leftCL,0.016321390052326024,None,78.3593934899487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
3,0,3,0,,,,,,,,,,,79.01028729998507,None,LMR,images/OBJ_109.png,images/OBJ_31.png,images/OBJ_144.png,80.57318789995043,82.07501549995504,82.57484119996661,84.07490049995249,84.57424879999598,None,80.57572215996915,None,82.5748237899912,None,84.57423108996008,None,86.0743123999564,None,same,RML,87.61739639996085,89.12348989996826,89.60661939997226,91.1057535999571,91.60559919994557,None,87.62323586000129,None,89.60660928999422,None,91.60557298996136,None,93.10514619998867,None,1,['leftCL'],94.10487079998711,None,94.10487079998711,None,94.10487079998711,None,94.10487079998711,None,94.10487079998711,None,-0.1806640625,-0.28125,1,0,0,0.31661890004761517,leftCL,0.016288790036924183,None,94.42141298995702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
4,0,4,0,,,,,,,,,,,95.0684180999524,None,RML,images/OBJ_133.png,images/OBJ_181.png,images/OBJ_20.png,96.6113575999625,98.12082089995965,98.6035212999559,100.10306579997996,100.60296429996379,None,96.62064115997636,None,98.60349758999072,None,100.60289238998084,None,102.10251939995214,None,same,RML,103.6404712999938,105.15162739995867,105.6353086999734,107.13490089995321,107.63421779999044,None,103.65181116000748,None,105.63528698996524,None,107.63415328994742,None,109.13384219998261,None,1,['leftCL'],110.1335350999725,None,110.1335350999725,None,110.1335350999725,None,110.1335350999725,None,110.1335350999725,None,-0.197265625,-0.28515625,1,0,0,0.26690360001521185,leftCL,0.01631589001044631,None,110.40027238998445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
5,0,5,0,,,,,,,,,,,111.0465784999542,None,RML,images/OBJ_196.png,images/OBJ_55.png,images/OBJ_2.png,112.6012734999531,114.11566469998797,114.59889369999291,116.09895699995104,116.59830649994547,None,112.59983545999275,None,114.59887538995244,None,116.59831208997056,None,118.09791589999804,None,same,RML,119.64626239996869,121.14696439995896,121.64680729998508,123.14639969996642,123.64623749995371,None,119.6476660599932,None,121.64730879000271,None,123.64622258999734,None,125.14630239998223,None,1,['leftCL'],126.14601479994599,None,126.14601479994599,None,126.14601479994599,None,126.14601479994599,None,126.14601479994599,None,-0.19921875,-0.2841796875,1,0,0,0.816988600010518,leftCL,0.01632499002153054,None,126.96245328999939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
6,0,6,0,,,,,,,,,,,127.60801869997522,None,LMR,images/OBJ_86.png,images/OBJ_128.png,images/OBJ_26.png,129.15433889999986,130.66089059994556,131.14408099994762,132.6435891999863,133.14349779998884,None,129.16165045995731,None,131.1444149899704,None,133.1434669899696,None,134.6435335999704,None,same,RML,136.2001268999884,137.70879529998638,138.19239959999686,139.6920832999749,140.19145209999988,None,136.2095319599961,None,138.19207318999688,None,140.19191778997774,None,141.69104749994585,None,1,['leftCL'],142.6907834999729,None,142.6907834999729,None,142.6907834999729,None,142.6907834999729,None,142.6907834999729,None,-0.1533203125,-0.27734375,1,0,0,0.30041299998993054,leftCL,0.016284989949781448,None,142.99112108995323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
7,0,7,0,,,,,,,,,,,143.6390252999845,None,LRM,images/OBJ_35.png,images/OBJ_87.png,images/OBJ_155.png,145.18970269995043,146.69007669994608,147.1898944999557,148.68947839998873,149.18922819994623,None,145.19029005998746,None,147.18987768998485,None,149.18928188998834,None,150.6884365999722,None,same,RML,152.2336673999671,153.7375197999645,154.22069389995886,155.72028609999688,156.23729069996625,None,152.23789545996115,None,154.2206726899545,None,156.23725338995573,None,157.73636569996597,None,1,['leftCL'],158.73608599998988,None,158.73608599998988,None,158.73608599998988,None,158.73608599998988,None,158.73608599998988,None,-0.1650390625,-0.2822265625,1,0,0,0.5331356000388041,leftCL,0.016290389990899712,None,159.2692097899795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
8,0,8,0,,,,,,,,,,,159.91989919997286,None,LRM,images/OBJ_44.png,images/OBJ_186.png,images/OBJ_111.png,161.47436939994805,162.98525279999012,163.4680438999785,164.96758299996145,165.4674146999605,None,161.4856360499689,None,163.46848548994748,None,165.46743378997198,None,166.96701539994683,None,same,RML,168.5178988999687,170.0327984999749,170.5159848999465,172.01603889995022,172.5158945999574,None,168.51638985999162,None,170.51592948997276,None,172.5158680899709,None,174.0154663999565,None,1,['leftCL'],175.01466439996148,None,175.01466439996148,None,175.01466439996148,None,175.01466439996148,None,175.01466439996148,None,-0.173828125,-0.2822265625,1,0,0,0.43331019999459386,leftCL,0.016333090025000274,None,175.4478923899529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
9,0,9,0,,,,,,,,,,,176.1008121999912,None,LRM,images/OBJ_193.png,images/OBJ_14.png,images/OBJ_101.png,177.66289159998996,179.16348109999672,179.66329219995532,181.16288619994884,181.66271119995508,None,177.66385165995453,None,179.66330809000064,None,181.66277668997063,None,183.1623385999701,None,same,RML,184.70783659996232,186.2118882999639,186.694597899972,188.19415579998167,188.71064569998998,None,184.71214085995453,None,186.69459918996435,None,188.7106682899699,None,190.21023099997547,None,1,['leftCL'],191.21048179996433,None,191.21048179996433,None,191.21048179996433,None,191.21048179996433,None,191.21048179996433,None,-0.1865234375,-0.283203125,1,0,0,0.49619959999108687,leftCL,0.01268909004284069,None,191.70980068999924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h24.43.276,exp,2021.1.4,60.115626401459494,
