EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,62.09105659998022,None,63.1053667999804,None,MRL,images/OBJ_43.png,images/OBJ_173.png,images/OBJ_110.png,64.74548719997983,66.25797539995983,66.72451299999375,68.2243808999774,68.72392539994325,None,64.75868899998022,None,66.72459000995732,None,68.72446180997068,None,70.22350489994278,None,diff,LRM,71.85863929998595,73.37254989997018,73.85621059994446,75.35530769999605,75.85569109994685,None,71.85704398998642,None,73.85628790996853,None,75.85521630995791,None,77.35476989997551,None,1,['rightCL'],78.35450069996295,None,78.35450069996295,None,78.35450069996295,None,78.35450069996295,None,78.35450069996295,None,0.275390625,-0.3427734375,1,0,0,0.8627252000151202,rightCL,0.013136110035702586,None,79.22092880996061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
1,0,1,0,,,,,,,79.86679479997838,None,RML,images/OBJ_148.png,images/OBJ_54.png,images/OBJ_160.png,81.42102129996056,82.93696179997642,83.42016179999337,84.9192064999952,85.41909179999493,None,81.42085343997461,None,83.42017590994365,None,85.41910290998058,None,86.919136099983,None,same,LRM,88.46791769994888,89.96774009999353,90.46757929999148,91.96714469994185,92.46756329998607,None,88.46869963997743,None,90.4676166099438,None,92.46706150996616,None,93.96656669996446,None,1,['leftCL'],94.96632589999354,None,94.96632589999354,None,94.96632589999354,None,94.96632589999354,None,94.96632589999354,None,-0.22265625,-0.2333984375,1,0,0,1.2658214999828488,leftCL,0.016367310017812997,None,96.23267260997673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
2,0,2,0,,,,,,,96.87870559998555,None,LRM,images/OBJ_137.png,images/OBJ_83.png,images/OBJ_37.png,98.42724679998355,99.93201919994317,100.41509959998075,101.91480919998139,102.41417149995686,None,98.43248833997642,None,100.41527900996735,None,102.41418190999539,None,103.91371019999497,None,same,LRM,105.4575566999847,106.96332949999487,107.44650439999532,108.94609019998461,109.44546309998259,None,105.46332143994515,None,107.4465431099583,None,109.4459483099694,None,110.94503569998778,None,1,['leftCL'],111.94501449994277,None,111.94501449994277,None,111.94501449994277,None,111.94501449994277,None,111.94501449994277,None,-0.2216796875,-0.2333984375,1,0,0,0.3161837999941781,leftCL,0.016334809944964945,None,112.26132980996627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
3,0,3,0,,,,,,,112.90862699999707,None,RLM,images/OBJ_84.png,images/OBJ_26.png,images/OBJ_158.png,114.45434549998026,115.96028179995483,116.44344119995367,117.94351999997161,118.44283649994759,None,114.46130463995506,None,116.44380530994968,None,118.44284750999068,None,119.942433899967,None,same,LRM,121.4890674999915,122.99188449996291,123.4913799999631,124.99130719999084,125.49079659994459,None,121.49217403996737,None,123.49187640997698,None,125.49079300999293,None,126.99035689997254,None,1,['leftCL'],127.99044079997111,None,127.99044079997111,None,127.99044079997111,None,127.99044079997111,None,127.99044079997111,None,-0.220703125,-0.232421875,1,0,0,1.3663626000052318,leftCL,0.016336310014594346,None,129.35690960998764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
4,0,4,0,,,,,,,129.998789699981,None,LMR,images/OBJ_189.png,images/OBJ_171.png,images/OBJ_105.png,131.61162319994764,133.12188019999303,133.60550969996257,135.10513409995474,135.6045103999786,None,131.62297127994245,None,133.6054743099434,None,135.60454010998947,None,137.10463759995764,None,same,LRM,138.70482459996128,140.21982399997069,140.7030289999675,142.2025717999786,142.70239439996658,None,138.70381896999316,None,140.70303260995425,None,142.70248900994775,None,144.2019994999864,None,1,['leftCL'],145.20172169996658,None,145.20172169996658,None,145.20172169996658,None,145.20172169996658,None,145.20172169996658,None,-0.220703125,-0.232421875,1,0,0,0.39989820000482723,leftCL,0.016338209970854223,None,145.6016537099553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
5,0,5,0,,,,,,,146.2487927999464,None,RML,images/OBJ_11.png,images/OBJ_186.png,images/OBJ_94.png,147.82910319999792,149.33388689998537,149.8174522999907,151.31662989995675,151.81646579998778,None,147.83450405995828,None,149.81745760999038,None,151.8165101099934,None,153.31605369999306,None,same,LRM,154.89188719994854,156.39851539995288,156.8816924999701,158.381235799985,158.881587699987,None,154.89899985996308,None,156.88168500998873,None,158.88110850996455,None,160.38069229997927,None,1,['leftCL'],161.38040819996968,None,161.38040819996968,None,161.38040819996968,None,161.38040819996968,None,161.38040819996968,None,-0.228515625,-0.2568359375,1,0,0,0.3164121999870986,leftCL,0.016298309958074242,None,161.69700270996546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
6,0,6,0,,,,,,,162.3498041999992,None,LMR,images/OBJ_206.png,images/OBJ_88.png,images/OBJ_157.png,163.94073289999506,165.446243399987,165.9290822999901,167.42860659997677,167.92851329996483,None,163.94694865999045,None,165.9294475099945,None,167.92850330996444,None,169.42803719994845,None,same,LRM,171.01539399998728,172.52712179999799,172.9936531999847,174.49361389997648,174.99307989998488,None,171.01101595999208,None,172.99369580997737,None,174.99310560996528,None,176.49301119998563,None,1,['leftCL'],177.49238189996686,None,177.49238189996686,None,177.49238189996686,None,177.49238189996686,None,177.49238189996686,None,-0.2275390625,-0.2568359375,1,0,0,0.7996518000145443,leftCL,0.016298110014759004,None,178.2922165099939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
7,0,7,0,,,,,,,178.93975229997886,None,LRM,images/OBJ_65.png,images/OBJ_187.png,images/OBJ_22.png,180.51497939997353,182.02435509994393,182.50795629998902,184.00764399999753,184.50699069997063,None,180.52499835999916,None,182.50808490999626,None,184.50749730994576,None,186.0065594999469,None,same,LRM,187.57708609994734,189.08897499996237,189.57217929995386,191.07173609995516,191.57159999996657,None,187.57331194999279,None,189.572211409983,None,191.57162740995992,None,193.0711582999793,None,1,['leftCL'],194.07090739998966,None,194.07090739998966,None,194.07090739998966,None,194.07090739998966,None,194.07090739998966,None,-0.189453125,-0.248046875,1,0,0,0.33324430003995076,leftCL,0.016342009999789298,None,194.4041912099987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
8,0,8,0,,,,,,,195.05161569995107,None,MLR,images/OBJ_36.png,images/OBJ_48.png,images/OBJ_190.png,196.63355879997835,198.13636439997936,198.63621169998078,200.13577809999697,200.63563139998587,None,196.6369700599811,None,198.63624310994638,None,200.63566250994919,None,202.13519529998302,None,same,LRM,203.7176151999738,205.21762639994267,205.71745539997937,207.21701099997154,207.71686429996043,None,203.71825785996626,None,205.7175442099746,None,207.716918609984,None,209.2169898999855,None,1,['leftCL'],210.21613689995138,None,210.21613689995138,None,210.21613689995138,None,210.21613689995138,None,210.21613689995138,None,-0.189453125,-0.248046875,1,0,0,0.7501971000456251,leftCL,0.016391010023653507,None,210.96635940997513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
9,0,9,0,,,,,,,211.61253829998896,None,RML,images/OBJ_38.png,images/OBJ_125.png,images/OBJ_168.png,213.1975408999715,214.69867269997485,215.1980629999889,216.69798729999457,217.1974953999743,None,213.19919885995333,None,215.19860760996235,None,217.19790520996904,None,218.69709679996595,None,diff,MLR,220.27933709998615,221.7794696999481,222.27927729999647,223.77888129994972,224.27876539999852,None,220.28002725999104,None,222.27984770999174,None,224.27876100998256,None,225.77829709998332,None,1,['rightCL'],226.7786083999672,None,226.7786083999672,None,226.7786083999672,None,226.7786083999672,None,226.7786083999672,None,0.04296875,-0.3046875,1,0,0,0.766271400032565,rightCL,0.01630341005511582,None,228.36096170999227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM1000,2023-10-09_13h41.28.100,exp,2021.1.4,59.91791246961963,
