EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,138.36459700000069,None,140.26852540000073,None,RML,images/OBJ_85.png,images/OBJ_200.png,images/OBJ_36.png,141.9119369,143.4123098,143.91217200000028,145.41209570000046,145.91157850000036,None,141.91292552000004,None,143.91217418000042,None,145.91159947999995,None,147.4116285,None,diff,LMR,149.04266650000045,150.54355380000015,151.0434008000002,152.54347310000048,153.04322760000014,None,149.04416272000026,None,151.0434144800006,None,153.04285948000006,None,154.54239620000044,None,0,['leftCL'],155.54213590000018,None,155.54213590000018,None,155.54213590000018,None,155.54213590000018,None,155.54213590000018,None,-0.15625,-0.326171875,1,0,0,3.3621833999995943,leftCL,0.013150880000466714,None,158.90782558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
1,0,1,0,,,,,,,,,,,,,,,159.58101480000005,None,RML,images/OBJ_31.png,images/OBJ_56.png,images/OBJ_199.png,161.1295278000007,162.64000870000018,163.12321100000008,164.62277059999997,165.12313600000016,None,161.1410450200001,None,163.12324218000003,None,165.12265398000045,None,166.62268360000053,None,same,LMR,168.17397660000006,169.6884738000008,170.17117320000034,171.67071540000052,172.17061570000078,None,168.17219374000024,None,170.17177998000034,None,172.1710948800005,None,173.6706432000001,None,0,['leftCL'],174.67035710000073,None,174.67035710000073,None,174.67035710000073,None,174.67035710000073,None,174.67035710000073,None,-0.193359375,-0.2568359375,1,0,0,0.3333020999998553,leftCL,0.01638327999989997,None,175.00313428000072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
2,0,2,0,,,,,,,,,,,,,,,175.68091340000046,None,LMR,images/OBJ_15.png,images/OBJ_92.png,images/OBJ_115.png,177.23288460000003,178.73583560000043,179.23521270000037,180.73480330000075,181.23511540000072,None,177.23585421999996,None,179.23521368000047,None,181.2346361800005,None,182.7342131000005,None,same,LMR,184.27926800000023,185.7833180000007,186.26651120000042,187.76606750000064,188.28259160000016,None,184.28368102000059,None,186.26654408000059,None,188.28314098000055,None,189.78214320000006,None,0,['leftCL'],190.7818438000004,None,190.7818438000004,None,190.7818438000004,None,190.7818438000004,None,190.7818438000004,None,-0.1953125,-0.2841796875,1,0,0,1.3335544000001391,leftCL,0.016379879999476543,None,192.11481528000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
3,0,3,0,,,,,,,,,,,,,,,192.7905853000002,None,MLR,images/OBJ_9.png,images/OBJ_3.png,images/OBJ_55.png,194.34105590000036,195.84752879999996,196.33076710000023,197.82981689999997,198.32966250000027,None,194.34808242000054,None,196.3302343800001,None,198.3296676800005,None,199.82924820000062,None,diff,LMR,201.3696656000002,202.87833840000076,203.36153580000064,204.86104109999997,205.36094520000006,None,201.37924062000002,None,203.36202538000043,None,205.3609931800006,None,206.86092220000046,None,0,['leftCL'],207.86022550000052,None,207.86022550000052,None,207.86022550000052,None,207.86022550000052,None,207.86022550000052,None,-0.1953125,-0.2841796875,1,0,0,1.1163833999999042,leftCL,0.0163879799993083,None,208.97658558000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
4,0,4,0,,,,,,,,,,,,,,,209.6566042000004,None,MRL,images/OBJ_102.png,images/OBJ_97.png,images/OBJ_104.png,211.2017138000001,212.70929049999995,213.19206329999997,214.69157630000063,215.19145130000015,None,211.20980332,None,213.19200368000065,None,215.19142688000056,None,216.6910486000006,None,same,LMR,218.23081870000078,219.74042740000004,220.22329320000063,221.7230154000008,222.2227040000007,None,218.2405494200002,None,220.22370788000035,None,222.22271718000002,None,223.72227120000025,None,0,['leftCL'],224.72200040000007,None,224.72200040000007,None,224.72200040000007,None,224.72200040000007,None,224.72200040000007,None,-0.19140625,-0.2822265625,1,0,0,0.26659099999960745,leftCL,0.01636997999958112,None,224.9886004800005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
5,0,5,0,,,,,,,,,,,,,,,225.67216050000025,None,LMR,images/OBJ_20.png,images/OBJ_66.png,images/OBJ_10.png,227.21035980000033,228.7208031,229.2040020000004,230.70356170000014,231.20342580000033,None,227.22181352000007,None,229.20401377999997,None,231.20345417999988,None,232.70298470000034,None,same,LMR,234.23845040000015,235.75258510000003,236.2353032000001,237.73483080000005,238.23518409999997,None,234.23583134000046,None,236.23534498000072,None,238.23473848000003,None,239.73469210000076,None,0,['leftCL'],240.73447300000043,None,240.73447300000043,None,240.73447300000043,None,240.73447300000043,None,240.73447300000043,None,-0.19140625,-0.2822265625,1,0,0,1.266325799999322,leftCL,0.016380380000555306,None,242.00031288000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
6,0,6,0,,,,,,,,,,,,,,,242.6707483,None,RML,images/OBJ_51.png,images/OBJ_171.png,images/OBJ_190.png,244.2738745000006,245.78249760000017,246.26567680000062,247.76525200000015,248.26511870000013,None,244.28309876000048,None,246.26572838000038,None,248.26562228000012,None,249.7651805000005,None,same,LMR,251.37235180000062,252.88093000000026,253.36363700000038,254.8631777999999,255.36353000000054,None,251.3814491600001,None,253.36368428000014,None,255.3630942800005,None,256.8626408,None,0,['leftCL'],257.86234950000016,None,257.86234950000016,None,257.86234950000016,None,257.86234950000016,None,257.86234950000016,None,-0.19140625,-0.2822265625,1,0,0,1.7160573999999542,leftCL,0.01636638000036328,None,259.5785293800004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
7,0,7,0,,,,,,,,,,,,,,,260.2556751000002,None,LMR,images/OBJ_37.png,images/OBJ_21.png,images/OBJ_95.png,261.8396154000002,263.34408370000074,263.8277622000005,265.3268109999999,265.82718920000025,None,261.8446329799999,None,263.82773348,None,265.82666548000043,None,267.3262259000003,None,same,LMR,268.9020956000004,270.40916560000005,270.89235760000065,272.3914461000004,272.89168860000063,None,268.90910738,None,270.8918812800007,None,272.89183618000015,None,274.3908571000002,None,0,['leftCL'],275.39105480000035,None,275.39105480000035,None,275.39105480000035,None,275.39105480000035,None,275.39105480000035,None,-0.19140625,-0.2822265625,1,0,0,2.5155413000002227,leftCL,0.016384679999646323,None,277.90657478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
8,0,8,0,,,,,,,,,,,,,,,278.56821390000005,None,RML,images/OBJ_83.png,images/OBJ_74.png,images/OBJ_155.png,280.1501027000004,281.65589140000066,282.1385654000005,283.6381332000001,284.13797740000064,None,280.15599188000033,None,282.13856608000015,None,284.13799917999995,None,285.6375691000003,None,same,LMR,287.2151222000002,288.7200156000008,289.2032237000003,290.7027590000007,291.20262120000007,None,287.2209617799999,None,289.20373178,None,291.2026403800005,None,292.70221970000057,None,0,['leftCL'],293.7023573000006,None,293.7023573000006,None,293.7023573000006,None,293.7023573000006,None,293.7023573000006,None,-0.19140625,-0.2822265625,1,0,0,1.2830180999999357,leftCL,0.016384080000534595,None,294.9848959800006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
9,0,9,0,,,,,,,,,,,,,,,295.66137550000076,None,MLR,images/OBJ_164.png,images/OBJ_151.png,images/OBJ_82.png,297.24246720000065,298.75092680000034,299.23363810000046,300.7331761000005,301.2335159000004,None,297.2514905799999,None,299.2341232800004,None,301.2335516799999,None,302.7325862000007,None,same,LMR,304.30334720000064,305.81504829999994,306.2986969000003,307.7977890000002,308.2981720000007,None,304.2987747000002,None,306.2982600800001,None,308.29815478000046,None,309.7972372000004,None,0,['leftCL'],310.79695750000064,None,310.79695750000064,None,310.79695750000064,None,310.79695750000064,None,310.79695750000064,None,-0.189453125,-0.28125,1,0,0,1.0002487000001565,leftCL,0.016385180000725086,None,311.79717348000077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM_1002,2023-10-23_12h05.47.840,exp,2021.1.4,59.96343429758088,
