EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,154.98316459998023,None,164.3827348999912,None,RML,images/OBJ_126.png,images/OBJ_173.png,images/OBJ_184.png,166.0245552000124,167.53367510001408,168.01686470001005,169.5164427999989,170.01627789996564,None,166.03439829993295,None,168.01735615998624,None,170.01678855997162,None,171.5159233000013,None,same,None,173.14739160001045,174.64877420000266,175.14862439996796,176.648156500014,177.14811040001223,None,173.14844413997488,None,175.14859736001236,None,177.14804015996052,None,178.6471537000034,None,1,['leftCL'],179.64687060000142,None,179.64687060000142,None,179.64687060000142,None,179.64687060000142,None,179.64687060000142,None,-0.142578125,-0.2412109375,1,0,0,2.6626044000149705,leftCL,0.012997859972529113,None,182.31272265996668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
1,0,1,0,,,,,,,,,,,,,,,182.9600683999597,None,LMR,images/OBJ_139.png,images/OBJ_84.png,images/OBJ_24.png,184.51474109996343,186.0288088999805,186.5114969999995,188.0115608999622,188.5114255999797,None,184.51248713998356,None,186.51195045997738,None,188.51139666000964,None,190.01050109998323,None,diff,RLM,191.55689359997632,193.05960969999433,193.55945820000488,195.0593901000102,195.55937099998118,None,191.55982263999758,None,193.55942315998837,None,195.5593195599562,None,197.05845979996957,None,1,['rightCL'],198.05863139999565,None,198.05863139999565,None,198.05863139999565,None,198.05863139999565,None,198.05863139999565,None,0.140625,-0.3740234375,1,0,0,1.0160525999963284,rightCL,0.016331360035110265,None,199.07448775997037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
2,0,2,0,,,,,,,,,,,,,,,199.72174730000552,None,LMR,images/OBJ_133.png,images/OBJ_15.png,images/OBJ_151.png,201.2773167999694,202.79058599995915,203.2737797999871,204.77332669997122,205.27320900000632,None,201.27424893996212,None,203.27372795995907,None,205.27318035998033,None,206.77229280001484,None,diff,RLM,208.32043379999232,209.82188689999748,210.32125509995967,211.82083159999456,212.32071319996612,None,208.3220818399801,None,210.3212753599568,None,212.32114065997885,None,213.82021809997968,None,1,['rightCL'],214.82033019996015,None,214.82033019996015,None,214.82033019996015,None,214.82033019996015,None,214.82033019996015,None,0.2041015625,-0.3740234375,1,0,0,0.6831715000444092,rightCL,0.016297460009809583,None,215.50356205995777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
3,0,3,0,,,,,,,,,,,,,,,216.1531056999811,None,LMR,images/OBJ_200.png,images/OBJ_208.png,images/OBJ_177.png,217.6970258000074,219.202479199972,219.68521689996123,221.1852345999796,221.68459279998206,None,217.70234753997065,None,219.68567956000916,None,221.68511925999192,None,223.18417630001204,None,same,RLM,224.72508219996234,226.23374910000712,226.71695560001535,228.21603149996372,228.71624290000182,None,224.73354243995854,None,226.71695665998269,None,228.71585866000387,None,230.21543679997558,None,0,['rightCL'],231.21520299999975,None,231.21520299999975,None,231.21520299999975,None,231.21520299999975,None,231.21520299999975,None,0.2041015625,-0.3564453125,1,0,0,6.548125499975868,rightCL,0.01632745994720608,None,237.76325275999844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
4,0,4,0,,,,,,,,,,,,,,,238.4136161999777,None,LMR,images/OBJ_13.png,images/OBJ_79.png,images/OBJ_147.png,239.9524592999951,241.46254979999503,241.9453636999824,243.44541099999333,243.94479489995865,None,239.96256353999487,None,241.94541046000668,None,243.94526025996893,None,245.44436600001063,None,same,RLM,246.98123480001232,248.49347429996124,248.97668650001287,250.47623580001527,250.9760993999662,None,246.9775374799676,None,248.9766350599879,None,250.97659166000668,None,252.47564319998492,None,1,['leftCL'],253.47583299997495,None,253.47583299997495,None,253.47583299997495,None,253.47583299997495,None,253.47583299997495,None,-0.158203125,-0.3486328125,1,0,0,1.2325825999723747,leftCL,0.0163321599829942,None,254.70835286001093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
5,0,5,0,,,,,,,,,,,,,,,255.35354219999863,None,RML,images/OBJ_96.png,images/OBJ_14.png,images/OBJ_50.png,256.90475909999805,258.4072734999936,258.9070903999964,260.406687300012,260.90652700001374,None,256.90809203995155,None,258.9075679599831,None,260.90651586000456,None,262.4060996999615,None,same,RLM,263.9489470999688,265.45514400000684,265.93840619997354,267.43795779999346,267.9377884999849,None,263.95554713994494,None,265.93885445997,None,267.9381657599646,None,269.43790660001105,None,1,['leftCL'],270.4374799999641,None,270.4374799999641,None,270.4374799999641,None,270.4374799999641,None,270.4374799999641,None,-0.125,-0.361328125,1,0,0,0.7496836999780498,leftCL,0.01632475998485461,None,271.1871531599958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
6,0,6,0,,,,,,,,,,,,,,,271.8413606999675,None,RML,images/OBJ_142.png,images/OBJ_17.png,images/OBJ_33.png,273.40024039999116,274.90298529999563,275.4027507000137,276.901859399979,277.40177910000784,None,273.4032835399499,None,275.4022718599939,None,277.40221296001107,None,278.90132629999425,None,same,RLM,280.4443293999648,281.95087389997207,282.43408420000924,283.9331486999872,284.4330370000098,None,280.45066593997177,None,282.4340450599615,None,284.43302835996144,None,285.9325712000136,None,1,['leftCL'],286.93231659999583,None,286.93231659999583,None,286.93231659999583,None,286.93231659999583,None,286.93231659999583,None,-0.125,-0.361328125,1,0,0,0.4998229999910109,leftCL,0.016322659968864173,None,287.43210936000685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
7,0,7,0,,,,,,,,,,,,,,,288.0851563999895,None,RML,images/OBJ_131.png,images/OBJ_7.png,images/OBJ_22.png,289.6406164999935,291.14819879998686,291.6314005999593,293.13097569998354,293.63081419997616,None,289.64806593997633,None,291.63135136000926,None,293.63078245998474,None,295.1303848999669,None,same,RLM,296.68434259999776,298.19569089997094,298.67935910000233,300.17895749997115,300.6783437000122,None,296.6959886399796,None,298.6793278599565,None,300.67873816000645,None,302.1783354000072,None,1,['leftCL'],303.1780721999821,None,303.1780721999821,None,303.1780721999821,None,303.1780721999821,None,303.1780721999821,None,-0.146484375,-0.375,1,0,0,0.38477860001148656,leftCL,0.016293260036036372,None,303.5607830599823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
8,0,8,0,,,,,,,,,,,,,,,304.20608059997903,None,LMR,images/OBJ_106.png,images/OBJ_40.png,images/OBJ_74.png,305.7563545999583,307.26019489998,307.7600533000077,309.25960300001316,309.75948219996644,None,305.7605529399821,None,307.7600318599783,None,309.7594331599597,None,311.25856599997496,None,same,RLM,312.80114619998494,314.3081749000121,314.79088739998406,316.2908877999871,316.79026109998813,None,312.8079909399617,None,314.7913191599713,None,316.7907152599713,None,318.2903229999938,None,1,['leftCL'],319.28960620000726,None,319.28960620000726,None,319.28960620000726,None,319.28960620000726,None,319.28960620000726,None,-0.1611328125,-0.3583984375,1,0,0,0.4827569999615662,leftCL,0.016326659999322146,None,319.7727263599576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
9,0,9,0,,,,,,,,,,,,,,,320.4162959000096,None,LRM,images/OBJ_43.png,images/OBJ_10.png,images/OBJ_3.png,321.97525429999223,323.48881979996804,323.971475999977,325.4710294000106,325.9709036999848,None,321.9724860399961,None,323.9714368599874,None,325.9708839599683,None,327.4705059999833,None,same,RLM,329.01673949998803,330.52010859997245,331.0199835000094,332.5189905000152,333.01890059997095,None,329.01987813997545,None,331.01942685997926,None,333.0188273600128,None,334.51843569998164,None,1,['leftCL'],335.51816919998964,None,335.51816919998964,None,335.51816919998964,None,335.51816919998964,None,335.51816919998964,None,-0.14453125,-0.3564453125,1,0,0,1.1164797999663278,leftCL,0.01630395994288847,None,336.6345050599833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
10,0,10,0,,,,,,,,,,,,,,,337.2733815999818,None,LMR,images/OBJ_57.png,images/OBJ_144.png,images/OBJ_189.png,338.8308401000104,340.3339240999776,340.83325149997836,342.3333399000112,342.8331814999692,None,338.83378943995336,None,340.8337466599827,None,342.8326892599638,None,344.3327838999685,None,same,RLM,345.8914380999631,347.3980912999832,347.8812432999839,349.3812800999731,349.88117830001283,None,345.898350439989,None,347.8814759599685,None,349.8811453600123,None,351.3802376000094,None,1,['leftCL'],352.380435900006,None,352.380435900006,None,352.380435900006,None,352.380435900006,None,352.380435900006,None,-0.2412109375,-0.3125,1,0,0,0.9331303000217304,leftCL,0.016294259985443205,None,353.31350915996006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1000,2023-10-10_09h47.30.952,exp,2021.1.4,59.98541154855925,
