EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,57.65045469999313,None,61.09151309996378,None,RLM,images/OBJ_78.png,images/OBJ_21.png,images/OBJ_75.png,62.73457889998099,64.24552989995573,64.72876059997361,66.22832970001036,66.72771050001029,None,62.745691299962346,None,64.7287791699695,None,66.72817806999083,None,68.22725649998756,None,diff,RML,69.86309850000544,71.37634339998476,71.8594821000006,73.35909589997027,73.85894619999453,None,69.860684029985,None,71.86001437000814,None,73.85895666998695,None,75.35849750001216,None,0,['leftCL'],76.35821299999952,None,76.35821299999952,None,76.35821299999952,None,76.35821299999952,None,76.35821299999952,None,-0.2841796875,-0.3818359375,1,0,0,0.5469471999676898,leftCL,0.013060869998298585,None,76.90856996999938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
1,0,1,0,,,,,,,77.55388369999127,None,LMR,images/OBJ_2.png,images/OBJ_190.png,images/OBJ_157.png,79.10173110000324,80.60697429999709,81.09017019998282,82.59018830000423,83.0895805999753,None,79.10790207996034,None,81.09065976995626,None,83.09010376997176,None,84.5891852999921,None,diff,MLR,86.12981419998687,87.6382930999971,88.12187480001012,89.62150800001109,90.12137529999018,None,86.13873067995301,None,88.12196177000297,None,90.12141046999605,None,91.62046119995648,None,1,['rightCL'],92.62017299997387,None,92.62017299997387,None,92.62017299997387,None,92.62017299997387,None,92.62017299997387,None,0.1337890625,-0.375,1,0,0,0.7331655999878421,rightCL,0.016315969987772405,None,93.35330046999152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
2,0,2,0,,,,,,,94.00782150001032,None,LMR,images/OBJ_164.png,images/OBJ_191.png,images/OBJ_38.png,95.55796750000445,97.06927819998236,97.55210159998387,99.05200669995975,99.5518771999632,None,95.5694109800039,None,97.55254186998937,None,99.55197807000368,None,101.05105929996353,None,same,MLR,102.58518649998587,104.100631600013,104.58335289999377,106.08291419997113,106.58276530000148,None,102.58388350998867,None,104.58333316998906,None,106.58276856999728,None,108.08232270000735,None,1,['leftCL'],109.08252379996702,None,109.08252379996702,None,109.08252379996702,None,109.08252379996702,None,109.08252379996702,None,-0.2041015625,-0.30078125,1,0,0,0.2994825000059791,leftCL,0.016374970029573888,None,109.38196956995526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
3,0,3,0,,,,,,,110.0262447000132,None,RLM,images/OBJ_163.png,images/OBJ_166.png,images/OBJ_142.png,111.56512779998593,113.06418190000113,113.56454809999559,115.06361010001274,115.56349269999191,None,111.5647180099797,None,113.56405526999734,None,115.56347766996478,None,117.06311489996733,None,same,MLR,118.59454339998774,120.09545480000088,120.59536789997946,122.09489529998973,122.59523899998749,None,118.5958244099922,None,120.59536727000378,None,122.59478046995937,None,124.09434010001132,None,1,['leftCL'],125.09402729995782,None,125.09402729995782,None,125.09402729995782,None,125.09402729995782,None,125.09402729995782,None,-0.197265625,-0.318359375,1,0,0,0.2504594000056386,leftCL,0.016360469977371395,None,125.34447956999648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
4,0,4,0,,,,,,,125.98849129996961,None,MLR,images/OBJ_49.png,images/OBJ_51.png,images/OBJ_135.png,127.5360314999707,129.04340889997547,129.52611440001056,131.02616099995794,131.52598029997898,None,127.54342677999522,None,129.5265938699653,None,131.5259281699604,None,133.02506630000426,None,same,MLR,134.5630891000037,136.07421649998287,136.5411938999896,138.04076639999403,138.55732179997722,None,134.5746746799792,None,136.54121487000376,None,138.55680466996856,None,140.05636310001137,None,1,['leftCL'],141.05606929998612,None,141.05606929998612,None,141.05606929998612,None,141.05606929998612,None,141.05606929998612,None,-0.1162109375,-0.3251953125,1,0,0,0.4165627000038512,leftCL,0.01630796998506412,None,141.4727050699934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
5,0,5,0,,,,,,,142.12066879996564,None,RML,images/OBJ_139.png,images/OBJ_210.png,images/OBJ_187.png,143.66427419998217,145.17155319999438,145.65472539997427,147.1546647999785,147.65461859997595,None,143.67253207999747,None,145.6552289699961,None,147.65417096997263,None,149.1541939000017,None,same,MLR,150.6945217999746,152.20282179996138,152.68602819996886,154.18562750000274,154.68544329999713,None,150.70372717998688,None,152.68652046996286,None,154.68594686996076,None,156.18506339995656,None,1,['leftCL'],157.18478379998123,None,157.18478379998123,None,157.18478379998123,None,157.18478379998123,None,157.18478379998123,None,-0.12890625,-0.3291015625,1,0,0,0.3166184999863617,leftCL,0.016349070006981492,None,157.50138007000206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
6,0,6,0,,,,,,,158.15169209998567,None,LMR,images/OBJ_4.png,images/OBJ_23.png,images/OBJ_94.png,159.69385029998375,161.2006873000064,161.6834376999759,163.1830273999949,163.68284149997635,None,159.70124538000672,None,161.68390996999224,None,163.6828327699972,None,165.1823860000004,None,diff,MLR,166.7211113999947,168.2319708999712,168.71470059995772,170.2142962999642,170.71412670001155,None,166.731955979974,None,168.7147233699856,None,170.71412937000278,None,172.21368499996606,None,1,['rightCL'],173.21346619998803,None,173.21346619998803,None,173.21346619998803,None,173.21346619998803,None,173.21346619998803,None,0.1669921875,-0.35546875,1,0,0,0.36680419999174774,rightCL,0.016298569971695542,None,173.58046416997095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
7,0,7,0,,,,,,,174.2289592999732,None,LMR,images/OBJ_10.png,images/OBJ_85.png,images/OBJ_104.png,175.77647639997303,177.2788776999805,177.77875239995774,179.2782730999752,179.77817179996055,None,175.7799168799771,None,177.77920667001163,None,179.7781247699808,None,181.2777245999896,None,diff,RLM,182.82019329996547,184.326808599988,184.81000749999657,186.30956620001234,186.8094501000014,None,182.82721207997528,None,184.81003826996894,None,186.80943766999408,None,188.30900939996354,None,1,['rightCL'],189.30874879995827,None,189.30874879995827,None,189.30874879995827,None,189.30874879995827,None,189.30874879995827,None,0.1455078125,-0.3466796875,1,0,0,0.31665390002308413,rightCL,0.01636996999150142,None,189.62534496997833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
8,0,8,0,,,,,,,190.2710734999855,None,RML,images/OBJ_183.png,images/OBJ_12.png,images/OBJ_72.png,191.81252420000965,193.3246952999616,193.80791129998397,195.3074779000017,195.80730330001097,None,191.80853390998092,None,193.8079152699851,None,195.80732256995398,None,197.3064289999893,None,same,RLM,198.84171549999155,200.35551359999226,200.83906949998345,202.33827659999952,202.83810140000423,None,198.83972280998134,None,200.8391895699955,None,202.83813306998346,None,204.3376833999646,None,1,['leftCL'],205.33744799997658,None,205.33744799997658,None,205.33744799997658,None,205.33744799997658,None,205.33744799997658,None,-0.1630859375,-0.3115234375,1,0,0,0.6500907000154257,leftCL,0.016301569994539022,None,205.9876953699917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
9,0,9,0,,,,,,,206.62993239995558,None,MLR,images/OBJ_197.png,images/OBJ_32.png,images/OBJ_195.png,208.18527099996572,209.68613489996642,210.18643489998067,211.68557319999672,212.18590549996588,None,208.18665158000076,None,210.18646696996294,None,212.1859110699792,None,213.6849592999788,None,same,RLM,215.23095950001152,216.73404959996697,217.23396709997905,218.733550200006,219.23385009996127,None,215.2349892799626,None,217.2344605699822,None,219.23337887001108,None,220.73343059996841,None,1,['leftCL'],221.73264740000013,None,221.73264740000013,None,221.73264740000013,None,221.73264740000013,None,221.73264740000013,None,-0.1669921875,-0.2900390625,1,0,0,0.4831810000468977,leftCL,0.016353269980754703,None,222.21586116997642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1001,2023-10-10_10h20.30.086,exp,2021.1.4,60.02119948837275,
