EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,84.5460882000043,None,89.01007750001736,None,MRL,images/OBJ_93.png,images/OBJ_54.png,images/OBJ_28.png,90.6494706000085,92.15992880001431,92.64357489999384,94.14313280000351,94.64299790002406,None,90.66060090000974,None,92.64361945998971,None,94.64254636002588,None,96.14210110000568,None,same,None,97.77443069999572,99.27494440000737,99.77436050004326,101.27436730003683,101.77427340002032,None,97.77509034000686,None,99.77485136000323,None,101.77424595999182,None,103.27334439998958,None,0,['leftCL'],104.27304659999209,None,104.27304659999209,None,104.27304659999209,None,104.27304659999209,None,104.27304659999209,None,-0.22265625,-0.3095703125,1,0,0,0.32946569996420294,leftCL,0.012516560032963753,None,104.60629636002122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
1,0,1,0,,,,,,,,,,,,,,,105.26239400001941,None,RLM,images/OBJ_46.png,images/OBJ_198.png,images/OBJ_167.png,106.82657670002664,108.33852729998762,108.8217148000258,110.32173470000271,110.82110699999612,None,106.82287484003463,None,108.82220976001699,None,110.82166266004205,None,112.3211865000194,None,same,None,113.86982490000082,115.36977900000056,115.86963820003439,117.36920499999542,117.86902400001418,None,113.87031763999256,None,115.86965116002247,None,117.8691227600153,None,119.36867220001295,None,0,['leftCL'],120.36835200001951,None,120.36835200001951,None,120.36835200001951,None,120.36835200001951,None,120.36835200001951,None,-0.197265625,-0.37890625,1,0,0,0.38326009997399524,leftCL,0.016358859953470528,None,120.75159535998827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
2,0,2,0,,,,,,,,,,,,,,,121.40296149998903,None,RML,images/OBJ_131.png,images/OBJ_130.png,images/OBJ_209.png,122.9624940000358,124.4671397000202,124.95084539998788,126.4504226000281,126.9502705000341,None,122.9676625400083,None,124.95086025999043,None,126.94975155998836,None,128.44980130001204,None,same,None,129.98906670004362,131.49845509999432,131.98166360001778,133.48168910003733,133.98109390004538,None,129.9988836400211,None,131.98169426002423,None,133.98155866003944,None,135.48116670001764,None,0,['leftCL'],136.48085200000787,None,136.48085200000787,None,136.48085200000787,None,136.48085200000787,None,136.48085200000787,None,-0.2197265625,-0.3818359375,1,0,0,0.34874670003773645,leftCL,0.014672359975520521,None,136.8307722600235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
3,0,3,0,,,,,,,,,,,,,,,137.4714101999998,None,RML,images/OBJ_71.png,images/OBJ_147.png,images/OBJ_150.png,139.02211349998834,140.52917019999586,141.01236809999682,142.51191030000336,143.0122647000244,None,139.02967664003373,None,141.0123365599953,None,143.01175976002705,None,144.5113563000341,None,same,None,146.0487950000097,147.56043970002793,148.04367600003025,149.5431724000373,150.0435265999986,None,146.06089913999895,None,148.04362726001418,None,150.04304385999566,None,151.54260069999145,None,0,['leftCL'],152.54231450002408,None,152.54231450002408,None,152.54231450002408,None,152.54231450002408,None,152.54231450002408,None,-0.21875,-0.390625,1,0,0,0.2837069999659434,leftCL,0.016373060003388673,None,152.82566436001215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
4,0,4,0,,,,,,,,,,,,,,,153.47182510001585,None,LMR,images/OBJ_102.png,images/OBJ_86.png,images/OBJ_15.png,155.02705209999112,156.54112589999568,157.02435310004512,158.52388910000445,159.02428180002607,None,155.02555694003823,None,157.02438076002872,None,159.02430025999783,None,160.52329020004254,None,same,None,162.06991880002897,163.5724550000159,164.0722853000043,165.57184109999798,166.07166399998823,None,162.07339234001702,None,164.07231435999856,None,166.07175196002353,None,167.57129600003827,None,0,['leftCL'],168.57101230003173,None,168.57101230003173,None,168.57101230003173,None,168.57101230003173,None,168.57101230003173,None,-0.2197265625,-0.3955078125,1,0,0,0.5166305000311695,leftCL,0.01636776002123952,None,169.0875415599963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
5,0,5,0,,,,,,,,,,,,,,,169.7331228000112,None,RLM,images/OBJ_97.png,images/OBJ_17.png,images/OBJ_2.png,171.28915910003707,172.80359940003837,173.28635360003682,174.78634920000331,175.2857648000354,None,171.2874514400377,None,173.28679286001133,None,175.28620935999206,None,176.7852847999893,None,diff,RML,178.3337011000258,179.83490429999074,180.33478450000985,181.8343104000087,182.33417340001324,None,178.33529374001083,None,180.33474516000715,None,182.33417216000962,None,183.83322410000255,None,1,['rightCL'],184.83294440002646,None,184.83294440002646,None,184.83294440002646,None,184.83294440002646,None,184.83294440002646,None,0.134765625,-0.3271484375,1,0,0,0.3165934000280686,rightCL,0.01635296002496034,None,185.14957316003856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
6,0,6,0,,,,,,,,,,,,,,,185.8015132000437,None,LMR,images/OBJ_114.png,images/OBJ_123.png,images/OBJ_94.png,187.36830900004134,188.88225900003454,189.3649599000346,190.86499979998916,191.36490950000007,None,187.36610924002017,None,189.36546196002163,None,191.36489245999255,None,192.8639578000293,None,same,RML,194.41271960001905,195.91352370003005,196.41291890002321,197.91247949999524,198.41282910003792,None,194.41394604000962,None,196.41341766004334,None,198.41283286001416,None,199.91188930004137,None,0,['leftCL'],200.91163560003042,None,200.91163560003042,None,200.91163560003042,None,200.91163560003042,None,200.91163560003042,None,-0.154296875,-0.34765625,1,0,0,0.29995519999647513,leftCL,0.016352360020391643,None,201.2120652600366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
7,0,7,0,,,,,,,,,,,,,,,201.85291860002326,None,MLR,images/OBJ_4.png,images/OBJ_129.png,images/OBJ_103.png,203.4049530000193,204.91043340001488,205.39365490002092,206.8931758000399,207.39305770001374,None,203.41145803998225,None,205.394161560043,None,207.39304856000817,None,208.89261310000438,None,same,RML,210.4323008999927,211.94174550002208,212.42491460003657,213.924982800032,214.42482390004443,None,210.44220064001857,None,212.4249375600426,None,214.42484376002685,None,215.9239182000165,None,0,['leftCL'],216.92360939999344,None,216.92360939999344,None,216.92360939999344,None,216.92360939999344,None,216.92360939999344,None,-0.189453125,-0.3916015625,1,0,0,0.3498534000245854,leftCL,0.016372559999581426,None,217.2735285600007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
8,0,8,0,,,,,,,,,,,,,,,217.92914610001026,None,LMR,images/OBJ_78.png,images/OBJ_59.png,images/OBJ_1.png,219.48085380002158,220.98912460001884,221.47277520003263,222.97187890001805,223.47221470001386,None,219.4901135400054,None,221.47279426000895,None,223.47219126001582,None,224.97128300002078,None,same,RML,226.50652360002277,228.02086280001095,228.50405510002747,230.0031585000106,230.50298970000586,None,226.50459117999415,None,228.50409236002596,None,230.5030273600074,None,232.00304889999097,None,0,['leftCL'],233.00273619999643,None,233.00273619999643,None,233.00273619999643,None,233.00273619999643,None,233.00273619999643,None,-0.2177734375,-0.361328125,1,0,0,0.41704319999553263,leftCL,0.016317559988237917,None,233.41933036001282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
9,0,9,0,,,,,,,,,,,,,,,234.0647072000429,None,LMR,images/OBJ_33.png,images/OBJ_202.png,images/OBJ_40.png,235.6148057000246,237.11773050000193,237.60142680001445,239.10097319999477,239.61699470004532,None,235.61879553998588,None,237.60143145999754,None,239.61751306004007,None,241.11658860003809,None,same,RML,242.65848109999206,244.16567810002016,244.64891109999735,246.1489596000174,246.6483094000141,None,242.66661213999615,None,244.6493823600409,None,246.64884785998728,None,248.14787300000899,None,0,['leftCL'],249.14752769999905,None,249.14752769999905,None,249.14752769999905,None,249.14752769999905,None,249.14752769999905,None,-0.2333984375,-0.35546875,1,0,0,0.31608860002597794,leftCL,0.016374360071495175,None,249.46417685999185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OE1002,2023-10-10_16h57.35.922,exp,2021.1.4,60.117397251454214,
