EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,slider.response,slider.rt,slider.started,slider.stopped,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,56.01221329998225,None,MRL,images/OBJ_82.png,images/OBJ_197.png,images/OBJ_186.png,66.0691706999205,67.57266169996001,68.07249510008842,69.57208680012263,70.0719399000518,None,66.0730814000126,None,68.07252878001891,None,70.07192478007637,None,71.57145810010843,None,same,None,1,73.20662569999695,74.72059080004692,75.2037871000357,76.70334829995409,77.20322400005534,None,73.20426762006245,None,75.20378417992033,None,77.20317068002187,None,78.70280819991603,None,1,['leftCL'],79.70245709992014,None,79.70245709992014,None,79.70245709992014,None,79.70245709992014,None,79.70245709992014,None,-0.25585938,-0.29882812,1,0,0,1.5283442998770624,leftCL,0.011846979847177863,None,81.23531957999803,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
1,0,1,0,,,,,,,,,,,RML,images/OBJ_196.png,images/OBJ_84.png,images/OBJ_98.png,81.79773130011745,83.30141919991001,83.80125809996389,85.30083109997213,85.80069319996983,None,81.8018225999549,None,83.80123677994125,None,85.80070218006149,None,87.30025759991258,None,same,None,2,88.85061060008593,90.36603739997372,90.84919680003077,92.348746499978,92.84861270012334,None,88.84974292009137,None,90.84924957999029,None,92.84861327991821,None,94.34817330003716,None,1,['leftCL'],95.34790510009043,None,95.34790510009043,None,95.34790510009043,None,95.34790510009043,None,95.34790510009043,None,-0.19042969,-0.3955078,1,0,0,0.5832165000028908,leftCL,0.01643658010289073,None,95.93105778009631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
2,0,2,0,,,,,,,,,,,LMR,images/OBJ_172.png,images/OBJ_191.png,images/OBJ_164.png,96.47455010004342,97.98048930009827,98.46369799994864,99.96323879994452,100.46308890008368,None,96.48093222007155,None,98.46366857998073,None,100.46305328006856,None,101.96266540000215,None,same,None,3,103.49909000005573,105.01173370005563,105.49494839995168,106.99452030006796,107.49438520008698,None,103.49543554000557,None,105.49493478010409,None,107.49436957999133,None,108.99393519992009,None,1,['leftCL'],109.99363850010559,None,109.99363850010559,None,109.99363850010559,None,109.99363850010559,None,109.99363850010559,None,-0.19042969,-0.37890625,1,0,0,0.4333454999141395,leftCL,0.01644627982750535,None,110.42689807997085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
3,0,3,0,,,,,,,,,,,LMR,images/OBJ_37.png,images/OBJ_69.png,images/OBJ_181.png,110.9728560000658,112.47625340009108,112.97611039993353,114.47570160008036,114.97552169999108,None,110.97670991993509,None,112.97615847997368,None,114.97555108000525,None,116.47507859999314,None,same,None,4,118.0131348001305,119.52423330000602,120.00741480011493,121.50695930002257,122.00687810010277,None,118.02451312001794,None,120.00744167999365,None,122.00682947998867,None,123.50641130004078,None,1,['leftCL'],124.50612280005589,None,124.50612280005589,None,124.50612280005589,None,124.50612280005589,None,124.50612280005589,None,-0.19335938,-0.39453125,1,0,0,0.36665809992700815,leftCL,0.016441980144008994,None,124.87266077990644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
4,0,4,0,,,,,,,,,,,RLM,images/OBJ_86.png,images/OBJ_50.png,images/OBJ_68.png,125.42574410000816,126.93871219991706,127.42195080011152,128.9214961999096,129.42136229993775,None,125.42250881991349,None,127.42193827992305,None,129.4213430800475,None,130.92093680007383,None,same,None,5,132.46202720003203,133.97001589997672,134.4532284999732,135.95280069997534,136.4526541000232,None,132.4703307200223,None,134.4532114800997,None,136.45263228011316,None,137.95221409993246,None,1,['leftCL'],138.95192930009216,None,138.95192930009216,None,138.95192930009216,None,138.95192930009216,None,138.95192930009216,None,-0.20019531,-0.37890625,1,0,0,0.38320429995656013,leftCL,0.016394380014389753,None,139.33513778010382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.4839721799828,None,old,images/OBJ_186.png,139.87019539996982,None,139.86832004007883,None,141.3845421001315,None,1,142.38426749990322,None,142.38426749990322,None,142.38426749990322,None,142.38426749990322,None,142.38426749990322,None,142.38426749990322,None,142.38426749990322,None,-0.026367188,-0.05859375,1,0,0,second_middle,0.012878179783001542,None,None,None,142.38426749990322,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.96627567992545,None,old,images/OBJ_82.png,143.99240210000426,None,144.0004628599621,None,145.50006560003385,None,2,146.49970229994506,None,146.49970229994506,None,146.49970229994506,None,146.49970229994506,None,146.49970229994506,None,146.49970229994506,None,146.49970229994506,None,0.01171875,-0.2705078,1,0,0,third_right,0.01294148014858365,None,None,None,146.49970229994506,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.09840467995963,None,old,images/OBJ_164.png,147.4691332001239,None,147.4661081799306,None,148.98235299997032,None,3,149.98204770009033,None,149.98204770009033,None,149.98204770009033,None,149.98204770009033,None,149.98204770009033,None,149.98204770009033,None,149.98204770009033,None,-0.034179688,0.05859375,1,0,0,first_left,0.012909480137750506,None,None,None,149.98204770009033,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.51405128003097,None,old,images/OBJ_69.png,151.60655630007386,None,151.61486695995552,None,153.1145013999194,None,4,154.1142140000593,None,154.1142140000593,None,154.1142140000593,None,154.1142140000593,None,154.1142140000593,None,154.1142140000593,None,154.1142140000593,None,0.0107421875,-0.16015625,1,0,0,second_middle,0.01285568019375205,None,None,None,154.1142140000593,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.84644118002615,None,old,images/OBJ_197.png,155.02390879997984,None,155.0306034598965,None,156.53013710002415,None,5,157.52986310003325,None,157.52986310003325,None,157.52986310003325,None,157.52986310003325,None,157.52986310003325,None,157.52986310003325,None,157.52986310003325,None,0.0146484375,-0.13867188,1,0,0,second_middle,0.012918580090627074,None,None,None,157.52986310003325,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.21212367997504,None,old,images/OBJ_172.png,158.3528269000817,None,158.36293935994615,None,159.8625471999403,None,6,160.8622739999555,None,160.8622739999555,None,160.8622739999555,None,160.8622739999555,None,160.8622739999555,None,160.8622739999555,None,160.8622739999555,None,0.0068359375,-0.24316406,1,0,0,third_right,0.012882079929113388,None,None,None,160.8622739999555,None,,,,,,,,,,2022-03-03_14h13.02.319,exp,2021.1.4,60.035324746543814,
