EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,24.975523999892175,None,RLM,images/OBJ_106.png,images/OBJ_141.png,images/OBJ_83.png,27.09976019989699,28.61338119977154,29.09654669999145,30.596101599978283,31.095941599924117,None,27.097839399939403,None,29.096590759931132,None,31.09602615982294,None,32.59552969993092,None,same,None,1,34.240663499804214,35.74507959978655,36.22828059992753,37.72736829984933,38.22724449983798,None,34.24563120002858,None,36.22784985997714,None,38.22775305993855,None,39.72684089979157,None,1,['leftCL'],40.726513399975374,None,40.726513399975374,None,40.726513399975374,None,40.726513399975374,None,40.726513399975374,None,-0.19726562,-0.234375,1,0,0,1.1134937000460923,leftCL,0.013381159864366055,None,41.842881459975615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
1,0,1,0,,,,,,,MRL,images/OBJ_11.png,images/OBJ_143.png,images/OBJ_21.png,42.396721799857914,43.90928279981017,44.392098899930716,45.89166159997694,46.39152619987726,None,42.409471299964935,None,44.392132059903815,None,46.39156675990671,None,47.89110719994642,None,same,None,2,49.439892099937424,50.94019429991022,51.44005069998093,52.93964699981734,53.43952469993383,None,49.440581139875576,None,51.44012495991774,None,53.43956085992977,None,54.939037499949336,None,1,['leftCL'],55.93871279992163,None,55.93871279992163,None,55.93871279992163,None,55.93871279992163,None,55.93871279992163,None,-0.16796875,-0.2861328,1,0,0,0.45000599999912083,leftCL,0.01646856009028852,None,56.38864725991152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
2,0,2,0,,,,,,,RML,images/OBJ_71.png,images/OBJ_47.png,images/OBJ_4.png,56.934223799966276,58.43801789986901,58.92121039982885,60.420770399970934,60.93728459998965,None,56.938534339889884,None,58.92122466000728,None,60.93731245980598,None,62.43687059986405,None,diff,LRM,3,63.97879519988783,65.48599309986457,65.96916649979539,67.46873539988883,67.96858569979668,None,63.986390840029344,None,65.96919285994954,None,67.96861886000261,None,69.46817289991304,None,1,['rightCL'],70.46787069994025,None,70.46787069994025,None,70.46787069994025,None,70.46787069994025,None,70.46787069994025,None,0.17675781,-0.2998047,1,0,0,0.3166629998013377,rightCL,0.0164329600520432,None,70.78446125984192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
3,0,3,0,,,,,,,LMR,images/OBJ_77.png,images/OBJ_97.png,images/OBJ_145.png,71.3393859998323,72.85051119979471,73.33371259993874,74.83328649983741,75.33311229990795,None,71.35108409984969,None,73.33376135979779,None,75.33361175982282,None,76.83273229980841,None,same,LRM,4,78.3757085998077,79.88178729987703,80.3649962998461,81.86455509997904,82.3644586999435,None,78.38219634001143,None,80.36503335996531,None,82.3644499599468,None,83.86398989986628,None,1,['leftCL'],84.86369199980982,None,84.86369199980982,None,84.86369199980982,None,84.86369199980982,None,84.86369199980982,None,-0.2705078,-0.2421875,1,0,0,1.1663671000860631,leftCL,0.016441060230135918,None,86.03008655994199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
4,0,4,0,,,,,,,MLR,images/OBJ_200.png,images/OBJ_65.png,images/OBJ_167.png,86.58694829978049,88.09607769991271,88.5792964999564,90.07885939977132,90.57871949998662,None,86.59665149985813,None,88.57930205995217,None,90.5787234599702,None,92.07827129983343,None,same,LRM,5,93.62250229995698,95.12776309996843,95.61057869996876,97.11013439996168,97.60999299981631,None,93.62779443990439,None,95.61058655986562,None,97.6100068599917,None,99.10957099986263,None,1,['leftCL'],100.10928919981234,None,100.10928919981234,None,100.10928919981234,None,100.10928919981234,None,100.10928919981234,None,-0.16894531,-0.25195312,1,0,0,0.4333426000084728,leftCL,0.01643425994552672,None,100.54258265998214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.37475225981325,None,old,images/OBJ_83.png,101.083114199806,None,101.09280084003694,None,102.59194359998219,None,1,103.59160429984331,None,103.59160429984331,None,103.59160429984331,None,103.59160429984331,None,103.59160429984331,None,103.59160429984331,None,103.59160429984331,None,-0.026367188,-0.1171875,1,0,0,second_middle,0.012597260065376759,None,None,None,103.59160429984331,None,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.94037895998918,None,old,images/OBJ_167.png,104.88527759979479,None,104.89122511981986,None,106.39078139979392,None,2,107.39050019998103,None,107.39050019998103,None,107.39050019998103,None,107.39050019998103,None,107.39050019998103,None,107.39050019998103,None,107.39050019998103,None,-0.00390625,-0.25878906,1,0,0,third_right,0.012719360180199146,None,None,None,107.39050019998103,None,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.70592725998722,None,old,images/OBJ_200.png,108.44679679977708,None,108.45692091993988,None,109.9564265999943,None,3,110.95614909986034,None,110.95614909986034,None,110.95614909986034,None,110.95614909986034,None,110.95614909986034,None,110.95614909986034,None,110.95614909986034,None,-0.021484375,0.11328125,1,0,0,first_left,0.012745159910991788,None,None,None,110.95614909986034,None,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.03829745994881,None,old,images/OBJ_21.png,112.2187641998753,None,112.22247762000188,None,113.72200999991037,None,4,114.72169879986905,None,114.72169879986905,None,114.72169879986905,None,114.72169879986905,None,114.72169879986905,None,114.72169879986905,None,114.72169879986905,None,-0.0048828125,0.10253906,1,0,0,first_left,0.012664559995755553,None,None,None,114.72169879986905,None,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.47062216000631,None,old,images/OBJ_11.png,115.54592359997332,None,115.55486051994376,None,117.05435889982618,None,5,118.05406879982911,None,118.05406879982911,None,118.05406879982911,None,118.05406879982911,None,118.05406879982911,None,118.05406879982911,None,118.05406879982911,None,-0.0048828125,0.099609375,1,0,0,first_left,0.012708959868177772,None,None,None,118.05406879982911,None,,2022-03-03_14h49.17.718,exp,2021.1.4,59.99833201969978,
