EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,7.600588291001259,None,LMR,images/OBJ_80.png,images/OBJ_200.png,images/OBJ_143.png,8.93013937500109,10.435928000000786,10.916174333000527,12.423245625001073,12.916664625001431,None,8.929447520502071,None,10.916543520500635,None,12.916751353500512,None,14.422438583000257,None,same,None,1,16.067148375001125,17.571845833001134,18.065377000000808,19.572801125001206,20.066320166000878,None,16.065211478501805,None,18.065377603500746,None,20.066312187501534,None,21.572058249999827,None,0,"['leftCL', 'sameText']",22.580748458000016,None,22.580748458000016,None,22.580748458000016,None,22.580748458000016,None,22.580748458000016,None,-0.23703703703703705,-0.29814814814814816,1,0,0,0.7677250839988119,leftCL,0.006658604499534704,None,23.34699743750134,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
1,0,1,0,,,RLM,images/OBJ_182.png,images/OBJ_99.png,images/OBJ_26.png,24.019187040999896,25.521332833000997,26.015366458001154,27.522052250000343,28.016324000000168,None,24.02837312500269,None,26.015006353501303,None,28.01569377050073,None,29.522962250001,None,same,None,2,31.16987712500122,32.67090050000115,33.16464350000024,34.67132341600154,35.16486350000014,None,31.178061041002728,None,33.16468510350133,None,35.16527139550017,None,36.67082750000009,None,0,"['leftCL', 'sameText']",37.672339708000436,None,37.672339708000436,None,37.672339708000436,None,37.672339708000436,None,37.672339708000436,None,-0.23796296296296296,-0.29814814814814816,1,0,0,0.33319754200056195,leftCL,0.012306437502047629,None,38.00587264550013,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
2,0,2,0,,,LMR,images/OBJ_56.png,images/OBJ_145.png,images/OBJ_31.png,38.63697129100001,40.14000291600132,40.62053370800095,42.12768145800146,42.62127458299983,None,38.64704847850153,None,40.62099968750154,None,42.62166460350018,None,44.12841879100051,None,same,None,3,45.75068262500099,47.263125166000464,47.743408666001415,49.25033670800076,49.74440875000073,None,45.75636879100239,None,47.743460770501045,None,49.744439437500844,None,51.249013083001046,None,0,"['leftCL', 'sameText']",52.25109458299994,None,52.25109458299994,None,52.25109458299994,None,52.25109458299994,None,52.25109458299994,None,-0.23796296296296296,-0.29814814814814816,1,0,0,0.26603916699968977,leftCL,0.012254853500053287,None,52.51787310350046,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
3,0,3,0,,,LMR,images/OBJ_164.png,images/OBJ_85.png,images/OBJ_144.png,53.17471425000076,54.67900695800017,55.1725421250012,56.679467666001074,57.17366908300028,None,53.17283791600167,None,55.172354812500274,None,57.173605520501226,None,58.680232875,None,same,None,4,60.31915237500107,61.82843808300095,62.32185754100101,63.82905704100085,64.30918162499984,None,60.3220905625014,None,62.32224222850091,None,64.30991177050164,None,65.81609058300091,None,1,['leftCL'],66.81641054100146,None,66.81641054100146,None,66.81641054100146,None,66.81641054100146,None,66.81641054100146,None,-0.2462962962962963,-0.2611111111111111,1,0,0,0.29549116599991976,leftCL,0.012252812502993038,None,67.11069435350073,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
4,0,4,0,,,MLR,images/OBJ_100.png,images/OBJ_58.png,images/OBJ_3.png,67.75289291599984,69.25771154100039,69.75120854099987,71.25833920800142,71.75189366599989,None,67.7513965625014,None,69.75150197850162,None,71.75231064550026,None,73.25721383300152,None,same,None,5,74.89289325000027,76.39353200000005,76.88703045800139,78.39419095800076,78.88840891600012,None,74.9008508955023,None,76.88737031250021,None,78.8877831034999,None,80.39520683299997,None,1,['leftCL'],81.39526812500117,None,81.39526812500117,None,81.39526812500117,None,81.39526812500117,None,81.39526812500117,None,-0.25,-0.2537037037037037,1,0,0,0.2796193750000384,leftCL,0.012267438503840822,None,81.67541102050127,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
5,0,5,0,,,LMR,images/OBJ_165.png,images/OBJ_36.png,images/OBJ_4.png,82.32076108300134,83.82307070800016,84.31660358299996,85.824390916001,86.31726695799989,None,82.33002854100269,None,84.3167426455013,None,86.31765135350106,None,87.82465825000145,None,same,None,6,89.45407020800121,90.95912616600071,91.45251154100151,92.95984687500095,93.45327237499987,None,89.4529536250011,None,91.45275435350159,None,93.45365435350068,None,94.95849995800017,None,0,"['leftCL', 'sameText']",95.96072520800044,None,95.96072520800044,None,95.96072520800044,None,95.96072520800044,None,95.96072520800044,None,-0.1824074074074074,-0.2916666666666667,1,0,0,0.2794595830000617,leftCL,0.012278396501642419,None,96.24095564550153,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
6,0,6,0,,,RLM,images/OBJ_171.png,images/OBJ_53.png,images/OBJ_70.png,96.89108158300041,98.4019195410001,98.88190654100072,100.38928520800073,100.88328279100097,None,96.89577612500253,None,98.8820557705014,None,100.88339377050143,None,102.38998108300075,None,same,None,7,104.01674012500007,105.52454870800102,106.01790129100118,107.52499554099995,108.01947816600114,None,104.01808275000076,None,106.01807677050165,None,108.01885722850166,None,109.5237995410007,None,0,"['leftCL', 'sameText']",110.52595745800136,None,110.52595745800136,None,110.52595745800136,None,110.52595745800136,None,110.52595745800136,None,-0.1824074074074074,-0.29074074074074074,1,0,0,0.37524254199888674,leftCL,0.012227478498971323,None,110.90010252050088,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
7,0,7,0,,,LRM,images/OBJ_142.png,images/OBJ_113.png,images/OBJ_116.png,111.54991041600078,113.06043750000026,113.54085016600038,115.04798220800149,115.54138587499983,None,111.5540677080011,None,113.54108064550128,None,115.54156256250026,None,117.04731691600136,None,same,None,8,118.68496212500031,120.19659795799998,120.67665008299991,122.18391875000088,122.67810141600057,None,118.69003818750134,None,120.67701343750123,None,122.6775128955007,None,124.18326666600115,None,0,"['leftCL', 'sameText']",125.18485450000117,None,125.18485450000117,None,125.18485450000117,None,125.18485450000117,None,125.18485450000117,None,-0.18333333333333332,-0.2898148148148148,1,0,0,0.3194964579997759,leftCL,0.0122273534998385,None,125.50507960350042,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
8,0,8,0,,,LMR,images/OBJ_84.png,images/OBJ_206.png,images/OBJ_175.png,126.15446862499994,127.66610566600139,128.146191541,129.6539723750011,130.14786095800082,None,126.16015570800155,None,128.1465777285004,None,130.14759122850154,None,131.6525042909998,None,same,None,9,133.28915850000158,134.78878970799997,135.28258025000105,136.78963129100157,137.28301229099998,None,133.2961057705026,None,135.2825179785006,None,137.28308835349998,None,138.7883862079998,None,0,"['leftCL', 'sameText']",139.79019900000094,None,139.79019900000094,None,139.79019900000094,None,139.79019900000094,None,139.79019900000094,None,-0.18333333333333332,-0.2898148148148148,1,0,0,0.3859102080004959,leftCL,0.012213479501951952,None,140.17725256250122,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
9,0,9,0,,,RML,images/OBJ_7.png,images/OBJ_160.png,images/OBJ_44.png,140.8371995000016,142.33816866600137,142.83179458300037,144.33943862500018,144.83246425000107,None,140.84518443750275,None,142.83186231250073,None,144.83259481250133,None,146.33933141600028,None,same,None,10,147.98270937500092,149.48779495800045,149.98115654100002,151.48825966600089,151.98177562500132,None,147.98143685350186,None,149.98115118750064,None,151.98181331250015,None,153.48696312500033,None,0,"['leftCL', 'sameText']",154.48903887500092,None,154.48903887500092,None,154.48903887500092,None,154.48903887500092,None,154.48903887500092,None,-0.23703703703703705,-0.29907407407407405,1,0,0,1.0267241660003492,leftCL,0.012270895500478218,None,155.5163026455004,None,,2022_Feb_08_1550,exp,2021.1.4,74.67216604206149,
