EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,15.80586940003559,None,MLR,images/OBJ_157.png,images/OBJ_119.png,images/OBJ_43.png,16.558011100045405,18.061848200042732,18.561813200009055,20.06089650001377,20.560763700050302,None,16.561387300072237,None,18.561325799976476,None,20.561204299982638,None,22.060720900073647,None,diff,RML,1,23.694435800076462,25.209389200084843,25.69255240005441,27.19215959997382,27.69196790002752,None,23.693350600008852,None,25.692511200043374,None,27.69196230005473,None,29.191567900008522,None,1,['rightCL'],30.191818200051785,None,30.191818200051785,None,30.191818200051785,None,30.191818200051785,None,30.191818200051785,None,0.2529296875,-0.349609375,1,0,0,0.5300268999999389,rightCL,0.013165699900127947,None,30.724418800044806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
1,0,1,0,,,,,,,LMR,images/OBJ_99.png,images/OBJ_13.png,images/OBJ_163.png,31.510414300020784,33.02379980008118,33.50743750005495,35.00652440008707,35.506378400023095,None,31.507154600089418,None,33.506945899990384,None,35.506328500062224,None,37.005942700081505,None,same,RML,2,38.540340000065044,40.05555480008479,40.538740499992855,42.03780180006288,42.53764750005212,None,38.53862850004807,None,40.53822080006357,None,42.53760110000148,None,44.037218300043605,None,1,['leftCL'],45.03693950001616,None,45.03693950001616,None,45.03693950001616,None,45.03693950001616,None,45.03693950001616,None,-0.1357421875,-0.3037109375,1,0,0,1.2497480999445543,leftCL,0.016414500074461102,None,46.286560099991036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
2,0,2,0,,,,,,,MRL,images/OBJ_71.png,images/OBJ_15.png,images/OBJ_46.png,47.07152250001673,48.585917700082064,49.06916950002778,50.56863019999582,51.068997900001705,None,47.069279400026424,None,49.06954390003811,None,51.06844320003874,None,52.568568199989386,None,same,RML,3,54.12310540000908,55.633827800047584,56.11705730005633,57.6166200999869,58.11643699998967,None,54.13404329998884,None,56.117026500008066,None,58.11643100001383,None,59.61652470007539,None,1,['leftCL'],60.6162199000828,None,60.6162199000828,None,60.6162199000828,None,60.6162199000828,None,60.6162199000828,None,-0.12109375,-0.306640625,1,0,0,0.5661561000160873,leftCL,0.016394800040870905,None,61.18223029999062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
3,0,3,0,,,,,,,RML,images/OBJ_150.png,images/OBJ_79.png,images/OBJ_53.png,61.975219200016,63.48194319999311,63.96475849999115,65.46478430007119,65.96416169998702,None,61.982113700057376,None,63.96519850003533,None,65.96412830003537,None,67.46371939999517,None,diff,LMR,4,68.99512960005086,70.4961543000536,70.99607820005622,72.49606310005765,72.99591489997692,None,68.99692300006281,None,70.99651050004177,None,72.99591220002621,None,74.4950132999802,None,1,['rightCL'],75.49521080008708,None,75.49521080008708,None,75.49521080008708,None,75.49521080008708,None,75.49521080008708,None,0.1650390625,-0.318359375,1,0,0,0.4661836999002844,rightCL,0.01641620008740574,None,75.96124060004949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
4,0,4,0,,,,,,,RML,images/OBJ_24.png,images/OBJ_153.png,images/OBJ_129.png,76.75669359997846,78.26105450000614,78.76090380002279,80.26051430008374,80.76032560004387,None,76.76109440000728,None,78.76041800000239,None,80.75982850005384,None,82.25940530002117,None,same,LMR,5,83.79923040000722,85.3090204000473,85.791733100079,87.29178910003975,87.79162710008677,None,83.80923160007224,None,85.7917050000513,None,87.79108150007669,None,89.29071580001619,None,1,['leftCL'],90.290443600039,None,90.290443600039,None,90.290443600039,None,90.290443600039,None,90.290443600039,None,-0.173828125,-0.3125,1,0,0,0.38335180003196,leftCL,0.01642040000297129,None,90.67361200002487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0223344000522,None,old,images/OBJ_99.png,91.4559899000451,None,91.45682860000524,None,92.95676129998174,None,1,93.95600130001549,None,93.95600130001549,None,93.95600130001549,None,93.95600130001549,None,93.95600130001549,None,93.95600130001549,None,93.95600130001549,None,-0.01953125,0.130859375,1,0,0,first_left,0.016337200067937374,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.58798020002432,None,old,images/OBJ_46.png,95.77278880006634,None,95.77176320001017,None,97.28838580008596,None,2,98.2881197000388,None,98.2881197000388,None,98.2881197000388,None,98.2881197000388,None,98.2881197000388,None,98.2881197000388,None,98.2881197000388,None,0.01171875,-0.115234375,1,0,0,second_middle,0.01637760002631694,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.38738330006599,None,old,images/OBJ_71.png,99.3351263999939,None,99.33745920001529,None,100.83782370004337,None,3,101.83753870008513,None,101.83753870008513,None,101.83753870008513,None,101.83753870008513,None,101.83753870008513,None,101.83753870008513,None,101.83753870008513,None,0.05859375,-0.09765625,1,0,0,second_middle,0.016394600155763328,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.91923339997884,None,old,images/OBJ_163.png,103.1346826000372,None,103.13677430008538,None,104.63670200004708,None,4,105.63643299997784,None,105.63643299997784,None,105.63643299997784,None,105.63643299997784,None,105.63643299997784,None,105.63643299997784,None,105.63643299997784,None,0.05859375,-0.1005859375,1,0,0,second_middle,0.016397900064475834,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06796169998124,None,old,images/OBJ_129.png,106.66514749999624,None,106.6686563000083,None,108.16899959999137,None,5,109.16861759999301,None,109.16861759999301,None,109.16861759999301,None,109.16861759999301,None,109.16861759999301,None,109.16861759999301,None,109.16861759999301,None,0.046875,-0.232421875,1,0,0,third_right,0.016405800124630332,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6669103999855,None,old,images/OBJ_15.png,110.82078750000801,None,110.8179145000875,None,112.33451790001709,None,6,113.33371150004677,None,113.33371150004677,None,113.33371150004677,None,113.33371150004677,None,113.33371150004677,None,113.33371150004677,None,113.33371150004677,None,0.013671875,-0.1513671875,1,0,0,second_middle,0.016372200101614,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.71575400007423,None,old,images/OBJ_13.png,114.40405670006294,None,114.39977140002884,None,115.9167561000213,None,7,116.91643930005375,None,116.91643930005375,None,116.91643930005375,None,116.91643930005375,None,116.91643930005375,None,116.91643930005375,None,116.91643930005375,None,0.00390625,0.0888671875,1,0,0,first_left,0.016412300057709217,None,b342,2023-01-24_17h03.00.244,exp,2021.1.4,59.98112994645277,
