EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,41.08367559999988,None,LMR,images/OBJ_142.png,images/OBJ_73.png,images/OBJ_177.png,43.19661359999918,44.70042859999921,45.20020839999961,46.69976739999947,47.19963439999992,None,43.20066854999923,None,45.20023464999913,None,47.20013744999933,None,48.69918629999938,None,same,None,1,50.325335300000006,51.83213479999995,52.31531629999972,53.81487129999914,54.314239699999234,None,50.33222404999952,None,52.3152826499997,None,54.31421494999968,None,55.81423739999991,None,1,['leftCL'],56.81359389999943,None,56.81359389999943,None,56.81359389999943,None,56.81359389999943,None,56.81359389999943,None,-0.2412109375,-0.2958984375,1,0,0,1.3119409999999334,leftCL,0.012367750000521482,None,58.12982374999929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
1,0,1,0,,,,,,,LMR,images/OBJ_145.png,images/OBJ_20.png,images/OBJ_35.png,58.91829409999991,60.42961219999961,60.912849800000004,62.41189139999915,62.91226469999947,None,58.92959304999959,None,60.91264654999914,None,62.91220114999915,None,64.41177549999975,None,same,None,2,65.94632029999957,67.46089549999942,67.94408749999911,69.44313759999932,69.94336779999958,None,65.94451754999965,None,67.94406254999986,None,69.94347085,None,71.44306459999916,None,1,['leftCL'],72.44277469999997,None,72.44277469999997,None,72.44277469999997,None,72.44277469999997,None,72.44277469999997,None,-0.24609375,-0.2958984375,1,0,0,0.5003364000003785,leftCL,0.016404449999754434,None,72.94253644999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
2,0,2,0,,,,,,,RML,images/OBJ_198.png,images/OBJ_146.png,images/OBJ_133.png,73.74376739999934,75.25863739999932,75.7417932999997,77.24136869999984,77.74124299999949,None,73.74187574999932,None,75.74178074999936,None,77.7410858499995,None,79.24079879999954,None,same,None,3,80.78303849999975,82.28994199999943,82.77300129999912,84.27265819999957,84.77249689999917,None,80.79013709999963,None,82.77303354999977,None,84.77231044999981,None,86.27164239999911,None,1,['leftCL'],87.27181109999947,None,87.27181109999947,None,87.27181109999947,None,87.27181109999947,None,87.27181109999947,None,-0.27734375,-0.33203125,1,0,0,0.6660957000003691,leftCL,0.01641025000026275,None,87.93772734999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
3,0,3,0,,,,,,,LMR,images/OBJ_163.png,images/OBJ_200.png,images/OBJ_105.png,88.71353399999953,90.2204630999995,90.70367319999968,92.20353269999941,92.70357739999963,None,88.72083119999989,None,90.70407424999912,None,92.70349444999984,None,94.20308759999989,None,diff,MLR,4,95.73728259999916,97.25221859999965,97.73536069999955,99.23443029999999,99.73484669999925,None,95.73580985,None,97.73533024999934,None,99.73475374999971,None,101.2510214999993,None,0,['leftCL'],102.25071979999939,None,102.25071979999939,None,102.25071979999939,None,102.25071979999939,None,102.25071979999939,None,-0.275390625,-0.3388671875,1,0,0,1.3831297999995513,leftCL,0.016414849999819126,None,103.63364024999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
4,0,4,0,,,,,,,LMR,images/OBJ_174.png,images/OBJ_182.png,images/OBJ_193.png,104.42905679999967,105.93250159999934,106.41616559999966,107.91571219999969,108.43172179999965,None,104.43288684999906,None,106.41614784999975,None,108.43222484999997,None,109.93133389999912,None,same,MLR,5,111.4709069999999,112.98034349999944,113.46357989999979,114.96313929999997,115.46299699999963,None,111.48113389999962,None,113.46356974999954,None,115.4635003499995,None,116.9630916999995,None,1,['leftCL'],117.96284099999957,None,117.96284099999957,None,117.96284099999957,None,117.96284099999957,None,117.96284099999957,None,-0.275390625,-0.3388671875,1,0,0,1.116479000000254,leftCL,0.016412050000326417,None,119.07914424999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.21077794999992,None,old,images/OBJ_193.png,119.85121099999924,None,119.8617236999995,None,121.36179299999912,None,1,122.36151419999987,None,122.36151419999987,None,122.36151419999987,None,122.36151419999987,None,122.36151419999987,None,122.36151419999987,None,122.36151419999987,None,-0.0205078125,-0.115234375,1,0,0,second_middle,0.016353650000382913,None,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.77637774999921,None,old,images/OBJ_146.png,123.97506799999974,None,123.97720214999927,None,125.4768138999998,None,2,126.47652839999955,None,126.47652839999955,None,126.47652839999955,None,126.47652839999955,None,126.47652839999955,None,126.47652839999955,None,126.47652839999955,None,0.03125,-0.1171875,1,0,0,second_middle,0.016398949999711476,None,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.29205024999982,None,old,images/OBJ_20.png,127.51411269999971,None,127.5095932499994,None,129.02573069999926,None,3,130.02542129999983,None,130.02542129999983,None,130.02542129999983,None,130.02542129999983,None,130.02542129999983,None,130.02542129999983,None,130.02542129999983,None,0.041015625,-0.251953125,1,0,0,third_right,0.016417150000961556,None,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3741793499991,None,old,images/OBJ_145.png,131.0374683,None,131.04134289999928,None,132.54135899999983,None,4,133.54155899999932,None,133.54155899999932,None,133.54155899999932,None,133.54155899999932,None,133.54155899999932,None,133.54155899999932,None,133.54155899999932,None,0.0361328125,0.0419921875,1,0,0,first_left,0.016419550001046446,None,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.93980214999982,None,old,images/OBJ_133.png,135.1345300999992,None,135.14016804999926,None,136.64019589999953,None,5,137.63995949999935,None,137.63995949999935,None,137.63995949999935,None,137.63995949999935,None,137.63995949999935,None,137.63995949999935,None,137.63995949999935,None,0.0361328125,-0.1142578125,1,0,0,second_middle,0.016414650000115216,None,baharbhr,2023-04-25_15h33.42.532,exp,2021.1.4,60.114650661934114,
