EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.895332800006145,None,RLM,images/OBJ_25.png,images/OBJ_78.png,images/OBJ_40.png,12.52026050000859,14.035478800011333,14.518221899998025,16.01825049999752,16.51765220001107,None,12.51919344001508,None,14.518692720001855,None,16.51811492001143,None,18.01723120000679,None,same,None,1,19.64126840000972,21.150068600007216,21.633264400006738,23.132301999998163,23.632162200010498,None,19.649900980012898,None,21.632738119999704,None,23.632156320007926,None,25.131764000005205,None,1,['leftCL'],26.132047600010992,None,26.132047600010992,None,26.132047600010992,None,26.132047600010992,None,26.132047600010992,None,-0.27734375,-0.2822265625,1,0,0,0.8956379000010202,leftCL,0.012151620001532137,None,27.031233320002503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
1,0,1,0,,,,,,,RML,images/OBJ_161.png,images/OBJ_47.png,images/OBJ_165.png,27.818811200006166,29.330530699997325,29.814200400011032,31.313255600005505,31.81362010000157,None,27.83097488000494,None,29.813688120008738,None,31.813120920011716,None,33.31320860001142,None,same,None,2,34.8511651000008,36.36178780000773,36.84498990001157,38.34491810000327,38.84443569999712,None,34.862624680000586,None,36.84497052000806,None,38.8448933200023,None,40.343963000006624,None,1,['leftCL'],41.34411550000368,None,41.34411550000368,None,41.34411550000368,None,41.34411550000368,None,41.34411550000368,None,-0.2763671875,-0.28125,1,0,0,0.7332048999960534,leftCL,0.016412919998401776,None,42.076796819998705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
2,0,2,0,,,,,,,RML,images/OBJ_80.png,images/OBJ_209.png,images/OBJ_20.png,42.85958420000679,44.359482200001366,44.8592781000043,46.358857300001546,46.85870280000381,None,42.859847760008414,None,44.859305420007146,None,46.85871492000733,None,48.35828929999843,None,same,None,3,49.89679620000243,51.407395000002,51.89057540000067,53.39019780000672,53.890498599997954,None,49.907761980011124,None,51.89057331999793,None,53.890536720010275,None,55.389576400004444,None,1,['leftCL'],56.38927810000314,None,56.38927810000314,None,56.38927810000314,None,56.38927810000314,None,56.38927810000314,None,-0.2763671875,-0.28125,1,0,0,0.3499572999862721,leftCL,0.01640182000119239,None,56.73917551999766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
3,0,3,0,,,,,,,RML,images/OBJ_35.png,images/OBJ_194.png,images/OBJ_166.png,57.546749300003285,59.05515359999845,59.53832269999839,61.03786609999952,61.537747900001705,None,57.55553330000839,None,59.538331720007406,None,61.537754220004715,None,63.037834200004,None,same,None,4,64.57955760000914,66.08641800000623,66.57013439999719,68.06918520000181,68.56899820000399,None,64.58725358000375,None,66.56966562000598,None,68.56899552001123,None,70.06915550000849,None,1,['leftCL'],71.06829700000526,None,71.06829700000526,None,71.06829700000526,None,71.06829700000526,None,71.06829700000526,None,-0.2177734375,-0.3037109375,1,0,0,0.3326916999940295,leftCL,0.01640202000271529,None,71.401566920006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
4,0,4,0,,,,,,,RLM,images/OBJ_105.png,images/OBJ_15.png,images/OBJ_136.png,72.19580460000725,73.7013997000031,74.18455859999813,75.68362799999886,76.18398159999924,None,72.20124998001411,None,74.18405082000099,None,76.18400532000378,None,77.68304299999727,None,same,None,5,79.22720069999923,80.73265309999988,81.21535589999985,82.71491350000724,83.21526009999798,None,79.23251678000379,None,81.21585722000309,None,83.21474502000346,None,84.7143408999982,None,1,['leftCL'],85.71412520000013,None,85.71412520000013,None,85.71412520000013,None,85.71412520000013,None,85.71412520000013,None,-0.2177734375,-0.3037109375,1,0,0,0.3666293999995105,leftCL,0.016406019989517517,None,86.08058742000576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99613752001169,None,old,images/OBJ_40.png,86.86299520000466,None,86.86412176001467,None,88.36326759999793,None,1,89.36298309999984,None,89.36298309999984,None,89.36298309999984,None,89.36298309999984,None,89.36298309999984,None,89.36298309999984,None,89.36298309999984,None,0.0322265625,-0.0751953125,1,0,0,second_middle,0.01633961999323219,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.97766492001101,None,old,images/OBJ_166.png,90.74930690000474,None,90.74634912001493,None,92.2621313999989,None,2,93.26181380001071,None,93.26181380001071,None,93.26181380001071,None,93.26181380001071,None,93.26181380001071,None,93.26181380001071,None,93.26181380001071,None,0.0634765625,-0.3408203125,1,0,0,third_right,0.016417520004324615,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5433400200025,None,old,images/OBJ_47.png,96.72498500000802,None,96.72742662000819,None,98.22754580000765,None,3,99.2267193000007,None,99.2267193000007,None,99.2267193000007,None,99.2267193000007,None,99.2267193000007,None,99.2267193000007,None,99.2267193000007,None,0.0078125,-0.1484375,1,0,0,second_middle,0.01640952000161633,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3255813199983,None,old,images/OBJ_15.png,100.29656350000005,None,100.29356492000515,None,101.8094121000031,None,4,102.80923579999944,None,102.80923579999944,None,102.80923579999944,None,102.80923579999944,None,102.80923579999944,None,102.80923579999944,None,102.80923579999944,None,0.0078125,-0.2578125,1,0,0,third_right,0.016365220013540238,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94115031999972,None,old,images/OBJ_165.png,104.07277310000791,None,104.0754017200059,None,105.57497310001054,None,5,106.57458010000119,None,106.57458010000119,None,106.57458010000119,None,106.57458010000119,None,106.57458010000119,None,106.57458010000119,None,106.57458010000119,None,0.0078125,-0.255859375,1,0,0,third_right,0.016419319988926873,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18994012001058,None,old,images/OBJ_161.png,107.69293150000158,None,107.69138502000423,None,109.20713320000505,None,6,110.20735740000964,None,110.20735740000964,None,110.20735740000964,None,110.20735740000964,None,110.20735740000964,None,110.20735740000964,None,110.20735740000964,None,0.009765625,0.1015625,1,0,0,first_left,0.016403820001869462,None,baharro,2023-04-26_15h34.50.508,exp,2021.1.4,60.003048158847115,
