EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,52.30839659999765,None,RML,images/OBJ_1.png,images/OBJ_186.png,images/OBJ_13.png,53.345675200005644,54.85794280000846,55.34113210000214,56.84072620001098,57.34057610000309,None,53.358608949997866,None,55.341132750005634,None,57.340488650005135,None,58.84047520000604,None,same,None,1,60.46424280000792,61.972564700001385,62.455741099998704,63.955239300004905,64.45512589999998,None,60.473009650000314,None,62.45567955000879,None,64.45510935000348,None,65.95464950001042,None,1,['leftCL'],66.95476100000087,None,66.95476100000087,None,66.95476100000087,None,66.95476100000087,None,66.95476100000087,None,-0.224609375,-0.3349609375,1,0,0,2.445237599997199,leftCL,0.012182650010799989,None,69.4037663500043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
1,0,1,0,,,,,,,MRL,images/OBJ_51.png,images/OBJ_205.png,images/OBJ_14.png,70.18910020000476,71.70310189999873,72.18624730000738,73.68583100000978,74.18571510000038,None,70.18694750000141,None,72.18626675000851,None,74.18569755001081,None,75.68514600000344,None,same,None,2,77.22713500000827,78.73427970000193,79.21750800000154,80.7171190000081,81.21695929999987,None,77.23469469999837,None,79.21745994999802,None,81.21686275000539,None,82.71649790000811,None,1,['leftCL'],83.71625670000503,None,83.71625670000503,None,83.71625670000503,None,83.71625670000503,None,83.71625670000503,None,-0.220703125,-0.3203125,1,0,0,0.7999432999931742,leftCL,0.016395350015955046,None,84.51602505000338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
2,0,2,0,,,,,,,LMR,images/OBJ_148.png,images/OBJ_9.png,images/OBJ_119.png,85.3110874999984,86.81529410000076,87.29841250000754,88.7980177999998,89.29826110000431,None,85.31595895000065,None,87.29848784999777,None,89.29788355000929,None,90.7974178000004,None,diff,MLR,3,92.33813699999882,93.84655980000389,94.32968520000577,95.8292827999976,96.32908280000265,None,92.3470450999972,None,94.32967705000047,None,96.3291948500104,None,97.82868640001107,None,1,['rightCL'],98.8283739000035,None,98.8283739000035,None,98.8283739000035,None,98.8283739000035,None,98.8283739000035,None,0.1259765625,-0.3037109375,1,0,0,0.5834929999982705,rightCL,0.01637325000774581,None,99.41198865001061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
3,0,3,0,,,,,,,RML,images/OBJ_115.png,images/OBJ_141.png,images/OBJ_161.png,100.21082680000109,101.71084650000557,102.21074900000531,103.71028210000077,104.21015030000126,None,100.21153385000217,None,102.21074925000576,None,104.21015935001051,None,105.70972930001153,None,same,MLR,4,107.2543616000039,108.75882570000249,109.2419346000097,110.7415333000099,111.24140030000126,None,107.25929060000054,None,109.24204745000898,None,111.24141465000721,None,112.74098990000493,None,1,['leftCL'],113.74070580000989,None,113.74070580000989,None,113.74070580000989,None,113.74070580000989,None,113.74070580000989,None,-0.2470703125,-0.236328125,1,0,0,1.4663558000029298,leftCL,0.01639594999141991,None,115.20695765000565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
4,0,4,0,,,,,,,RML,images/OBJ_18.png,images/OBJ_195.png,images/OBJ_144.png,115.99276510000345,117.50623320000886,117.98933940001007,119.48899179999717,119.98893550000503,None,115.99041499999585,None,117.98946355000808,None,119.98889745000488,None,121.48843409999972,None,same,MLR,5,123.03122830000939,124.53754600000684,125.02072440000484,126.52026930000284,127.0200812999974,None,123.03799220000802,None,125.02070834999759,None,127.02011825000082,None,128.51970950000396,None,1,['leftCL'],129.51942650000274,None,129.51942650000274,None,129.51942650000274,None,129.51942650000274,None,129.51942650000274,None,-0.2470703125,-0.2373046875,1,0,0,0.6332637000014074,leftCL,0.016398450010456145,None,130.15262844999816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.90180175000424,None,old,images/OBJ_195.png,130.9283812000067,None,130.93585510000705,None,132.4352363000071,None,1,133.43496090000554,None,133.43496090000554,None,133.43496090000554,None,133.43496090000554,None,133.43496090000554,None,133.43496090000554,None,133.43496090000554,None,-0.0322265625,-0.107421875,1,0,0,second_middle,0.016308450009091757,None,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.41742204999755,None,old,images/OBJ_1.png,134.6436001000111,None,134.65173950000317,None,136.15076899999985,None,2,137.15047449999838,None,137.15047449999838,None,137.15047449999838,None,137.15047449999838,None,137.15047449999838,None,137.15047449999838,None,137.15047449999838,None,0.0537109375,0.10546875,1,0,0,first_left,0.016401350003434345,None,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.96603175000783,None,old,images/OBJ_13.png,138.16356840000662,None,138.1669937000028,None,139.6667429000081,None,3,140.66646950000722,None,140.66646950000722,None,140.66646950000722,None,140.66646950000722,None,140.66646950000722,None,140.66646950000722,None,140.66646950000722,None,0.05078125,-0.2578125,1,0,0,third_right,0.016397350002080202,None,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8818663499973,None,old,images/OBJ_186.png,141.70309000000998,None,141.69922195000254,None,143.21532640000805,None,4,144.21506630000658,None,144.21506630000658,None,144.21506630000658,None,144.21506630000658,None,144.21506630000658,None,144.21506630000658,None,144.21506630000658,None,0.009765625,-0.140625,1,0,0,second_middle,0.01640205000876449,None,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.51422705000587,None,old,images/OBJ_161.png,145.63226340000983,None,145.63146290000296,None,147.14790910000738,None,5,148.1450990000012,None,148.1450990000012,None,148.1450990000012,None,148.1450990000012,None,148.1450990000012,None,148.1450990000012,None,148.1450990000012,None,0.005859375,0.0263671875,1,0,0,first_left,0.016369649980333634,None,baharros,2023-04-26_16h29.21.093,exp,2021.1.4,59.99196107536744,
