EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,119.06456870000056,None,LMR,images/OBJ_15.png,images/OBJ_36.png,images/OBJ_202.png,121.04869020000024,122.55832340000052,123.0414623000006,124.54152049999993,125.04143720000047,None,121.05966677000096,None,123.04198218999981,None,125.0413346899998,None,126.5405025,None,same,None,1,128.16626859999997,129.67337140000018,130.15607739999996,131.6556343000002,132.1554943000001,None,128.17337971000026,None,130.1560946900002,None,132.15600249000028,None,133.65506929999992,None,1,['leftCL'],134.65477980000014,None,134.65477980000014,None,134.65477980000014,None,134.65477980000014,None,134.65477980000014,None,-0.1572265625,-0.220703125,1,0,0,1.9802138999993986,leftCL,0.013363389999540232,None,136.63797219000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
1,0,1,0,,,,,,,MLR,images/OBJ_96.png,images/OBJ_88.png,images/OBJ_35.png,137.41336310000042,138.9206909000004,139.40338950000023,140.90346320000026,141.4033132000004,None,137.42144772000066,None,139.40390619000055,None,141.40332978999987,None,142.90239800000018,None,same,None,2,144.4428751000005,145.95153780000055,146.43468380000013,147.93429900000046,148.43411749999996,None,144.4524243600001,None,146.43469828999997,None,148.43412229000052,None,149.93368550000014,None,1,['leftCL'],150.93344799999977,None,150.93344799999977,None,150.93344799999977,None,150.93344799999977,None,150.93344799999977,None,-0.1572265625,-0.220703125,1,0,0,1.3825943000001644,leftCL,0.016449089999696298,None,152.31637179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
2,0,2,0,,,,,,,MLR,images/OBJ_40.png,images/OBJ_4.png,images/OBJ_144.png,153.0868973000006,154.5994996999998,155.08224810000047,156.58225420000053,157.08204079999996,None,153.08360713000013,None,155.08223729000048,None,157.08214488999994,None,158.58119009999973,None,same,None,3,160.11935929999981,161.63034460000017,162.1134873000001,163.61305840000023,164.11294420000013,None,160.13121966000037,None,162.11344838999986,None,164.11293598999993,None,165.61247679999997,None,1,['leftCL'],166.61220930000036,None,166.61220930000036,None,166.61220930000036,None,166.61220930000036,None,166.61220930000036,None,-0.1455078125,-0.2607421875,1,0,0,1.049759799999265,leftCL,0.016466590000163706,None,167.66192109000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
3,0,3,0,,,,,,,RLM,images/OBJ_82.png,images/OBJ_199.png,images/OBJ_149.png,168.43922170000042,169.94455089999974,170.42776460000005,171.92731120000008,172.42715469999985,None,168.44540612000074,None,170.42774889000003,None,172.42716549000062,None,173.92673149999973,None,same,None,4,175.47095609999997,176.9758034000006,177.45904150000024,178.9585831000004,179.45846239999992,None,175.47676086000067,None,177.4590705900003,None,179.45849639,None,180.9580420000002,None,1,['leftCL'],181.9582685000005,None,181.9582685000005,None,181.9582685000005,None,181.9582685000005,None,181.9582685000005,None,-0.1455078125,-0.2607421875,1,0,0,1.0665113000004567,leftCL,0.016464789999190543,None,183.02420629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
4,0,4,0,,,,,,,RML,images/OBJ_54.png,images/OBJ_13.png,images/OBJ_28.png,183.80775040000026,185.30728739999995,185.80665500000032,187.30619949999982,187.8065602000006,None,183.80764882000076,None,185.8067130900002,None,187.8060934899998,None,189.30563820000043,None,same,None,5,190.8372288999999,192.33852260000003,192.83839549999993,194.3379418000004,194.83787970000049,None,190.8384762700006,None,192.8384520900002,None,194.83791709000008,None,196.3373842000001,None,1,['leftCL'],197.33664190000036,None,197.33664190000036,None,197.33664190000036,None,197.33664190000036,None,197.33664190000036,None,-0.21875,-0.310546875,1,0,0,0.41612189999978,leftCL,0.0164596899994649,None,197.75320829000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.63543199000043,None,old,images/OBJ_199.png,198.5168104000004,None,198.5205450300001,None,200.01970510000046,None,1,201.01941249999982,None,201.01941249999982,None,201.01941249999982,None,201.01941249999982,None,201.01941249999982,None,201.01941249999982,None,201.01941249999982,None,0.01953125,-0.2421875,1,0,0,third_right,0.016401089999817486,None,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.06753799000063,None,old,images/OBJ_88.png,202.38370490000034,None,202.38600124000078,None,203.8847596000005,None,2,204.88445460000003,None,204.88445460000003,None,204.88445460000003,None,204.88445460000003,None,204.88445460000003,None,204.88445460000003,None,204.88445460000003,None,0.021484375,-0.0869140625,1,0,0,second_middle,0.016470389999085455,None,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.9496950900005,None,old,images/OBJ_54.png,206.79646539999976,None,206.80136275000086,None,208.30017080000016,None,3,209.29985120000038,None,209.29985120000038,None,209.29985120000038,None,209.29985120000038,None,209.29985120000038,None,209.29985120000038,None,209.29985120000038,None,0.0166015625,0.046875,1,0,0,first_left,0.016464289999021275,None,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.24854438999984,None,old,images/OBJ_28.png,210.6744303000005,None,210.6831938500004,None,212.18235520000053,None,4,213.18209500000012,None,213.18209500000012,None,213.18209500000012,None,213.18209500000012,None,213.18209500000012,None,213.18209500000012,None,213.18209500000012,None,0.01171875,-0.2939453125,1,0,0,third_right,0.0164702899992335,None,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.14781159000023,None,old,images/OBJ_149.png,214.97876350000024,None,214.98193055000002,None,216.48151890000008,None,5,217.48083120000047,None,217.48083120000047,None,217.48083120000047,None,217.48083120000047,None,217.48083120000047,None,217.48083120000047,None,217.48083120000047,None,-0.0048828125,-0.1513671875,1,0,0,second_middle,0.016465990000142483,None,dsddd,2022-10-20_16h13.15.470,exp,2021.1.4,59.9348627910678,
