EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,176.76182030001655,None,RML,images/OBJ_161.png,images/OBJ_77.png,images/OBJ_141.png,178.36045629996806,179.87398489983752,180.35768739972264,181.8572714999318,182.3571011000313,None,178.35820756079627,None,180.357184819784,None,182.35657961983233,None,183.85616789991036,None,same,None,1,185.49083259981126,187.00574330007657,187.48892859974876,188.98802189994603,189.48834759974852,None,185.48942538034171,None,187.48897891994565,None,189.48833802007138,None,190.98743479978293,None,1,['leftCL'],191.98714970005676,None,191.98714970005676,None,191.98714970005676,None,191.98714970005676,None,191.98714970005676,None,-0.181640625,-0.34765625,1,0,0,2.3617070000618696,leftCL,0.012127620168030262,None,194.35314611988142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
1,0,1,0,,,,,,,LMR,images/OBJ_158.png,images/OBJ_194.png,images/OBJ_59.png,195.1272895000875,196.6362609998323,197.11946030007675,198.61853080010042,199.11840619985014,None,195.13621536055578,None,197.11895381975918,None,199.1188444200903,None,200.61846649972722,None,same,None,2,202.15391730004922,203.66753299999982,204.15070919971913,205.6497446000576,206.14964819978923,None,202.1512067599222,None,204.15070381984114,None,206.1501153199002,None,207.6492293998599,None,1,['leftCL'],208.64939639996737,None,208.64939639996737,None,208.64939639996737,None,208.64939639996737,None,208.64939639996737,None,-0.20703125,-0.375,1,0,0,1.2159226997755468,leftCL,0.016390820033848286,None,209.8653330201283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
2,0,2,0,,,,,,,RML,images/OBJ_191.png,images/OBJ_179.png,images/OBJ_16.png,210.65131510002539,212.16470049973577,212.64775579981506,214.14730279985815,214.64723329991102,None,210.64838936058803,None,212.64821752011775,None,214.64765101987868,None,216.1472060000524,None,same,None,3,217.67992680007592,219.17965999990702,219.6790203996934,221.17906509991735,221.67891239980236,None,217.68004245981572,None,219.6795064200647,None,221.67890851981937,None,223.17800639988855,None,1,['leftCL'],224.17770469980314,None,224.17770469980314,None,224.17770469980314,None,224.17770469980314,None,224.17770469980314,None,-0.2265625,-0.3857421875,1,0,0,1.3992081000469625,leftCL,0.01637912029400468,None,225.5772784197703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
3,0,3,0,,,,,,,MLR,images/OBJ_145.png,images/OBJ_157.png,images/OBJ_136.png,226.36578569980338,227.8766024997458,228.35983099974692,229.85931929992512,230.3591792997904,None,226.3775754804723,None,228.36027122000232,None,230.35923231989145,None,231.85927159991115,None,same,None,4,233.3987964000553,234.9078744999133,235.39108349988237,236.89061070000753,237.39046010002494,None,233.40873098010198,None,235.39106632014736,None,237.3904773200862,None,238.89006659993902,None,1,['leftCL'],239.89017129968852,None,239.89017129968852,None,239.89017129968852,None,239.89017129968852,None,239.89017129968852,None,-0.1943359375,-0.37890625,1,0,0,0.5004122001118958,leftCL,0.016384220216423273,None,240.39012931976467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
4,0,4,0,,,,,,,LMR,images/OBJ_140.png,images/OBJ_183.png,images/OBJ_46.png,241.1802805000916,242.6888969000429,243.17214109981433,244.67167019983754,245.1720374999568,None,241.18989318059758,None,243.1721573201008,None,245.1715037197806,None,246.67164570000023,None,same,None,5,248.2150976001285,249.72019609995186,250.20338939968497,251.7029642998241,252.20280499989167,None,248.22107427995653,None,250.20336461989208,None,252.20331672010943,None,253.70239509968087,None,1,['leftCL'],254.70216460013762,None,254.70216460013762,None,254.70216460013762,None,254.70216460013762,None,254.70216460013762,None,-0.205078125,-0.3603515625,1,0,0,0.5166010996326804,leftCL,0.01632861979305744,None,255.21866072006523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.55070871990176,None,old,images/OBJ_157.png,255.99310299986973,None,256.00180506026373,None,257.5012917998247,None,1,258.50096180010587,None,258.50096180010587,None,258.50096180010587,None,258.50096180010587,None,258.50096180010587,None,258.50096180010587,None,258.50096180010587,None,-0.0009765625,-0.1015625,1,0,0,second_middle,0.01633202051743865,None,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.3995921201073,None,old,images/OBJ_145.png,260.29912320012227,None,260.3009778204374,None,261.8005392998457,None,2,262.80026299972087,None,262.80026299972087,None,262.80026299972087,None,262.80026299972087,None,262.80026299972087,None,262.80026299972087,None,262.80026299972087,None,-0.0048828125,-0.1025390625,1,0,0,second_middle,0.016368919983506203,None,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.5321994199418,None,old,images/OBJ_136.png,264.1597281997092,None,264.1660400403664,None,265.66560949990526,None,3,266.6653117998503,None,266.6653117998503,None,266.6653117998503,None,266.6653117998503,None,266.6653117998503,None,266.6653117998503,None,266.6653117998503,None,-0.0302734375,-0.25,1,0,0,third_right,0.01633852021768689,None,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.4472625198774,None,old,images/OBJ_161.png,268.2848243000917,None,268.28145922059196,None,269.79771929979324,None,4,270.7979085999541,None,270.7979085999541,None,270.7979085999541,None,270.7979085999541,None,270.7979085999541,None,270.7979085999541,None,270.7979085999541,None,0.0185546875,0.0810546875,1,0,0,first_left,0.01638892013579607,None,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.21278432002293,None,old,images/OBJ_59.png,272.19915340002626,None,272.19752812050285,None,273.71326230000705,None,5,274.7134034000337,None,274.7134034000337,None,274.7134034000337,None,274.7134034000337,None,274.7134034000337,None,274.7134034000337,None,274.7134034000337,None,-0.03515625,-0.1376953125,1,0,0,second_middle,0.016396920196712017,None,faik,2023-06-01_14h33.13.710,exp,2021.1.4,60.02073113672126,
