22.6335 	WARNING 	Monitor specification not found. Creating a temporary one...
22.6633 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
23.5686 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023F37876C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023F37E09490>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1280, 1024]), stencilBits=0, stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.5687 	EXP 	window1: mouseVisible = True
23.5692 	EXP 	window1: mouseVisible = False
25.4731 	DATA 	Keypress: return
26.0051 	DATA 	Keypress: return
26.6025 	DATA 	Keypress: c
48.3779 	EXP 	window1: units = 'pix'
111.7260 	EXP 	window1: units = 'pix'
116.8098 	DATA 	Keypress: down
117.2106 	DATA 	Keypress: down
117.4055 	DATA 	Keypress: down
117.5905 	DATA 	Keypress: down
117.7755 	DATA 	Keypress: down
117.9699 	DATA 	Keypress: down
118.1336 	DATA 	Keypress: down
118.3382 	DATA 	Keypress: down
118.7581 	DATA 	Keypress: down
118.9833 	DATA 	Keypress: down
119.1877 	DATA 	Keypress: down
119.7114 	DATA 	Keypress: down
119.8969 	DATA 	Keypress: down
120.0923 	DATA 	Keypress: down
120.3071 	DATA 	Keypress: down
120.5119 	DATA 	Keypress: down
120.7197 	DATA 	Keypress: down
121.1076 	DATA 	Keypress: down
173.7236 	EXP 	window1: units = 'pix'
175.2544 	DATA 	Keypress: o
175.2552 	EXP 	window1: units = 'pix'
175.2996 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1280, 1024]. Using actual size
