EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,Trial_Order,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,encodingTrials,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,retType,retIMG,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,104.37837939988822,None,LMR,images/OBJ_141.png,images/OBJ_134.png,images/OBJ_181.png,105.95814199978486,107.46918880008161,107.95226299995556,109.45191989978775,109.95130529999733,None,105.9696568401996,None,107.95239758002572,None,109.95132068009116,None,111.45085790008307,None,same,None,1,113.08359250007197,114.58378269989043,115.08363070013002,116.58265559980646,117.08306939993054,None,113.08386561996303,None,115.08314718003385,None,117.08307787985541,None,118.58263240009546,None,1,['leftCL'],119.58228649990633,None,119.58228649990633,None,119.58228649990633,None,119.58228649990633,None,119.58228649990633,None,-0.146484375,-0.224609375,1,0,0,1.3784785997122526,leftCL,0.012025580741465092,None,120.96476548002101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
1,0,1,0,,,,,,,RML,images/OBJ_177.png,images/OBJ_155.png,images/OBJ_81.png,121.75424249982461,123.26455760002136,123.74727510008961,125.2468245998025,125.74718060018495,None,121.76544392039068,None,123.74777648015879,None,125.7471766800154,None,127.24626730009913,None,same,None,2,128.78391430014744,130.29531100019813,130.7789961998351,132.278579399921,132.77797390008345,None,128.77958674007095,None,130.77896457980387,None,132.77849817997776,None,134.27754470007494,None,1,['leftCL'],135.27725759986788,None,135.27725759986788,None,135.27725759986788,None,135.27725759986788,None,135.27725759986788,None,-0.1953125,-0.26953125,1,0,0,2.099483100231737,leftCL,0.01641367981210351,None,137.37665588012896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
2,0,2,0,,,,,,,RML,images/OBJ_158.png,images/OBJ_3.png,images/OBJ_41.png,138.15490640001372,139.65976439975202,140.14244729978964,141.6419840999879,142.1418972001411,None,138.16063434025273,None,140.14298017998226,None,142.14189548022114,None,143.64192359987646,None,same,None,3,145.17894339980558,146.6905398000963,147.17379199992865,148.6733037000522,149.1736641000025,None,145.17480494012125,None,147.17385668004863,None,149.17371657979675,None,150.67326640011743,None,1,['leftCL'],151.67294189985842,None,151.67294189985842,None,151.67294189985842,None,151.67294189985842,None,151.67294189985842,None,-0.1953125,-0.26953125,1,0,0,1.383011699654162,leftCL,0.016400080174207687,None,153.0553769802209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
3,0,3,0,,,,,,,MRL,images/OBJ_111.png,images/OBJ_199.png,images/OBJ_143.png,153.84860609984025,155.35520249977708,155.8383539998904,157.33791670016944,157.8378118001856,None,153.855564620113,None,155.83839227980934,None,157.83779048011638,None,159.33733339980245,None,same,None,4,160.88151460001245,162.3859753999859,162.8691448001191,164.36921049980447,164.86907939985394,None,160.88685822021216,None,162.86964928009547,None,164.86907628015615,None,166.3686481998302,None,1,['leftCL'],167.36835350003093,None,167.36835350003093,None,167.36835350003093,None,167.36835350003093,None,167.36835350003093,None,-0.197265625,-0.275390625,1,0,0,0.30003179982304573,leftCL,0.01639087963849306,None,167.66827848018147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
4,0,4,0,,,,,,,LMR,images/OBJ_12.png,images/OBJ_101.png,images/OBJ_197.png,168.46256970008835,169.9671077998355,170.45077789993957,171.9502483997494,172.45017160009593,None,168.46794072003104,None,170.45076777995564,None,172.44970528013073,None,173.94971469976008,None,diff,RML,5,175.4911746000871,176.99882730003446,177.4820193001069,178.98109909985214,179.48094400018454,None,175.4988156198524,None,177.48204048001207,None,179.48098637978546,None,180.98055619979277,None,1,['rightCL'],181.9802296999842,None,181.9802296999842,None,181.9802296999842,None,181.9802296999842,None,181.9802296999842,None,0.1220703125,-0.2900390625,1,0,0,0.31661219988018274,rightCL,0.016356680542230606,None,182.29683438013308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.12926387996413,None,old,images/OBJ_141.png,183.07701849984005,None,183.0807945402339,None,184.57945200009272,None,1,185.5792052000761,None,186.54606499988586,None,186.54606499988586,None,186.54606499988586,None,186.54606499988586,None,186.54606499988586,None,186.54606499988586,None,-0.0205078125,0.0615234375,1,0,0,first_left,0.9994760802946985,None,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.69347027991898,None,old,images/OBJ_158.png,187.8804962998256,None,187.87937718024477,None,189.3947132998146,None,2,190.39441870013252,None,191.36128669977188,None,191.36128669977188,None,191.36128669977188,None,191.36128669977188,None,191.36128669977188,None,191.36128669977188,None,0.029296875,0.1552734375,1,0,0,first_left,0.9997126804664731,None,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.02497227978893,None,old,images/OBJ_3.png,194.44007229991257,None,194.44360278034583,None,195.9428027998656,None,3,196.94300269987434,None,197.90944379987195,None,197.90944379987195,None,197.90944379987195,None,197.90944379987195,None,197.90944379987195,None,197.90944379987195,None,0.0029296875,-0.0859375,1,0,0,second_middle,0.9998148800805211,None,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.90662308013998,None,old,images/OBJ_181.png,200.77953479997814,None,200.77511327993125,None,202.29103520000353,None,4,203.29106620000675,None,204.25757610006258,None,204.25757610006258,None,204.25757610006258,None,204.25757610006258,None,204.25757610006258,None,204.25757610006258,None,0.0390625,-0.279296875,1,0,0,third_right,0.9993152800016105,None,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.55408128001727,None,old,images/OBJ_111.png,206.66535220015794,None,206.67387166037224,None,208.1726099997759,None,5,209.17228290019557,None,210.1386890001595,None,210.1386890001595,None,210.1386890001595,None,210.1386890001595,None,210.1386890001595,None,210.1386890001595,None,-0.0107421875,0.048828125,1,0,0,first_left,0.9992078798823059,None,faiko,2023-06-01_14h45.53.268,exp,2021.1.4,59.972676436049404,
