EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,EncodingBlock2.thisRepN,EncodingBlock2.thisTrialN,EncodingBlock2.thisN,EncodingBlock2.thisIndex,RetrievalBlock2.thisRepN,RetrievalBlock2.thisTrialN,RetrievalBlock2.thisN,RetrievalBlock2.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,retType,retIMG.started,retIMG.stopped,sound_pop7.started,sound_pop7.stopped,question_text.started,question_text.stopped,retTrials,decisionQ_2.started,decisionQ_2.stopped,first_left.started,first_left.stopped,second_middle.started,second_middle.stopped,third_right.started,third_right.stopped,First.started,First.stopped,Second.started,Second.stopped,Third.started,Third.stopped,Order_Position_Response.x,Order_Position_Response.y,Order_Position_Response.leftButton,Order_Position_Response.midButton,Order_Position_Response.rightButton,Order_Position_Response.clicked_name,Order_Position_Response.started,Order_Position_Response.stopped,retrievalTrials,retIMG,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,Trial_Order,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,12.349624400027096,None,12.60348139994312,None,RML,images/OBJ_130.png,images/OBJ_74.png,images/OBJ_70.png,14.466711799963377,15.969570799963549,16.469453800003976,17.968970800051466,18.468860400025733,None,14.46999000000069,None,16.469449200003872,None,18.46887669995194,None,19.96841420000419,None,same,None,21.600117100053467,23.100848600035533,23.60070640000049,25.100268900045194,25.60011899995152,None,21.601216700009534,None,23.600708100048358,None,25.600101099966558,None,27.09965790004935,None,1,['leftCL'],28.099543099990115,None,28.099543099990115,None,28.099543099990115,None,28.099543099990115,None,28.099543099990115,None,-0.2705078125,-0.2060546875,1,0,0,0.31335449998732656,leftCL,0.01299219997599721,None,28.41598740002373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
1,0,1,0,,,,,,,,,,,,,,,29.147731099976227,None,RLM,images/OBJ_143.png,images/OBJ_183.png,images/OBJ_111.png,30.936787800048478,32.448651000042446,32.931337199988775,34.43088060000446,34.93074640003033,None,30.948567900073247,None,32.93131890000077,None,34.93073499997845,None,36.43077840004116,None,same,None,37.97286039998289,39.47990369994659,39.962677799980156,41.462165600038134,41.96205470000859,None,37.97981379998382,None,39.96259819999104,None,41.96205679994309,None,43.46205229999032,None,1,['leftCL'],44.46129520004615,None,44.46129520004615,None,44.46129520004615,None,44.46129520004615,None,44.46129520004615,None,-0.1552734375,-0.2841796875,1,0,0,0.3169952998869121,leftCL,0.01636889996007085,None,44.778372900013345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82644070001552,None,2,old,45.56519019999541,None,45.560923700034614,None,47.07719959993847,None,1,48.07693600002676,None,49.05997049994767,None,49.05997049994767,None,49.05997049994767,None,49.05997049994767,None,49.05997049994767,None,49.05997049994767,None,0.0234375,-0.107421875,1,0,0,second_middle,0.999242499936372,None,,,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.62501680004643,None,,old,50.57721380004659,None,50.57616709996946,None,52.09240339999087,None,2,53.09217269998044,None,54.05898560001515,None,54.05898560001515,None,54.05898560001515,None,54.05898560001515,None,54.05898560001515,None,54.05898560001515,None,-0.00390625,-0.2685546875,1,0,0,third_right,0.9995237000985071,None,,,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,images/OBJ_143.png,55.14156139998231,None,None,None,space,38.41824699996505,None,None,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,0,0,0,0,,,,,,,55.35727339994628,None,,images/OBJ_61.png,images/OBJ_202.png,images/OBJ_125.png,56.90844389994163,58.42390059994068,58.907608499983326,60.40668050001841,60.90649620001204,None,56.907657500030474,None,58.907085099990944,None,60.906523000018204,None,62.40656739997212,None,same,None,63.952182100038044,65.45560280000791,65.9550538000185,67.45464200002607,67.95448439999018,None,63.955613599997015,None,65.95507549998584,None,67.95489379999927,None,69.45407129998785,None,1,['leftCL'],70.45377859997097,None,70.45377859997097,None,70.45377859997097,None,70.45377859997097,None,70.45377859997097,None,-0.12109375,-0.2705078125,1,0,0,3.299155000015162,leftCL,0.01631269999779761,None,73.75279029997765,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RLM,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,1,0,1,0,,,,,,,74.47437459998764,None,,images/OBJ_23.png,images/OBJ_68.png,images/OBJ_156.png,76.03882799996063,77.55170770001132,78.03486709995195,79.53447850001976,80.03431549994275,None,76.03543670000509,None,78.03487759995042,None,80.03430350000272,None,81.5338920999784,None,same,None,83.08069350000005,84.5829730000114,85.08287949999794,86.58241100003943,87.08224749995861,None,83.08335039999803,None,85.0829171999707,None,87.08223450001097,None,88.581842900021,None,1,['leftCL'],89.58154289994854,None,89.58154289994854,None,89.58154289994854,None,89.58154289994854,None,89.58154289994854,None,-0.134765625,-0.2587890625,1,0,0,0.5833409000188112,leftCL,0.016372299985960126,None,90.1647411999642,None,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RML,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,2,0,2,0,,,,,,,90.89462919998914,None,,images/OBJ_31.png,images/OBJ_153.png,images/OBJ_59.png,92.43917379993945,93.94743449997623,94.43011890002526,95.9297306999797,96.42952669993974,None,92.44737440000755,None,94.43010110004107,None,96.42954810002121,None,97.9291024999693,None,diff,RML,99.4641399999382,100.97869909997098,101.46142149996012,102.96098289999645,103.46080320002511,None,99.46189789996716,None,101.46145740003558,None,103.46080240005395,None,104.96041749999858,None,1,['rightCL'],105.96008800005075,None,105.96008800005075,None,105.96008800005075,None,105.96008800005075,None,105.96008800005075,None,0.1083984375,-0.2509765625,1,0,0,0.26658779999706894,rightCL,0.016384499962441623,None,106.22668460003334,None,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRM,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.50878429998411,None,5,old,106.75936340005137,None,106.75986890004715,None,108.25947859999724,None,3,109.25912129995413,None,110.24265959998593,None,110.24265959998593,None,110.24265959998593,None,110.24265959998593,None,110.24265959998593,None,110.24265959998593,None,-0.02734375,-0.140625,1,0,0,second_middle,1.0161184999160469,None,,images/OBJ_111.png,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.09127420004225,None,,old,111.04243689996656,None,111.0419484999613,None,112.54201009997632,None,4,113.54128070001025,None,114.50762239994947,None,114.50762239994947,None,114.50762239994947,None,114.50762239994947,None,114.50762239994947,None,114.50762239994947,None,-0.0078125,0.0712890625,1,0,0,first_left,0.9990788999712095,None,,images/OBJ_70.png,,,,,,,,,,fgsdf,2023-09-20_13h14.24.483,exp,2021.1.4,59.91550716408479,
