EncodingTrials.thisRepN,EncodingTrials.thisTrialN,EncodingTrials.thisN,EncodingTrials.thisIndex,RetrievalTrials.thisRepN,RetrievalTrials.thisTrialN,RetrievalTrials.thisN,RetrievalTrials.thisIndex,Instructions.started,Instructions.stopped,fixation.started,fixation.stopped,trialOrder,triplet1,triplet2,triplet3,Triplet1.started,Triplet1.stopped,Triplet2.started,Triplet2.stopped,Triplet3.started,Triplet3.stopped,sound_pop.started,sound_pop.stopped,sound_pop2.started,sound_pop2.stopped,sound_pop3.started,sound_pop3.stopped,Mask.started,Mask.stopped,encodingType,nextTrial,img1.started,img1.stopped,img2.started,img2.stopped,img3.started,img3.stopped,sound_pop4.started,sound_pop4.stopped,sound_pop5.started,sound_pop5.stopped,sound_pop6.started,sound_pop6.stopped,text_2.started,text_2.stopped,methodCheck,Method Clicked,text.started,text.stopped,sameText.started,sameText.stopped,diffText.started,diffText.stopped,leftCL.started,leftCL.stopped,rightCL.started,rightCL.stopped,MethodMouse.x,MethodMouse.y,MethodMouse.leftButton,MethodMouse.midButton,MethodMouse.rightButton,MethodMouse.time,MethodMouse.clicked_name,MethodMouse.started,MethodMouse.stopped,clickedSound.started,clickedSound.stopped,encodingTrials,BlockBreak.started,BlockBreak.stopped,text_4.started,text_4.stopped,start2.keys,start2.rt,start2.started,start2.stopped,retType,participant,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,34.58995870000217,None,37.76545619999524,None,MLR,images/OBJ_150.png,images/OBJ_196.png,images/OBJ_153.png,39.40467790002003,40.91810790001182,41.40084899996873,42.90090639999835,43.40071309998166,None,39.401873390004035,None,41.40128900996642,None,43.40071560996584,None,44.899806900008116,None,same,None,46.532525299990084,48.03265469998587,48.53259869996691,50.03268170001684,50.53152359998785,None,46.532509989966634,None,48.53255350999534,None,50.53152401001425,None,52.03109740000218,None,0,['leftCL'],53.03092170000309,None,53.03092170000309,None,53.03092170000309,None,53.03092170000309,None,53.03092170000309,None,-0.2021484375,-0.3271484375,1,0,0,0.37977040000259876,leftCL,0.01291610993212089,None,53.413957609981296,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
1,0,1,0,,,,,,,54.067184999992605,None,LMR,images/OBJ_54.png,images/OBJ_103.png,images/OBJ_68.png,55.623555700003635,57.12954599998193,57.61332040000707,59.11281419999432,59.612546499993186,None,55.630046039982695,None,57.61276980997063,None,59.612661610019856,None,61.11176860000705,None,same,None,62.65491669997573,64.16083810001146,64.6440671000164,66.14362539997092,66.64396899996791,None,62.66166764001827,None,64.64406391001539,None,66.64398530999897,None,68.1430854999926,None,0,['leftCL'],69.14324780000607,None,69.14324780000607,None,69.14324780000607,None,69.14324780000607,None,69.14324780000607,None,-0.228515625,-0.328125,1,0,0,0.3332648999639787,leftCL,0.016342309943865985,None,69.47596670996863,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
2,0,2,0,,,,,,,70.11874180001905,None,MLR,images/OBJ_97.png,images/OBJ_161.png,images/OBJ_71.png,71.66769159998512,73.17488669999875,73.65809709997848,75.1581518999883,75.65800809999928,None,71.6758266399731,None,73.65811770998407,None,75.65799131001113,None,77.15707489999477,None,same,None,78.69723409996368,80.20621009997558,80.68939720001072,82.18944039999042,82.68917540000984,None,78.70670844002161,None,80.68937971001723,None,82.68934390997747,None,84.18886429996928,None,0,['leftCL'],85.18810640001902,None,85.18810640001902,None,85.18810640001902,None,85.18810640001902,None,85.18810640001902,None,-0.232421875,-0.3369140625,1,0,0,0.43348549999063835,leftCL,0.016253209963906556,None,85.621668509976,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
3,0,3,0,,,,,,,86.27031059999717,None,LMR,images/OBJ_129.png,images/OBJ_43.png,images/OBJ_101.png,87.82267899997532,89.33735509996768,89.82005079998635,91.31959999998799,91.81946729996707,None,87.82117673998,None,89.82006491000065,None,91.8194384100032,None,93.31902100000298,None,diff,RML,94.86723799997708,96.36866179999197,96.86851679999381,98.36761479999404,98.86746029998176,None,94.86856973996619,None,96.86799230998149,None,98.86739510997431,None,100.36750539997593,None,1,['rightCL'],101.36722830001963,None,101.36722830001963,None,101.36722830001963,None,101.36722830001963,None,101.36722830001963,None,0.169921875,-0.302734375,1,0,0,0.2993734000483528,rightCL,0.01629880996188149,None,101.6666600100114,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
4,0,4,0,,,,,,,102.307136599964,None,LMR,images/OBJ_6.png,images/OBJ_133.png,images/OBJ_22.png,103.85731819999637,105.36553469998762,105.84924309997587,107.34879760001786,107.84867370000575,None,103.86600684000878,None,105.84874300997471,None,107.8485138099757,None,109.3477582000196,None,same,RML,110.88948319997871,112.39675479999278,112.88005969999358,114.38010010001017,114.87997690000338,None,110.89766443996923,None,112.88056650997605,None,114.87997140998486,None,116.37898019998102,None,0,['leftCL'],117.37871999997878,None,117.37871999997878,None,117.37871999997878,None,117.37871999997878,None,117.37871999997878,None,-0.125,-0.3046875,1,0,0,0.6159295000252314,leftCL,0.016344009956810623,None,117.9952326099854,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
5,0,5,0,,,,,,,118.63850090000778,None,LMR,images/OBJ_1.png,images/OBJ_138.png,images/OBJ_46.png,120.18618530000094,121.69412729999749,122.17732680001063,123.67742139997426,124.17677379999077,None,120.1950810400187,None,122.17780840997584,None,124.17679001002107,None,125.67634020000696,None,same,RML,127.21538439998403,128.72541239997372,129.20860149996588,130.70814780000364,131.20803350000642,None,127.22584924001713,None,129.20907811000944,None,131.20804990998005,None,132.70765729999403,None,0,['leftCL'],133.7073354999884,None,133.7073354999884,None,133.7073354999884,None,133.7073354999884,None,133.7073354999884,None,-0.15625,-0.3125,1,0,0,0.28339360002428293,leftCL,0.01632091001374647,None,133.9906824099715,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
6,0,6,0,,,,,,,134.64020879997406,None,RML,images/OBJ_19.png,images/OBJ_20.png,images/OBJ_33.png,136.18541029997868,137.68950609996682,138.17269899998792,139.67259229999036,140.17260190000525,None,136.18994033999044,None,138.17316970998655,None,140.1725075100083,None,141.6717023999663,None,same,RML,143.21698709996417,144.72127809998346,145.2040165999788,146.70391340000788,147.20388119999552,None,143.2215995400213,None,145.20449251001702,None,147.2038729100139,None,148.70299299998442,None,0,['leftCL'],149.70306999998866,None,149.70306999998866,None,149.70306999998866,None,149.70306999998866,None,149.70306999998866,None,-0.1728515625,-0.3349609375,1,0,0,0.366626700037159,leftCL,0.01635350997094065,None,150.06976051001112,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
7,0,7,0,,,,,,,150.70973539998522,None,RML,images/OBJ_188.png,images/OBJ_174.png,images/OBJ_197.png,152.26873030001298,153.7681617999915,154.26800669997465,155.76757690001978,156.2674730999861,None,152.26864413997393,None,154.26801390999464,None,156.2674383099773,None,157.76704160001827,None,same,RML,159.31515330000548,160.8166298000142,161.31597809999948,162.81601159996353,163.31586460000835,None,159.316459139972,None,161.31596881001025,None,163.31587051001844,None,164.81496220000554,None,0,['leftCL'],165.81470170000102,None,165.81470170000102,None,165.81470170000102,None,165.81470170000102,None,165.81470170000102,None,-0.1767578125,-0.322265625,1,0,0,0.3167247999808751,leftCL,0.016339509980753064,None,166.13176221000032,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
8,0,8,0,,,,,,,166.78163579996908,None,LMR,images/OBJ_25.png,images/OBJ_9.png,images/OBJ_42.png,168.3179766999674,169.83013409998966,170.3137643999653,171.8129276999971,172.31277030002093,None,168.31441382997437,None,170.31334061002127,None,172.31324691000628,None,173.81285879999632,None,same,RML,175.34648880001623,176.86192819999997,177.3446920000133,178.84469649998937,179.34405899996636,None,175.3456112299813,None,177.34471801000183,None,179.34457070998616,None,180.84363600000506,None,0,['leftCL'],181.84337449999293,None,181.84337449999293,None,181.84337449999293,None,181.84337449999293,None,181.84337449999293,None,-0.1767578125,-0.322265625,1,0,0,0.38328850001562387,leftCL,0.016314110020175576,None,182.2271218099748,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
9,0,9,0,,,,,,,182.87042579997797,None,MRL,images/OBJ_160.png,images/OBJ_48.png,images/OBJ_16.png,184.41577209997922,185.92597649997333,186.40905439999187,187.90872449998278,188.40858230000595,None,184.4264163399814,None,186.4091637099744,None,188.40858320997796,None,189.90766229998553,None,diff,RLM,191.4483802000177,192.9572813999839,193.44037660001777,194.93989599996712,195.43950530001894,None,191.45712513999317,None,193.44048041001662,None,195.43990900997306,None,196.93895769998198,None,1,['rightCL'],197.93865610001376,None,197.93865610001376,None,197.93865610001376,None,197.93865610001376,None,197.93865610001376,None,0.1611328125,-0.380859375,1,0,0,0.8997450000024401,rightCL,0.016311309998854995,None,198.83840820997722,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
10,0,10,0,,,,,,,199.4909117000061,None,LMR,images/OBJ_81.png,images/OBJ_198.png,images/OBJ_85.png,201.04939499998,202.55400429997826,203.03715629997896,204.53675009997096,205.03661020001164,None,201.05490273998586,None,203.03721041000682,None,205.0371230099816,None,206.5362076999736,None,diff,MLR,208.0806309999898,209.58524970000144,210.06843919999665,211.56805010000244,212.0678780999733,None,208.08608233997367,None,210.06899440999842,None,212.0678770099883,None,213.56743399996776,None,0,['leftCL'],214.567148800008,None,214.567148800008,None,214.567148800008,None,214.567148800008,None,214.567148800008,None,-0.1025390625,-0.267578125,1,0,0,7.1312868000241,leftCL,0.016292210028041154,None,221.6984870099812,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
11,0,11,0,,,,,,,222.34240339999087,None,RLM,images/OBJ_91.png,images/OBJ_111.png,images/OBJ_59.png,223.89326879999135,225.39731919998303,225.88053500000387,227.38008789997548,227.8799589999835,None,223.8982733400073,None,225.88105110999896,None,227.87997300999706,None,229.3795334000024,None,same,MLR,230.92229159997078,232.42913030000636,232.91231549996883,234.41140599997016,234.91124220000347,None,230.92907583997587,None,232.91181321000914,None,234.9112684099935,None,236.41081560001476,None,0,['leftCL'],237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,237.41104669997003,None,-0.1796875,-0.2724609375,1,0,0,0.5831638000090607,leftCL,0.016330009966623038,None,237.9937072100118,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
12,0,12,0,,,,,,,238.64391980000073,None,RML,images/OBJ_72.png,images/OBJ_184.png,images/OBJ_45.png,240.18838130001677,241.69261769996956,242.17630089999875,243.67539950000355,244.1757007999695,None,240.19303593998777,None,242.17628790998134,None,244.1757356099668,None,245.67480149999028,None,same,MLR,247.21982250001747,248.72393749997718,249.2071719999658,250.70666889997665,251.20695949997753,None,247.2246762399911,None,249.2070793099818,None,251.2065401100088,None,252.7060754999984,None,0,['leftCL'],253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,253.70579570002155,None,-0.1796875,-0.2724609375,1,0,0,0.4499125999864191,leftCL,0.016348209988791496,None,254.1561467099935,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
13,0,13,0,,,,,,,254.8050967999734,None,LRM,images/OBJ_145.png,images/OBJ_203.png,images/OBJ_30.png,256.3456355999806,257.8551260000095,258.33778489998076,259.83782760001486,260.3376849999768,None,256.35501123998546,None,258.3377690099995,None,260.33715490998003,None,261.8367840999854,None,same,MLR,263.37606530002085,264.88589149998734,265.36959020001814,266.86912779998966,267.3685111000086,None,263.38618754000635,None,265.36957221002086,None,267.368452609994,None,268.8680626999703,None,0,['leftCL'],269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,269.8677812999813,None,-0.1787109375,-0.2734375,1,0,0,0.299997300026007,leftCL,0.01631350995739922,None,270.1677345099859,None,,,,,,,,,,,oe1002,2023-10-10_10h50.24.733,exp,2021.1.4,59.99782806907048,
